relative_path,kind,category,recommended_action,reason,size_bytes,size_human,sha256
BC_DPG_FCN_v1_argmax_fix,directory,legacy_patch_dir,archive,早期 BC-DPG-FCN v1 补丁目录，功能已集成,11167,10.91 KB,
BC_DPG_FCN_v1_integration_patch,directory,legacy_patch_dir,archive,早期 BC-DPG-FCN v1 补丁目录，功能已集成,22656,22.12 KB,
BC_DPG_FCN_v1_preflight_patch,directory,legacy_patch_dir,archive,早期 BC-DPG-FCN v1 补丁目录，功能已集成,21492,20.99 KB,
BC_DPG_FCN_v1_training_patch,directory,legacy_patch_dir,archive,早期 BC-DPG-FCN v1 补丁目录，功能已集成,68229,66.63 KB,
BC_DPG_FCN_v2_tail_patch,directory,legacy_patch_dir,archive,早期 BC-DPG-FCN v2 补丁目录，功能已集成,52388,51.16 KB,
BC_DPG_FCN_v3_scan_target_patch,directory,legacy_patch_dir,archive,v3 扫描目标补丁目录，功能已集成,62044,60.59 KB,
BC_DPG_current_model_stage2_patch_v2.zip,file,patch_zip,archive,已安装的 Stage 2 补丁压缩包,21055,20.56 KB,a7e1a1d2fba2153420be34e4caf54d881d33071a855f7d8ab18989e2b37cec83
BC_DPG_explicit_polarimetric_representation_stage2_patch_v1.zip,file,patch_zip,archive,已安装的极化 Stage 2 补丁压缩包,22854,22.32 KB,90c0a0d9ffbff16d3d37fe1ba0a17075d8fc64e104c24b3502574bc6dbdfb792
BC_DPG_overfitting_audit_fix,directory,legacy_audit_dir,archive,旧过拟合审计补丁目录,33628,32.84 KB,
BC_DPG_overfitting_audit_patch,directory,legacy_audit_dir,archive,旧过拟合审计补丁目录,33424,32.64 KB,
BC_DPG_overfitting_audit_rotation_fix,directory,legacy_audit_dir,archive,旧过拟合审计补丁目录,34394,33.59 KB,
BC_DPG_polarimetric_gated_diagnostic_stage3_patch_v1.zip,file,patch_zip,archive,已安装的极化 Stage 3 补丁压缩包,26957,26.33 KB,363ab3020c825176c8eca66a1b6ae8e5a1bdf8bff32d6c05962a813de4e5eb27
BC_DPG_v2_compare_fix,directory,legacy_patch_dir,archive,旧 v2 比较/阈值补丁目录,6206,6.06 KB,
BC_DPG_v2_global_threshold_patch,directory,legacy_patch_dir,archive,旧 v2 比较/阈值补丁目录,21643,21.14 KB,
BC_DPG_v3_final_freeze_paper_evidence_patch_v1.zip,file,patch_zip,archive,已安装的 v3 最终冻结补丁压缩包,17910,17.49 KB,4809f602a93f9ee0ecb5e7974b0251f521a3c58cff2f45d7131ebce7bba67cc3
BC_DPG_v3_paper_results_matplotlib_fix,directory,legacy_paper_dir,archive,旧论文结果生成补丁目录,37725,36.84 KB,
BC_DPG_v3_paper_results_patch,directory,legacy_paper_dir,archive,旧论文结果生成补丁目录,38679,37.77 KB,
README_BC_DPG_v3最终冻结与论文证据_V1.md,file,stage_readme,archive,阶段安装说明，正式报告已在 results/final_evidence,2959,2.89 KB,81a76ff56db670b83980d794a119c02fe73cbaed5809dae00fa60b7a5fa83181
README_BC_DPG当前模型Stage2_V2.md,file,stage_readme,archive,阶段安装说明,3605,3.52 KB,25bae10972a4b7910b0c7b8c06a65571aae43922915d53dabf2bff3642caf5b5
