field_id,question,response,evidence_path,provided_by,provided_at_utc,review_status,review_notes
DEVICE_VENDOR,雷达厂家,,,,,pending,
DEVICE_MODEL,雷达型号,,,,,pending,
DEVICE_SERIAL,雷达序列号或受控脱敏编号,,,,,pending,
FIRMWARE_VERSION,固件版本,,,,,pending,
ACQUISITION_SOFTWARE,采集软件及版本,,,,,pending,
CENTER_FREQUENCY_HZ,中心频率,,,,,pending,
PRF_HZ,脉冲重复频率,,,,,pending,
BANDWIDTH_HZ,带宽,,,,,pending,
PULSE_WIDTH_S,脉冲宽度,,,,,pending,
PULSES_PER_FRAME,每帧脉冲数,,,,,pending,
RANGE_GATE_COUNT,距离门数,,,,,pending,
RANGE_RESOLUTION_M,距离分辨率,,,,,pending,
RAW_COMPLEX_H,能否导出原始复数H通道IQ,,,,,pending,
RAW_COMPLEX_V,能否导出原始复数V通道IQ,,,,,pending,
HV_TIMING_MODE,H和V同时采样或切换方式,,,,,pending,
HV_COHERENCE,H和V相干关系及已知时间差,,,,,pending,
PULSE_CONTINUITY,是否保留连续逐脉冲慢时间和跨帧关系,,,,,pending,
PREEXPORT_PROCESSING,导出前积累检测降采样或校正处理,,,,,pending,
IQ_FILE_FORMAT,文件格式变量名维度类型量化和缩放,,,,,pending,
ACQUISITION_TIMESTAMP,真实硬件采集时间戳及精度,,,,,pending,
HARDWARE_SEQUENCE,脉冲帧扫描波束序号及重置标记,,,,,pending,
SCAN_FILE_MAPPING,帧波束扫描文件关系,,,,,pending,
ERROR_LOGGING,丢帧缓存溢出和时钟重置日志能力,,,,,pending,
CONTINUOUS_DURATION_S,连续原始IQ实测时长,,,,,pending,
CONTINUOUS_TOTAL_BYTES,连续实测H和V总字节数,,,,,pending,
RAW_STREAM_RATE_MBPS,实测原始流速MB每秒,,,,,pending,
STORAGE_WRITE_MBPS,存储持续写速MB每秒,,,,,pending,
STORAGE_HEADROOM_RATIO,写速除以原始流速,,,,,pending,
CONTINUOUS_SEQUENCE_ERRORS,实测序号中断丢帧溢出或程序异常,,,,,pending,
SAMPLE_RAW_HV,最小原始HV样例及对应配置,,,,,pending,
