dataset_id,release_version,artifact_id,artifact_role,official_file_name,official_source_url,download_date,byte_count,sha256,sha256_scope,official_checksum_algorithm,official_checksum,integrity_status,local_storage_key,git_policy,license_status,notes
"lat_mricd_1_0","1.0","lat_mricd_release_zip","release_archive","LAT-MRICD-1.0.zip","https://signal.ejournal.org.cn/article/doi/10.12466/xhcl.2026.06.001","2026-08-03","181367543","2fe0d5e89016382c7c980172d67ba640179d6e2724edc735bcdf65c66b533bc0","file","","","zip_test_passed","data/raw/external/LAT-MRICD-1.0.zip","raw_ignored_not_shared","dataset_terms_not_independently_established","Official supplement archive; 33 MAT files after extraction."
"lss_hsr_l","journal_bundle_20260804","lss_hsr_l_dataset_and_instructions_zip","historical_release_archive","LSS-HSR-L_dataset_and_instructions.zip","https://radars.ac.cn/article/doi/10.12000/JR25212","2026-08-04","209569478","22112d4225636c5626845a9f0640abbf4503cc70763b592a609287760ab5f4a4","file","","","zip_test_passed_non_equivalent_to_v2","data/raw/external/LSS-HSR-L/LSS-HSR-L_dataset_and_instructions.zip","raw_ignored_not_shared","journal_bundle_terms_not_independently_established","The 1,478-entry journal bundle is a distinct historical snapshot, not the 1,561-entry ScienceDB V2 release; never merge their samples."
"lss_hsr_l","V2","lss_hsr_l_sciencedb_v2_zip","release_archive","数据集及使用说明.zip","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=be05b75a8d40470f9f2c7780d5cf3405&version=V2&global=Shanghai","2026-08-04","237020946","fea8a21354110a96fb9644dc1c69649b6dc6d1a1b6da512498d9c2d74d839540","file","","","official_size_and_zip_test_passed","data/raw/external/LSS-HSR-L/ScienceDB_V2_dataset_and_instructions.zip","raw_ignored_not_shared","cc_by_nc_4_0_verified","Official V2 contains 1,561 entries, including Dataset.py, air_routes.json and overflow samples; use a read-only loader and do not run the bundled mutating workflow on source data."
"lss_daur_1_0","V3","lss_daur_v3_release_tree","release_tree","314-file V3 release tree","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=e9c2e2fb641949259438e7b0d72a0f46&version=V3&global=Shanghai","2026-08-04","148763512","5febc59a29c42fb7dd8b001afa73fe913767f00c2c060a21a5d95073c2ee1745","sha256_of_sorted_314_file_sha256_manifest","","","file_count_size_manifest_schema_pairing_and_numeric_equivalence_passed","data/raw/external/LSS-DAUR-1.0","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","308 MAT, 2 MATLAB, 3 PDF and 1 DOCX. Canonical MATLAB v5 and backup_original v7.3 files differ bytewise because backup preserves File_head, but all shared numeric values are exactly equal; they remain retained source views and count as only 77 logical recording IDs."
"lss_fmcwr_1_0","V4","lss_fmcwr_1_usage_pdf","instructions","LSS-FMCWR-1.0_usage_instructions.pdf","https://radars.ac.cn/cn/web/data/getData?dataType=LLS-LFMCWR","2026-08-04","284306","d82d6142f536292936673d20166983638bb18ab0df5bde53f1c11c9813e97082","file","","","pdf_identified","data/raw/external/LSS-FMCWR-1.0/LSS-FMCWR-1.0_usage_instructions.pdf","raw_ignored_not_shared","cc_by_nc_nd_4_0_dataset_license_verified","Instructions only; data body not downloaded."
"lss_fmcwr_2_0","V4","fmcwr2_simulated_bird_rar","target_archive","仿真飞鸟（05）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","354700802","d182e7a12b2e49f311c1b8f67c3a24c72ed4453b73673e80f2dec443d2114bf6","file","MD5","7e33c49d229fe5bd5d5ed4548c349dd3","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/仿真飞鸟（05）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Simulated bird only; not natural-bird evidence."
"lss_fmcwr_2_0","V4","fmcwr2_ac311_rar","target_archive","直升机AC311（06）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","198884718","ae07dc4a7131f6483fce1ce1e9404e7444e1556a7223087a9c716d52488d27b7","file","MD5","d61c848bd4f42201da3ebb5f935b88d8","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/直升机AC311（06）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
"lss_fmcwr_2_0","V4","fmcwr2_mavic2_rar","target_archive","大疆御2（03）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","116063219","442ab97e64b546656e9d52fb490fde76707bbcb4f4b34cf54a70c8bbec2d26b7","file","MD5","13a07064307446cc72b8afd19f196e38","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/大疆御2（03）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
"lss_fmcwr_2_0","V4","fmcwr2_m350_rar","target_archive","大疆M350（01）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","112631521","bb9b29768946b58ae2e8db0fa6551431070c3cd387ee66c651accec7e4624c14","file","MD5","2add50311202511792c5197daba66dcd","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/大疆M350（01）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
"lss_fmcwr_2_0","V4","fmcwr2_hexacopter_rar","target_archive","六旋翼无人机（04）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","117851524","a8f3e6c84c4c7b14913cf7e604933751d21963d5c2a549186a22ccfbe999cc4e","file","MD5","6f7e95484d73d098d24a458d017697cc","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/六旋翼无人机（04）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
"lss_fmcwr_2_0","V4","fmcwr2_inspire2_rar","target_archive","大疆悟2（02）.rar","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","113324845","ba4c425ad24debc3ac0bcf39a0f0cbf3a650f53296828f21d8aa8288b435259f","file","MD5","eebd9996f29aa195a512dee64e5527f8","size_md5_sha256_passed","data/raw/external/LSS-FMCWR-2.0/大疆悟2（02）.rar","raw_ignored_not_shared","cc_by_nc_nd_4_0_verified","Official filename and local storage path retained."
