dataset_id,release_version,official_name,publisher,paper_doi,data_doi,cstr,official_landing_url,official_file_index_url,access_date,license_spdx,license_url,redistribution_policy,official_file_count,official_size_bytes,band,representation,classes,polarization,independent_unit,grouping_risk,planned_use,decision_status,decision_reason,allowed_claim_scope,prohibited_claim_scope,audit_evidence
"lat_mricd_1_0","1.0","Low-altitude target multi-band radar identification characteristic dataset","Journal of Signal Processing and ScienceDB","10.12466/xhcl.2026.06.001","","","https://signal.ejournal.org.cn/article/doi/10.12466/xhcl.2026.06.001","","2026-08-03","NOASSERTION","","The article is CC-BY-3.0; the dataset redistribution right was not independently established, so raw files stay local.","1","181367543","S;X;Ku","HRRP magnitude; narrowband complex IQ","UAV; bird; weather","none","batch-coded record group","Batch codes collide across classes/models; random row split is forbidden.","D17-NX; D17-HX; D17-XBAND","downloaded_audited_and_modeled_with_cross_band_fail_stop","Grouped X-band evidence is frozen. The one-shot cross-band gate failed only because X-to-S UAV batch recall was 0.4433; S/Ku targets are consumed and cannot be reused for model expansion or confirmatory tuning.","Within-release grouped category baselines and the frozen preregistered band-held-out negative result.","Reuse of consumed S/Ku targets for CNN/domain adaptation/tuning; unseen-model; independent external blind; physical-Hz micro-Doppler; H/V polarimetry; balloon; Tian reproduction.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_ku_1_0","1.0","LSS-Ku-1.0 low-slow-small UAV detection dataset under ground clutter","Journal of Signal Processing","10.12466/xhcl.2025.05.003","","","https://signal.ejournal.org.cn/article/doi/10.12466/xhcl.2025.05.003","","2026-08-04","NOASSERTION","","Article access does not establish raw-data redistribution rights; no local copy was made.","1","15985618112","Ku","radar detection data; schema not locally audited","low-slow-small UAV; ground clutter","not established","not established","The archive is large and grouping/session semantics are unknown until download and audit.","Possible Tian-domain or ground-clutter detection gap only","deferred_large_download","The 14.88 GiB archive is not downloaded because it does not currently remove the Tian preprocessing and alignment blockers.","Source and schema assessment after a justified download.","Tian reproduction; independent external detection; H/V polarimetry; balloon.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_hsr_l","V2","LSS-HSR-L holographic staring radar low-altitude target dataset","Journal of Radars and ScienceDB","10.12000/JR25212","10.57760/sciencedb.radars.00063","","https://www.scidb.cn/detail?dataSetId=be05b75a8d40470f9f2c7780d5cf3405&version=V2&code=j00229","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=be05b75a8d40470f9f2c7780d5cf3405&version=V2&global=Shanghai","2026-08-04","CC-BY-NC-4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode","Raw data are local research inputs and are not redistributed in Git or share packages. CC-BY-NC-4.0 was recorded from the 2026-08-04 ScienceDB metadata access, not from text embedded in the ZIP.","1","237020946","L","512-bin Doppler waterfall; frame-aligned five-dimensional trajectory","four UAV types; single bird; bird flock; migratory bird; rotating fixed target; car","none","air_route_x is the lowest published grouping; source session and scene provenance are unknown","All 865 routes are split-exclusive and all 1,530 MAT tracks are referenced exactly once, but no site, date, weather, sensor run, physical target or source-session identifier is published. The 11 overflow routes have no documented evaluation role and remain quarantined.","Read-only schema and route audit; normalized-bin Doppler and trajectory method design only","PASS_SCHEMA_BLOCKED_SOURCE_PROVENANCE_AND_PHYSICAL_AXIS","All 1,530 MAT files and 63,148 real frames pass one fixed schema: finite float64 T-by-512 DPL plus T-by-5 trajectory. Official train/validation counts reproduce exactly at 45,366/9,336 windows. The route split is auditable, but source-session independence and the DPL bin-to-Hz/velocity mapping are not.","Official V2 identity, schema, finite-value, route indexing, published split counts, trajectory units and normalized-bin or trajectory method design without model training.","Model training before source provenance and DPL-axis resolution; treating overflow as train/test; random track/frame/window split; equivalence to or mixing with the journal bundle; physical-Hz or velocity micro-Doppler; raw IQ; H/V polarimetry; balloon; source-independent or deployment evidence.","scripts/audit_lss_hsr_l_v2.py; results/data_audit/lss_hsr_l_v2/REPORT.md; docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_hsr_l","journal_bundle_20260804","LSS-HSR-L journal-hosted dataset and instructions bundle","Journal of Radars","10.12000/JR25212","10.57760/sciencedb.radars.00063","","https://radars.ac.cn/article/doi/10.12000/JR25212","","2026-08-04","NOASSERTION","","The journal bundle's own redistribution terms are not established; raw files stay local and this historical bundle is not mixed with V2.","1","209569478","L","Doppler waterfall; five-dimensional trajectory","four UAV types; single bird; bird flock; migratory bird; rotating fixed target; car","none","published train/validation sample file","This 1,478-entry bundle is a distinct historical snapshot; its dataset.py can move source files and its samples must not be merged with V2.","Historical release comparison only","downloaded_historical_journal_bundle_confirmed_not_equivalent_to_v2","The journal bundle passed ZIP integrity but differs from V2 in archive size, entry count, layout, metadata and same-named sample lengths.","Journal-bundle identity and historical comparison only.","ScienceDB V2 equivalence; merging with V2; performance claims; raw IQ; H/V polarimetry; balloon; independent external deployment evidence.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_daur_1_0","V3","LSS-DAUR-1.0 digital array ubiquitous radar sea and air target detection dataset","Journal of Radars and ScienceDB","10.12000/JR25240","10.57760/sciencedb.radars.00076","31253.11.sciencedb.radars.00076","https://www.scidb.cn/detail?dataSetId=e9c2e2fb641949259438e7b0d72a0f46&version=V3&code=j00229","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=e9c2e2fb641949259438e7b0d72a0f46&version=V3&global=Shanghai","2026-08-04","CC-BY-NC-ND-4.0","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode","Raw and repackaged data are not redistributed; only code, hashes, schema summaries and aggregate results may enter Git/share packages.","314","148763512","L","512/1024-bin complex Doppler time sequence; frame-aligned trajectory","passenger ship; speedboat; helicopter; rotary UAV; bird; fixed-wing UAV","none","77 logical paired observations grouped by an unresolved conservative connected session/scene key; canonical/backup and TD/TR views stay together","Canonical and backup are exactly equivalent views of only 77 logical observations, with one exact duplicate TD/TR content pair leaving 76 unique content pairs. Eleven recording pairs share internal frames; conservative linkage yields 39 candidate source-session groups. There are 894 repeated timestamps, six filename/header date conflicts, mixed 512/1024-bin widths and zero bird/UAV overlap in all candidate session definitions.","Read-only schema/pairing audit; normalized-bin and trajectory method design only until grouping and physical-axis gates are resolved","schema_pairing_verified_blocked_grouping_and_physical_axis","All 308 MAT files pass schema and finite checks; 77 TD/TR pairs align exactly and canonical/backup values are equal, but no authoritative session key exists, strict time fails, dates conflict and the 1024-bin physical axis is undocumented. Model training remains blocked.","Release identity, read-only loader, schema, finite-value, TD/TR alignment, metadata-equivalence and leakage/grouping audits; normalized-bin and trajectory method design only.","Model training before session/group resolution; backup as extra samples; random frame/window split; silent date repair; target-driven 512/1024 normalization; physical-Hz micro-Doppler; independent/deployment; raw ADC/IQ; H/V polarimetry; balloon; redistribution of raw or transformed data.","scripts/audit_lss_daur_v1.py; results/data_audit/lss_daur_v1/REPORT.md; docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_fmcwr_2_0","V4","LSS-FMCWR-2.0 low-altitude target K/L-band micro-Doppler dataset","Journal of Radars and ScienceDB","10.12000/JR25004","10.57760/sciencedb.radars.00054","31253.11.sciencedb.radars.00054","https://www.scidb.cn/detail?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&code=j00229","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=448ec266672b462a99e8ad3f841a0408&version=V4&global=Shanghai","2026-08-04","CC-BY-NC-ND-4.0","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode","Raw and repackaged data are not redistributed; derived-data release needs a separate ND review.","8","1013535036","K;L","FMCW echo MAT archives; micro-Doppler processing example","M350; Inspire 2; Mavic 2; hexacopter; simulated bird; AC311 helicopter","none stated","recording/angle/target archive","Official text says 90 groups while listed subtotals sum to 86; some L-band records may repeat because acquisition position did not change.","K/L and aspect-angle micro-Doppler algorithm audit","downloaded_checksum_verified_pending_archive_and_schema_audit","All eight V4 files match official byte counts and all six RAR files match official MD5; RAR extraction/schema audit is pending.","Within-release target/angle/band analysis after group audit; simulated-bird results labeled as simulation.","Natural-bird external evidence; random MAT/window split; H/V polarimetry; balloon; independent deployment evidence.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_fmcwr_1_0","V4","LSS-FMCWR-1.0 low-altitude UAV K/L-band micro-Doppler dataset","Journal of Radars and ScienceDB","10.12000/JR23142","10.57760/sciencedb.radars.00017","31253.11.sciencedb.radars.00017","https://www.scidb.cn/detail?dataSetId=fcbc11ca59b5440691b676a31800968d&version=V4&code=j00229","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=fcbc11ca59b5440691b676a31800968d&version=V4&global=Shanghai","2026-08-04","CC-BY-NC-ND-4.0","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode","Raw and repackaged data are not redistributed.","13","1111172766","K;L","FMCW echo MAT archives","six UAV types","none stated","target recording","Overlaps LSS-FMCWR-2.0 and bundled P-code prevents a transparent Python reproduction without reimplementation.","Processing-chain reference and later complementary UAV study","instructions_only_deferred","Official instructions are local; the one-gigabyte body is deferred until FMCWR-2.0 audit identifies a concrete gap.","Processing-interface design only until raw archives are downloaded and audited.","Performance claims; bird/background discrimination; H/V polarimetry; balloon.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"lss_pr_1_0","V1","LSS-PR-1.0 passive radar sea/air target dataset","ScienceDB","","10.57760/sciencedb.14468","","https://doi.org/10.57760/sciencedb.14468","","2026-08-04","CC-BY-NC-ND-4.0","https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode","No redistribution planned.","92","112515178","passive radar","complex range-Doppler; paired trajectory","drone; sea targets; limited bird trajectory","none","recording","Only nine drone recordings and a metadata/file-tree mismatch for bird files; sea domain dominates.","Later paired RD/trajectory loader test","deferred","DAUR covers the immediate UAV/bird and TD/TR need more directly.","Schema exploration after download.","General UAV/bird performance; H/V polarimetry; balloon.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"radar_acoustic_drone_36809","V1","Radar-acoustic drone detection system dataset","ScienceDB","","10.57760/sciencedb.36809","","https://doi.org/10.57760/sciencedb.36809","https://www.scidb.cn/api/sdb-filetree-service/getAllUrl?dataSetId=46ea4c09e6ef45bda7487f64fc8005f9&version=V1&global=Shanghai","2026-08-04","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/legalcode","Attribution required; no local copy was made.","28","1729510483","not documented","AWGN-derived ZIP/JPG products","UAV","none stated","unknown base sample","Nine SNR packages likely repeat the same base samples; no README, radar parameters, session IDs or bird/weather controls were found.","None in the current stage","rejected_for_current_stage","Downloading all SNR variants would add volume without resolving leakage or domain questions.","None until a base-sample identity and schema audit is possible.","Independent samples across SNR; multimodal generalization; balloon.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
"head_1_0","V1","HEAD-1.0 hybrid-polarimetric SAR dataset","Journal of Radars and ScienceDB","","10.57760/sciencedb.radars.00068","","https://doi.org/10.57760/sciencedb.radars.00068","","2026-08-04","CC-BY-NC-4.0","https://creativecommons.org/licenses/by-nc/4.0/legalcode","Not downloaded.","","410282570941","spaceborne SAR bands","hybrid/full-polarimetric SLC","land cover","hybrid/full polarimetric","scene/tile","Sensor, geometry and target domain differ fundamentally from low-altitude staring/FMCW radar.","Possible future polarimetric math unit tests only","rejected_for_current_stage","About 410 GB and not a low-altitude target dataset.","Generic polarimetric transform unit validation only.","UAV/balloon transfer; low-altitude H/V calibration; target recognition evidence.","docs/EXTERNAL_PUBLIC_DATA_AUDIT_20260803.md"
