sample_id,session_id,timestamp,mat_path,label_path,target_present,target_class,payload_present,payload_mass_g,payload_state,distance_m,velocity_mps,azimuth_deg,beam_layer,range_index_0,range_gate_1,velocity_index_0,doppler_bin,split
20260202_144238_beam1,20260202_144238,20260202_144238,data/raw/IQ_Data/20260202_144238_beam1.mat,data/raw/Labels/20260202_144238_beam1.txt,1,uav,unknown,,unknown,2040.0,-2.19,312.35,1,67,68,76,12,
20260202_144238_beam2,20260202_144238,20260202_144238,data/raw/IQ_Data/20260202_144238_beam2.mat,data/raw/Labels/20260202_144238_beam2.txt,1,uav,unknown,,unknown,2040.0,-2.19,311.35,2,67,68,76,12,
20260202_144238_beam3,20260202_144238,20260202_144238,data/raw/IQ_Data/20260202_144238_beam3.mat,data/raw/Labels/20260202_144238_beam3.txt,1,uav,unknown,,unknown,2040.0,-2.19,312.35,3,67,68,76,12,
20260202_144238_beam4,20260202_144238,20260202_144238,data/raw/IQ_Data/20260202_144238_beam4.mat,data/raw/Labels/20260202_144238_beam4.txt,1,uav,unknown,,unknown,2040.0,-2.19,312.35,4,67,68,76,12,
20260202_144246_beam1,20260202_144246,20260202_144246,data/raw/IQ_Data/20260202_144246_beam1.mat,data/raw/Labels/20260202_144246_beam1.txt,1,uav,unknown,,unknown,2040.0,-1.83,312.22,1,67,68,74,10,
20260202_144246_beam2,20260202_144246,20260202_144246,data/raw/IQ_Data/20260202_144246_beam2.mat,data/raw/Labels/20260202_144246_beam2.txt,1,uav,unknown,,unknown,2040.0,-1.83,312.22,2,67,68,74,10,
20260202_144246_beam3,20260202_144246,20260202_144246,data/raw/IQ_Data/20260202_144246_beam3.mat,data/raw/Labels/20260202_144246_beam3.txt,1,uav,unknown,,unknown,2010.0,-1.83,311.23,3,66,67,74,10,
20260202_144246_beam4,20260202_144246,20260202_144246,data/raw/IQ_Data/20260202_144246_beam4.mat,data/raw/Labels/20260202_144246_beam4.txt,1,uav,unknown,,unknown,2010.0,-1.83,311.23,4,66,67,74,10,
20260202_144246_beam5,20260202_144246,20260202_144246,data/raw/IQ_Data/20260202_144246_beam5.mat,data/raw/Labels/20260202_144246_beam5.txt,1,uav,unknown,,unknown,2010.0,-1.83,311.23,5,66,67,74,10,
20260202_144254_beam1,20260202_144254,20260202_144254,data/raw/IQ_Data/20260202_144254_beam1.mat,data/raw/Labels/20260202_144254_beam1.txt,1,uav,unknown,,unknown,2010.0,-2.01,311.76,1,66,67,75,11,
20260202_144254_beam2,20260202_144254,20260202_144254,data/raw/IQ_Data/20260202_144254_beam2.mat,data/raw/Labels/20260202_144254_beam2.txt,1,uav,unknown,,unknown,2010.0,-2.01,311.76,2,66,67,75,11,
20260202_144254_beam3,20260202_144254,20260202_144254,data/raw/IQ_Data/20260202_144254_beam3.mat,data/raw/Labels/20260202_144254_beam3.txt,1,uav,unknown,,unknown,2010.0,-2.01,311.76,3,66,67,75,11,
20260202_144254_beam4,20260202_144254,20260202_144254,data/raw/IQ_Data/20260202_144254_beam4.mat,data/raw/Labels/20260202_144254_beam4.txt,1,uav,unknown,,unknown,2010.0,-2.01,311.76,4,66,67,75,11,
