source_file,velocity_mps,sample_count,responsible_in_selected_component_count,responsible_cell_selected_count,responsible_in_selected_component_rate,responsible_cell_selected_rate,H_label_db_mean,H_label_db_min,H_label_db_max,decoded_error_mean,decoded_error_max
20260202_144425,-3.47,5,4,0,0.8,0.0,17.735819625854493,11.312507629394531,23.585691452026367,14.221045654484513,54.08326913195984
20260202_144433,-4.2,5,4,0,0.8,0.0,22.359846305847167,15.626002311706545,27.56717872619629,12.767446238730242,42.2965719651132
20260202_144458,5.66,5,4,3,0.8,0.6,23.736333465576173,16.077045440673828,29.80276298522949,18.5006123630872,80.09993757800315
20260202_144506,4.75,5,2,0,0.4,0.0,21.4551362991333,12.301325798034668,26.90558624267578,24.058821594416106,43.01162633521314
20260202_144515,5.3,5,3,0,0.6,0.0,25.086691856384277,14.82962703704834,31.57683563232422,16.662743739448437,38.01315561749642
20260202_144523,5.12,5,5,5,1.0,1.0,29.200316619873046,16.92329216003418,35.784305572509766,1.3313708498984762,1.4142135623730951
20260202_144539,3.11,1,1,0,1.0,0.0,22.208477020263672,22.208477020263672,22.208477020263672,2.8284271247461903,2.8284271247461903
20260202_144539,3.29,3,2,0,0.6666666666666666,0.0,17.287131309509277,12.099141120910645,20.8786563873291,26.091484856229147,71.06335201775947
20260202_144548,2.38,4,1,0,0.25,0.0,22.78684139251709,15.857105255126951,27.135791778564453,32.5693959969793,58.137767414994535
20260202_144556,-1.64,3,3,0,1.0,0.0,20.97950617472331,18.3524227142334,23.2741641998291,5.21895141649746,5.656854249492381
20260202_144604,-4.2,3,3,0,1.0,0.0,23.062045415242512,16.985118865966797,27.397491455078125,2.8900154592366563,3.605551275463989
20260202_144604,-4.02,1,0,0,0.0,0.0,21.704423904418945,21.704423904418945,21.704423904418945,61.032778078668514,61.032778078668514
20260202_144613,-5.66,4,4,0,1.0,0.0,24.689801692962646,18.85353279113769,28.730018615722656,2.23606797749979,2.23606797749979
20260202_144629,-6.76,4,0,0,0.0,0.0,19.10879635810852,13.05677318572998,22.230636596679688,72.61723067281055,88.45903006477066
