scope,fold,mode,experiment_name,parameter_count,best_epoch,base_threshold,selected_threshold,raw_false_alarms,refined_false_alarms,refined_fixed_pfa,refined_fixed_score_pd,refined_fixed_joint_pd,refined_auc,refined_pauc_5pct,refined_tpr_1pct,refined_tpr_5pct,range_mae,velocity_mae,selected_test_pfa,selected_test_joint_pd,delta_false_alarms_vs_raw,delta_joint_pd_vs_raw
formal,1,power2_baseline,roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_formal,0,0,0.183837890625,0.3426465392112732,150,150,1.0,1.0,0.9811320754716981,0.9444025157232705,0.801967424608934,0.5094339622641509,0.7169811320754716,1.0566037735849056,0.8867924528301887,0.9733333333333334,0.9811320754716981,0,0.0
formal,1,power2_roi_power_control,roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_formal,8162,28,0.183837890625,0.06687689572572708,150,98,0.6533333333333333,1.0,0.9811320754716981,0.9618867924528302,0.8238993710691824,0.5094339622641509,0.7924528301886793,1.0566037735849056,0.8867924528301887,0.7466666666666667,0.9811320754716981,-52,0.0
formal,1,power2_roi_ri4,roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_formal,8162,16,0.183837890625,0.039046984165906906,150,100,0.6666666666666666,1.0,0.9811320754716981,0.9422641509433963,0.8026124818577649,0.5094339622641509,0.7358490566037735,1.0566037735849056,0.8867924528301887,0.78,0.9811320754716981,-50,0.0
formal,1,power2_roi_polar6_gated,roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_formal,8162,6,0.183837890625,0.05405490845441818,150,84,0.56,0.9811320754716981,0.9622641509433962,0.930440251572327,0.8064828253507499,0.49056603773584906,0.7358490566037735,1.0566037735849056,0.8867924528301887,0.6466666666666666,0.9811320754716981,-66,-0.018867924528301883
formal,1,power2_roi_ri4_polar6_gated,roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_formal,8162,6,0.183837890625,0.01218968816101551,150,124,0.8266666666666667,1.0,0.9811320754716981,0.9515723270440252,0.8045476536042573,0.5094339622641509,0.7547169811320755,1.0566037735849056,0.8867924528301887,0.9866666666666667,0.9811320754716981,-26,0.0
formal,4,power2_baseline,roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_formal,0,0,0.140869140625,0.1846509873867035,148,148,0.9866666666666667,1.0,0.7884615384615384,0.8848717948717949,0.8113083497698882,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9733333333333334,0.7884615384615384,0,0.0
formal,4,power2_roi_power_control,roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_formal,8162,5,0.140869140625,0.030368251726031303,148,139,0.9266666666666666,1.0,0.7884615384615384,0.8848717948717948,0.8126232741617356,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.98,0.7884615384615384,-9,0.0
formal,4,power2_roi_ri4,roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_formal,8162,8,0.140869140625,0.026798516511917114,148,96,0.64,0.9615384615384616,0.7884615384615384,0.8885897435897437,0.8152531229454307,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9133333333333333,0.7884615384615384,-52,0.0
formal,4,power2_roi_polar6_gated,roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_formal,8162,4,0.140869140625,0.024506190791726112,148,130,0.8666666666666667,1.0,0.7884615384615384,0.8917948717948718,0.8139381985535832,0.5961538461538461,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9733333333333334,0.7884615384615384,-18,0.0
formal,4,power2_roi_ri4_polar6_gated,roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_formal,8162,6,0.140869140625,0.042467150837183,148,110,0.7333333333333333,0.9615384615384616,0.7884615384615384,0.8937179487179486,0.8152531229454306,0.6153846153846154,0.7115384615384616,4.230769230769231,3.8653846153846154,0.9066666666666666,0.7884615384615384,-38,0.0
