sample_id,session_id,split,beam_layer,distance_m,velocity_mps,true_range_index,true_velocity_index,mat_path,H_global_velocity_index,H_global_range_index,H_global_velocity_offset,H_global_range_offset,H_global_peak_db,H_local_velocity_index,H_local_range_index,H_local_velocity_offset,H_local_range_offset,H_local_abs_velocity_offset,H_local_abs_range_offset,H_local_peak_db,H_label_db,H_local_peak_minus_label_db,V_global_velocity_index,V_global_range_index,V_global_velocity_offset,V_global_range_offset,V_global_peak_db,V_local_velocity_index,V_local_range_index,V_local_velocity_offset,V_local_range_offset,V_local_abs_velocity_offset,V_local_abs_range_offset,V_local_peak_db,V_label_db,V_local_peak_minus_label_db,H_minus_V_local_range_index,H_minus_V_local_velocity_index,H_minus_V_local_peak_db,distance_bin,velocity_bin
20260202_144238_beam1,20260202_144238,val,1,2040.0,-2.19,67,76,data/raw/IQ_Data/20260202_144238_beam1.mat,64,8,-12,-59,60.355316162109375,76,65,0,-2,0,2,19.441259384155273,18.62961769104004,0.8116416931152344,64,8,-12,-59,59.880577087402344,76,71,0,4,0,4,31.4444637298584,31.28026008605957,0.16420364379882812,-6,0,-12.003204345703125,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144238_beam2,20260202_144238,val,2,2040.0,-2.19,67,76,data/raw/IQ_Data/20260202_144238_beam2.mat,64,8,-12,-59,60.77690505981445,76,63,0,-4,0,4,22.79403305053711,21.785354614257812,1.0086784362792969,64,8,-12,-59,61.79706954956055,76,65,0,-2,0,2,35.83064651489258,35.6472053527832,0.183441162109375,-2,0,-13.036613464355469,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144238_beam3,20260202_144238,val,3,2040.0,-2.19,67,76,data/raw/IQ_Data/20260202_144238_beam3.mat,64,8,-12,-59,61.20252227783203,76,65,0,-2,0,2,26.36249351501465,26.187423706054688,0.17506980895996094,64,8,-12,-59,61.077552795410156,76,70,0,3,0,3,39.62653732299805,39.592288970947266,0.03424835205078125,-5,0,-13.264043807983398,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144238_beam4,20260202_144238,val,4,2040.0,-2.19,67,76,data/raw/IQ_Data/20260202_144238_beam4.mat,64,8,-12,-59,61.90966796875,76,66,0,-1,0,1,21.40399742126465,21.04473114013672,0.3592662811279297,64,8,-12,-59,61.18547821044922,76,67,0,0,0,0,34.57954406738281,34.57954406738281,0.0,-1,0,-13.175546646118164,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144246_beam1,20260202_144246,train,1,2040.0,-1.83,67,74,data/raw/IQ_Data/20260202_144246_beam1.mat,64,26,-10,-41,63.64357376098633,74,69,0,2,0,2,18.7700252532959,17.030153274536133,1.7398719787597656,64,24,-10,-43,61.294769287109375,74,71,0,4,0,4,29.895809173583984,29.246540069580078,0.6492691040039062,-2,0,-11.125783920288086,"[1800.0, 2100.0)","[-2.0, 0.0)"
20260202_144246_beam2,20260202_144246,train,2,2040.0,-1.83,67,74,data/raw/IQ_Data/20260202_144246_beam2.mat,64,26,-10,-41,61.87761688232422,74,71,0,4,0,4,26.05320167541504,25.250680923461914,0.802520751953125,64,8,-10,-59,61.798011779785156,74,71,0,4,0,4,37.79847717285156,37.14653778076172,0.6519393920898438,0,0,-11.745275497436523,"[1800.0, 2100.0)","[-2.0, 0.0)"
20260202_144246_beam3,20260202_144246,train,3,2010.0,-1.83,66,74,data/raw/IQ_Data/20260202_144246_beam3.mat,64,8,-10,-58,61.203887939453125,74,71,0,5,0,5,28.905799865722656,27.860294342041016,1.0455055236816406,64,8,-10,-58,61.078224182128906,74,71,0,5,0,5,40.9174919128418,40.26293182373047,0.6545600891113281,0,0,-12.01169204711914,"[1800.0, 2100.0)","[-2.0, 0.0)"
20260202_144246_beam4,20260202_144246,train,4,2010.0,-1.83,66,74,data/raw/IQ_Data/20260202_144246_beam4.mat,64,8,-10,-58,61.91034698486328,74,71,0,5,0,5,24.23126220703125,23.0023193359375,1.22894287109375,64,8,-10,-58,61.186622619628906,74,63,0,-3,0,3,36.163665771484375,35.470157623291016,0.6935081481933594,8,0,-11.932403564453125,"[1800.0, 2100.0)","[-2.0, 0.0)"
20260202_144246_beam5,20260202_144246,train,5,2010.0,-1.83,66,74,data/raw/IQ_Data/20260202_144246_beam5.mat,64,8,-10,-58,54.832271575927734,74,63,0,-3,0,3,14.953585624694824,12.829883575439453,2.123702049255371,64,8,-10,-58,55.61015319824219,74,63,0,-3,0,3,25.880626678466797,24.924301147460938,0.9563255310058594,0,0,-10.927041053771973,"[1800.0, 2100.0)","[-2.0, 0.0)"
20260202_144254_beam1,20260202_144254,train,1,2010.0,-2.01,66,75,data/raw/IQ_Data/20260202_144254_beam1.mat,64,8,-11,-58,60.3543701171875,75,69,0,3,0,3,16.149394989013672,14.822875022888184,1.3265199661254883,64,8,-11,-58,59.88331604003906,75,62,0,-4,0,4,28.759437561035156,28.352663040161133,0.40677452087402344,7,0,-12.610042572021484,"[1800.0, 2100.0)","[-4.0, -2.0)"
20260202_144254_beam2,20260202_144254,train,2,2010.0,-2.01,66,75,data/raw/IQ_Data/20260202_144254_beam2.mat,64,8,-11,-58,60.780250549316406,75,69,0,3,0,3,23.98593521118164,23.048667907714844,0.9372673034667969,64,8,-11,-58,61.79844665527344,75,62,0,-4,0,4,36.71010208129883,36.48779296875,0.22230911254882812,7,0,-12.724166870117188,"[1800.0, 2100.0)","[-4.0, -2.0)"
