group_type,group_value,channel,sample_count,range_signed_mean,range_signed_median,range_signed_mode,range_signed_std,range_mae,range_rmse,range_within_0_rate,range_within_1_rate,range_within_2_rate,range_within_3_rate,velocity_signed_mean,velocity_signed_median,velocity_signed_mode,velocity_signed_std,velocity_mae,velocity_rmse,velocity_within_0_rate,velocity_within_1_rate,velocity_within_2_rate,velocity_within_3_rate
velocity_bin,"[-2.0, 0.0)",H,16,0.8125,0.5,-4.0,4.489136191963884,4.0625,4.562071897723665,0.0625,0.125,0.1875,0.375,-0.125,0.0,0.0,0.33071891388307384,0.125,0.3535533905932738,0.875,1.0,1.0,1.0
velocity_bin,"[-2.0, 0.0)",V,16,0.3125,-1.5,-2.0,3.8684420313609458,3.3125,3.881043674065006,0.0,0.1875,0.4375,0.625,0.0,0.0,0.0,0.3535533905932738,0.125,0.3535533905932738,0.875,1.0,1.0,1.0
velocity_bin,"[-4.0, -2.0)",H,50,-0.44,-1.0,-4.0,3.2505999446256078,2.96,3.280243893371345,0.06,0.2,0.36,0.5,-0.02,0.0,0.0,0.4237924020083418,0.18,0.4242640687119285,0.82,1.0,1.0,1.0
velocity_bin,"[-4.0, -2.0)",V,50,-0.46,-1.5,-4.0,3.447955916191505,3.26,3.478505426185217,0.02,0.12,0.26,0.42,-0.02,0.0,0.0,0.4237924020083418,0.18,0.4242640687119285,0.82,1.0,1.0,1.0
velocity_bin,"[-6.0, -4.0)",H,86,0.3488372093023256,1.0,-4.0,3.0452686972770504,2.7209302325581395,3.0651833284828665,0.06976744186046512,0.2441860465116279,0.4186046511627907,0.6046511627906976,0.09302325581395349,0.0,0.0,0.32806362743409034,0.11627906976744186,0.34099716973523675,0.8837209302325582,1.0,1.0,1.0
velocity_bin,"[-6.0, -4.0)",V,86,-0.45348837209302323,0.0,-4.0,3.1277340662849955,2.802325581395349,3.160438591876649,0.06976744186046512,0.2441860465116279,0.4186046511627907,0.5348837209302325,0.08139534883720931,0.0,0.0,0.3482553286481846,0.12790697674418605,0.3576408488192953,0.872093023255814,1.0,1.0,1.0
velocity_bin,"[-8.0, -6.0)",H,10,-0.9,-1.5,1.0,2.4677925358506134,2.3,2.6267851073127395,0.0,0.4,0.6,0.7,-0.4,0.0,0.0,0.4898979485566356,0.4,0.6324555320336759,0.6,1.0,1.0,1.0
velocity_bin,"[-8.0, -6.0)",V,10,0.9,0.5,4.0,2.507987240796891,2.1,2.6645825188948455,0.2,0.5,0.6,0.6,-0.4,0.0,0.0,0.4898979485566356,0.4,0.6324555320336759,0.6,1.0,1.0,1.0
velocity_bin,"[2.0, 4.0)",H,65,-0.4,-2.0,-4.0,3.8422749671356065,3.723076923076923,3.863039855227606,0.015384615384615385,0.03076923076923077,0.15384615384615385,0.24615384615384617,0.03076923076923077,0.0,0.0,0.3494712828184784,0.12307692307692308,0.35082320772281167,0.8769230769230769,1.0,1.0,1.0
velocity_bin,"[2.0, 4.0)",V,65,0.0,1.0,-4.0,3.7334249073018113,3.5384615384615383,3.7334249073018113,0.015384615384615385,0.1076923076923077,0.16923076923076924,0.3230769230769231,0.046153846153846156,0.0,0.0,0.36923076923076925,0.13846153846153847,0.3721042037676254,0.8615384615384616,1.0,1.0,1.0
velocity_bin,"[4.0, 6.0)",H,80,0.6625,2.0,-4.0,3.492648529411455,3.3125,3.554926159570688,0.025,0.125,0.2625,0.4125,0.1625,0.0,0.0,0.401364858950058,0.1875,0.4330127018922193,0.8125,1.0,1.0,1.0
velocity_bin,"[4.0, 6.0)",V,80,0.5125,1.0,4.0,3.549625860566153,3.3125,3.5864327680858596,0.025,0.1625,0.275,0.3875,0.1625,0.0,0.0,0.401364858950058,0.1875,0.4330127018922193,0.8125,1.0,1.0,1.0
velocity_bin,"[6.0, 8.0)",H,11,-1.3636363636363635,-2.0,-4.0,2.603240193322973,2.6363636363636362,2.9387690682262932,0.0,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.5454545454545454,1.0,1.0,0.49792959773196915,0.5454545454545454,0.7385489458759964,0.45454545454545453,1.0,1.0,1.0
velocity_bin,"[6.0, 8.0)",V,11,-0.9090909090909091,-1.0,-5.0,3.4233037061386784,3.090909090909091,3.541956316141483,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.5454545454545454,1.0,1.0,0.49792959773196915,0.5454545454545454,0.7385489458759964,0.45454545454545453,1.0,1.0,1.0
