method,policy,scope,fold,threshold,sample_count,positive_count,background_count,false_alarm_count,pfa,score_detection_count,score_recall,correct_detection_count,joint_pd,binary_tp,binary_fn,binary_fp,binary_tn,binary_accuracy,binary_precision,binary_recall,binary_f1,roc_auc,all_positive_range_mae_gates,all_positive_velocity_mae_bins,detected_positive_range_mae_gates,detected_positive_velocity_mae_bins,correct_positive_range_mae_gates,correct_positive_velocity_mae_bins,range_tolerance_gates,velocity_tolerance_bins
raw,two_per_fold,combined_test,all,0.8037906289100647,1148,318,830,26,0.03132530120481928,299,0.940251572327044,290,0.9119496855345912,299,19,26,804,0.960801393728223,0.92,0.940251572327044,0.9300155520995335,0.9888402667272865,1.4182389937106918,1.1540880503144655,0.8729096989966555,0.568561872909699,0.6068965517241379,0.33448275862068966,2,3
raw,two_per_fold,per_fold_test,1,0.8037906289100647,203,53,150,18,0.12,51,0.9622641509433962,51,0.9622641509433962,51,2,18,132,0.9014778325123153,0.7391304347826086,0.9622641509433962,0.8360655737704918,0.9822641509433963,0.4528301886792453,0.32075471698113206,0.4117647058823529,0.3137254901960784,0.4117647058823529,0.3137254901960784,2,3
raw,two_per_fold,per_fold_test,2,0.8037906289100647,203,53,150,0,0.0,52,0.9811320754716981,49,0.9245283018867925,52,1,0,150,0.9950738916256158,1.0,0.9811320754716981,0.9904761904761905,1.0,1.1320754716981132,1.3584905660377358,1.1346153846153846,1.3076923076923077,0.5918367346938775,0.2653061224489796,2,3
raw,two_per_fold,per_fold_test,3,0.8037906289100647,167,52,115,0,0.0,50,0.9615384615384616,48,0.9230769230769231,50,2,0,115,0.9880239520958084,1.0,0.9615384615384616,0.9803921568627451,1.0,1.0576923076923077,1.4230769230769231,0.68,0.6,0.5416666666666666,0.5208333333333334,2,3
raw,two_per_fold,per_fold_test,4,0.8037906289100647,202,52,150,8,0.05333333333333334,47,0.9038461538461539,46,0.8846153846153846,47,5,8,142,0.9356435643564357,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.9661538461538461,2.673076923076923,1.9423076923076923,0.7446808510638298,0.2765957446808511,0.6956521739130435,0.2826086956521739,2,3
raw,two_per_fold,per_fold_test,5,0.8037906289100647,210,60,150,0,0.0,56,0.9333333333333333,55,0.9166666666666666,56,4,0,150,0.9809523809523809,1.0,0.9333333333333333,0.9655172413793104,0.9997777777777778,1.0333333333333334,0.7333333333333333,0.75,0.25,0.7090909090909091,0.23636363636363636,2,3
raw,two_per_fold,per_fold_test,6,0.8037906289100647,163,48,115,0,0.0,43,0.8958333333333334,41,0.8541666666666666,43,5,0,115,0.9693251533742331,1.0,0.8958333333333334,0.945054945054945,0.998731884057971,2.3125,1.2291666666666667,1.627906976744186,0.6744186046511628,0.7073170731707317,0.4146341463414634,2,3
bc_v2,two_per_fold,combined_test,all,0.8036319017410278,1148,318,830,5,0.006024096385542169,278,0.8742138364779874,272,0.8553459119496856,278,40,5,825,0.960801393728223,0.9823321554770318,0.8742138364779874,0.9251247920133112,0.9943623550807001,1.4182389937106918,1.1540880503144655,0.8093525179856115,0.45323741007194246,0.5955882352941176,0.3272058823529412,2,3
bc_v2,two_per_fold,per_fold_test,1,0.8036319017410278,203,53,150,4,0.02666666666666667,50,0.9433962264150944,50,0.9433962264150944,50,3,4,146,0.9655172413793104,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.9867924528301887,0.4528301886792453,0.32075471698113206,0.42,0.32,0.42,0.32,2,3
bc_v2,two_per_fold,per_fold_test,2,0.8036319017410278,203,53,150,0,0.0,43,0.8113207547169812,42,0.7924528301886793,43,10,0,150,0.9507389162561576,1.0,0.8113207547169812,0.8958333333333334,1.0,1.1320754716981132,1.3584905660377358,0.7674418604651163,0.627906976744186,0.5238095238095238,0.19047619047619047,2,3
