fold,mode,model_source,context_role,causality,training_context_match,threshold,samples,background_samples,target_samples,false_alarms,pfa,score_detections,score_pd,correct_detections,joint_pd,joint_precision,joint_f1,roc_auc,background_shift_mean,target_shift_mean
01,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.337646484375,203,150,53,86,0.5733333333333334,53,1.0,53,1.0,0.381294964028777,0.5520833333333334,0.9822641509433961,0.0,0.0
01,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.337646484375,203,150,53,54,0.36,53,1.0,53,1.0,0.4953271028037383,0.6625,0.9842767295597485,0.5151753136298308,0.0271956464385543
01,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.337646484375,203,150,53,42,0.28,53,1.0,53,1.0,0.5578947368421052,0.7162162162162162,0.9994968553459119,0.6985316403210163,2.1446488594761524e-05
01,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.337646484375,203,150,53,39,0.26,53,1.0,53,1.0,0.5760869565217391,0.7310344827586206,0.9994968553459119,0.7003361687560876,2.1229359639241835e-05
01,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.337646484375,203,150,53,59,0.3933333333333333,53,1.0,53,1.0,0.4732142857142857,0.6424242424242425,0.9884276729559749,0.43849144521751443,0.2739924595315865
01,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.337646484375,203,150,53,56,0.37333333333333335,53,1.0,53,1.0,0.48623853211009177,0.654320987654321,0.9884276729559749,0.584911262790362,0.2739924595315865
01,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.337646484375,203,150,53,48,0.32,53,1.0,53,1.0,0.5247524752475248,0.6883116883116883,0.9943396226415094,0.6568667342265447,0.2739924595315865
01,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.337646484375,203,150,53,41,0.2733333333333333,53,1.0,53,1.0,0.5638297872340425,0.7210884353741497,0.9981132075471698,0.7009400835633278,0.2739924595315865
02,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.393798828125,203,150,53,0,0.0,53,1.0,49,0.9245283018867925,1.0,0.9607843137254902,0.9999999999999999,0.0,0.0
02,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.393798828125,203,150,53,0,0.0,53,1.0,49,0.9245283018867925,1.0,0.9607843137254902,1.0,0.7970602691173554,0.01796086653333949
