fold,mode,class_name,samples,zero_context_samples,used_context_min,used_context_median,used_context_mean,used_context_max,available_history_max
01,full_complete_scan,background,150,0,150,150.0,150.0,150,150
01,full_complete_scan,target,53,0,4,5.0,4.849056603773585,5,5
01,full_leave_one_out,background,150,0,149,149.0,149.0,149,149
01,full_leave_one_out,target,53,0,3,4.0,3.849056603773585,4,4
01,full_past_only_w04,background,150,1,0,4.0,3.933333333333333,4,149
01,full_past_only_w04,target,53,11,0,2.0,1.9245283018867925,4,4
01,full_past_only_w16,background,150,1,0,16.0,15.093333333333334,16,149
01,full_past_only_w16,target,53,11,0,2.0,1.9245283018867925,4,4
01,full_past_only_w64,background,150,1,0,64.0,50.13333333333333,64,149
01,full_past_only_w64,target,53,11,0,2.0,1.9245283018867925,4,4
01,full_past_only_all,background,150,1,0,74.5,74.5,149,149
01,full_past_only_all,target,53,11,0,2.0,1.9245283018867925,4,4
02,full_complete_scan,background,150,0,150,150.0,150.0,150,150
02,full_complete_scan,target,53,0,3,5.0,4.509433962264151,5,5
02,full_leave_one_out,background,150,0,149,149.0,149.0,149,149
02,full_leave_one_out,target,53,0,2,4.0,3.509433962264151,4,4
02,full_past_only_w04,background,150,1,0,4.0,3.933333333333333,4,149
02,full_past_only_w04,target,53,12,0,2.0,1.7547169811320755,4,4
02,full_past_only_w16,background,150,1,0,16.0,15.093333333333334,16,149
02,full_past_only_w16,target,53,12,0,2.0,1.7547169811320755,4,4
02,full_past_only_w64,background,150,1,0,64.0,50.13333333333333,64,149
02,full_past_only_w64,target,53,12,0,2.0,1.7547169811320755,4,4
02,full_past_only_all,background,150,1,0,74.5,74.5,149,149
02,full_past_only_all,target,53,12,0,2.0,1.7547169811320755,4,4
03,full_complete_scan,background,115,0,115,115.0,115.0,115,115
03,full_complete_scan,target,52,0,4,4.0,4.384615384615385,5,5
03,full_leave_one_out,background,115,0,114,114.0,114.0,114,114
03,full_leave_one_out,target,52,0,3,3.0,3.3846153846153846,4,4
03,full_past_only_w04,background,115,1,0,4.0,3.9130434782608696,4,114
03,full_past_only_w04,target,52,12,0,2.0,1.6923076923076923,4,4
03,full_past_only_w16,background,115,1,0,16.0,14.817391304347826,16,114
03,full_past_only_w16,target,52,12,0,2.0,1.6923076923076923,4,4
03,full_past_only_w64,background,115,1,0,57.0,45.91304347826087,64,114
03,full_past_only_w64,target,52,12,0,2.0,1.6923076923076923,4,4
03,full_past_only_all,background,115,1,0,57.0,57.0,114,114
03,full_past_only_all,target,52,12,0,2.0,1.6923076923076923,4,4
04,full_complete_scan,background,150,0,150,150.0,150.0,150,150
04,full_complete_scan,target,52,0,4,4.0,4.384615384615385,5,5
04,full_leave_one_out,background,150,0,149,149.0,149.0,149,149
04,full_leave_one_out,target,52,0,3,3.0,3.3846153846153846,4,4
04,full_past_only_w04,background,150,1,0,4.0,3.933333333333333,4,149
04,full_past_only_w04,target,52,12,0,2.0,1.6923076923076923,4,4
04,full_past_only_w16,background,150,1,0,16.0,15.093333333333334,16,149
04,full_past_only_w16,target,52,12,0,2.0,1.6923076923076923,4,4
04,full_past_only_w64,background,150,1,0,64.0,50.13333333333333,64,149
04,full_past_only_w64,target,52,12,0,2.0,1.6923076923076923,4,4
04,full_past_only_all,background,150,1,0,74.5,74.5,149,149
04,full_past_only_all,target,52,12,0,2.0,1.6923076923076923,4,4
05,full_complete_scan,background,150,0,150,150.0,150.0,150,150
05,full_complete_scan,target,60,0,3,4.5,4.4,5,5
05,full_leave_one_out,background,150,0,149,149.0,149.0,149,149
05,full_leave_one_out,target,60,0,2,3.5,3.4,4,4
05,full_past_only_w04,background,150,1,0,4.0,3.933333333333333,4,149
05,full_past_only_w04,target,60,14,0,2.0,1.7,4,4
05,full_past_only_w16,background,150,1,0,16.0,15.093333333333334,16,149
05,full_past_only_w16,target,60,14,0,2.0,1.7,4,4
05,full_past_only_w64,background,150,1,0,64.0,50.13333333333333,64,149
05,full_past_only_w64,target,60,14,0,2.0,1.7,4,4
05,full_past_only_all,background,150,1,0,74.5,74.5,149,149
05,full_past_only_all,target,60,14,0,2.0,1.7,4,4
06,full_complete_scan,background,115,0,115,115.0,115.0,115,115
06,full_complete_scan,target,48,0,4,5.0,4.833333333333333,5,5
06,full_leave_one_out,background,115,0,114,114.0,114.0,114,114
06,full_leave_one_out,target,48,0,3,4.0,3.8333333333333335,4,4
06,full_past_only_w04,background,115,1,0,4.0,3.9130434782608696,4,114
06,full_past_only_w04,target,48,10,0,2.0,1.9166666666666667,4,4
06,full_past_only_w16,background,115,1,0,16.0,14.817391304347826,16,114
06,full_past_only_w16,target,48,10,0,2.0,1.9166666666666667,4,4
06,full_past_only_w64,background,115,1,0,57.0,45.91304347826087,64,114
06,full_past_only_w64,target,48,10,0,2.0,1.9166666666666667,4,4
06,full_past_only_all,background,115,1,0,57.0,57.0,114,114
06,full_past_only_all,target,48,10,0,2.0,1.9166666666666667,4,4
