fold,mode,background_shared_alarm,background_complete_only_alarm,background_candidate_only_alarm,target_shared_correct,target_complete_only_correct,target_candidate_only_correct,status
01,raw_dpg,42,0,44,53,0,0,post-hoc paired sensitivity; not a selection rule
01,sample_independent_bc,32,10,22,53,0,0,post-hoc paired sensitivity; not a selection rule
01,full_leave_one_out,39,3,0,53,0,0,post-hoc paired sensitivity; not a selection rule
01,full_past_only_w04,37,5,22,53,0,0,post-hoc paired sensitivity; not a selection rule
01,full_past_only_w16,38,4,18,53,0,0,post-hoc paired sensitivity; not a selection rule
01,full_past_only_w64,37,5,11,53,0,0,post-hoc paired sensitivity; not a selection rule
01,full_past_only_all,37,5,4,53,0,0,post-hoc paired sensitivity; not a selection rule
02,raw_dpg,0,0,0,49,0,0,post-hoc paired sensitivity; not a selection rule
02,sample_independent_bc,0,0,0,49,0,0,post-hoc paired sensitivity; not a selection rule
02,full_leave_one_out,0,0,0,49,0,0,post-hoc paired sensitivity; not a selection rule
02,full_past_only_w04,0,0,0,48,1,0,post-hoc paired sensitivity; not a selection rule
02,full_past_only_w16,0,0,0,48,1,0,post-hoc paired sensitivity; not a selection rule
02,full_past_only_w64,0,0,0,48,1,0,post-hoc paired sensitivity; not a selection rule
02,full_past_only_all,0,0,0,48,1,0,post-hoc paired sensitivity; not a selection rule
03,raw_dpg,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,sample_independent_bc,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,full_leave_one_out,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,full_past_only_w04,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,full_past_only_w16,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,full_past_only_w64,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
03,full_past_only_all,0,0,0,45,0,0,post-hoc paired sensitivity; not a selection rule
04,raw_dpg,14,0,86,47,0,0,post-hoc paired sensitivity; not a selection rule
04,sample_independent_bc,14,0,54,47,0,0,post-hoc paired sensitivity; not a selection rule
04,full_leave_one_out,14,0,1,47,0,0,post-hoc paired sensitivity; not a selection rule
04,full_past_only_w04,14,0,75,47,0,0,post-hoc paired sensitivity; not a selection rule
04,full_past_only_w16,14,0,68,47,0,0,post-hoc paired sensitivity; not a selection rule
04,full_past_only_w64,14,0,43,47,0,0,post-hoc paired sensitivity; not a selection rule
04,full_past_only_all,14,0,38,47,0,0,post-hoc paired sensitivity; not a selection rule
05,raw_dpg,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,sample_independent_bc,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,full_leave_one_out,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,full_past_only_w04,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,full_past_only_w16,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,full_past_only_w64,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
05,full_past_only_all,0,0,0,57,0,0,post-hoc paired sensitivity; not a selection rule
06,raw_dpg,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,sample_independent_bc,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,full_leave_one_out,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,full_past_only_w04,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,full_past_only_w16,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,full_past_only_w64,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
06,full_past_only_all,0,0,0,38,0,0,post-hoc paired sensitivity; not a selection rule
ALL,raw_dpg,56,0,130,289,0,0,post-hoc paired sensitivity; not a selection rule
ALL,sample_independent_bc,46,10,76,289,0,0,post-hoc paired sensitivity; not a selection rule
ALL,full_leave_one_out,53,3,1,289,0,0,post-hoc paired sensitivity; not a selection rule
ALL,full_past_only_w04,51,5,97,288,1,0,post-hoc paired sensitivity; not a selection rule
ALL,full_past_only_w16,52,4,86,288,1,0,post-hoc paired sensitivity; not a selection rule
ALL,full_past_only_w64,51,5,54,288,1,0,post-hoc paired sensitivity; not a selection rule
ALL,full_past_only_all,51,5,42,288,1,0,post-hoc paired sensitivity; not a selection rule
