fold,scan_group,sample_count,background_count,target_count,raw_false_alarm_count,v3_false_alarm_count,false_alarm_count_reduction,raw_pfa,v3_pfa,pfa_reduction_fraction,raw_detected_target_count,v3_detected_target_count,raw_pd,v3_pd,raw_background_score_mean,v3_background_score_mean,raw_background_score_max,v3_background_score_max,background_shift_mean,target_shift_mean,background_p_background_mean,target_p_background_mean,background_suppression_mean,target_suppression_mean
1,20260202_144238,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,2.1182099317229586e-05,,0.003346143173985125,,0.0063302783528342505
1,20260202_144246,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.3211209918372332e-05,,0.0034147339407354198,,0.006763824727386199
1,20260202_144254,4,0,4,0,0,0,,,,4,4,1.0,1.0,,,,,,2.074910707960953e-05,,0.0033473087823949503,,0.00619867490604515
1,20260202_144302,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.062385574390646e-05,,0.00334124611690636,,0.00617246627807612
1,20260202_144311,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.137134397344198e-05,,0.0033441783860325195,,0.006390431337058499
1,20260202_144319,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.1245709649519996e-05,,0.0033433012198656404,,0.006354447081685019
1,20260202_144327,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.1138767988304607e-05,,0.00334225054830308,,0.00632437393069262
1,20260202_144335,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.1122636826476083e-05,,0.00334358434192832,,0.006316900718957119
1,20260202_144344,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.085062224068679e-05,,0.00333282453939312,,0.006256090383976659
1,20260202_144352,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.3263540788320826e-05,,0.0033978736959397195,,0.00680997855961316
1,20260202_144417,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,2.096014541166369e-05,,0.00334446900524194,,0.0062668949365615595
1,20260204_100739,150,150,0,86,42,44,0.5733333333333334,0.28,0.5116279069767442,0,0,,,0.45424237837394077,0.3118287881463766,0.982557475566864,0.9067789912223816,0.6985316597918669,,0.7696987589200338,,0.9130694841345152,
2,20260202_144425,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,9.183403235508426e-05,,0.00286179580725724,,0.032006440311670235
2,20260202_144433,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,5.5310871539404614e-05,,0.00277010696008798,,0.01996126212179658
