column,type,nullable,present,nonempty_rows,row_count,coverage
sample_id,string,False,True,1148,1148,1.0
iq_path,relative_path,False,False,0,1148,0.0
label_path,relative_path,True,True,318,1148,0.2770034843205575
target_present,integer,False,True,1148,1148,1.0
target_class,enum,False,False,0,1148,0.0
background_type,string,True,False,0,1148,0.0
payload_class,string,True,False,0,1148,0.0
motion_state,string,True,False,0,1148,0.0
acquisition_timestamp_utc,datetime_utc,False,False,0,1148,0.0
hardware_sequence,integer,False,False,0,1148,0.0
scan_id,string,False,False,0,1148,0.0
scan_sequence,integer,False,False,0,1148,0.0
order_source,enum,False,False,0,1148,0.0
order_verified,boolean,False,False,0,1148,0.0
clock_id,string,False,False,0,1148,0.0
clock_reset_counter,integer,False,False,0,1148,0.0
timestamp_resolution_ns,integer,False,False,0,1148,0.0
dropped_frames_before,integer,False,False,0,1148,0.0
session_id,string,False,False,0,1148,0.0
observation_id,string,False,False,0,1148,0.0
event_id,string,False,False,0,1148,0.0
event_start_utc,datetime_utc,False,False,0,1148,0.0
event_end_utc,datetime_utc,False,False,0,1148,0.0
sample_duration_s,number,False,False,0,1148,0.0
collection_date,date,False,False,0,1148,0.0
site_id,string,False,False,0,1148,0.0
flight_id,string,True,False,0,1148,0.0
platform_id,string,True,False,0,1148,0.0
beam_layer,integer,False,True,1148,1148,1.0
azimuth_deg,number,False,True,1148,1148,1.0
distance_m,number,True,True,318,1148,0.2770034843205575
velocity_mps,number,True,True,318,1148,0.2770034843205575
snr_db,number,True,False,0,1148,0.0
radar_config_id,string,False,False,0,1148,0.0
calibration_id,string,False,False,0,1148,0.0
h_channel_valid,boolean,False,False,0,1148,0.0
v_channel_valid,boolean,False,False,0,1148,0.0
weather_id,string,False,False,0,1148,0.0
evaluation_partition,enum,False,False,0,1148,0.0
outer_group_id,string,False,False,0,1148,0.0
