class_name,source_file,new_split,sample_count,original_splits,first_sample_id,last_sample_id
Background,20260204_100739,train,150,test|train|val,20260204_100739_beam1_az001,20260204_100739_beam5_az262
Background,20260204_100802,train,150,test|train|val,20260204_100802_beam1_az001,20260204_100802_beam5_az262
Background,20260204_100826,train,115,test|train|val,20260204_100826_beam1_az001,20260204_100826_beam5_az199
Background,20260204_100845,train,150,test|train|val,20260204_100845_beam1_az001,20260204_100845_beam5_az262
Background,20260204_100908,val,150,test|train|val,20260204_100908_beam1_az001,20260204_100908_beam5_az262
Background,20260204_100932,test,115,test|train|val,20260204_100932_beam1_az001,20260204_100932_beam5_az199
UAV,20260202_144238,train,4,train,20260202_144238_beam1,20260202_144238_beam4
UAV,20260202_144246,train,5,test,20260202_144246_beam1,20260202_144246_beam5
UAV,20260202_144254,train,4,test,20260202_144254_beam1,20260202_144254_beam4
UAV,20260202_144302,train,5,test,20260202_144302_beam1,20260202_144302_beam5
UAV,20260202_144311,train,5,train,20260202_144311_beam1,20260202_144311_beam5
UAV,20260202_144319,train,5,val,20260202_144319_beam1,20260202_144319_beam5
UAV,20260202_144327,train,5,train,20260202_144327_beam1,20260202_144327_beam5
UAV,20260202_144335,train,5,train,20260202_144335_beam1,20260202_144335_beam5
UAV,20260202_144344,train,5,train,20260202_144344_beam1,20260202_144344_beam5
UAV,20260202_144352,train,5,train,20260202_144352_beam1,20260202_144352_beam5
UAV,20260202_144417,train,5,train,20260202_144417_beam1,20260202_144417_beam5
UAV,20260202_144425,train,5,test,20260202_144425_beam1,20260202_144425_beam5
UAV,20260202_144433,train,5,val,20260202_144433_beam1,20260202_144433_beam5
UAV,20260202_144458,train,5,test,20260202_144458_beam1,20260202_144458_beam5
UAV,20260202_144506,train,5,test,20260202_144506_beam1,20260202_144506_beam5
UAV,20260202_144515,train,5,train,20260202_144515_beam1,20260202_144515_beam5
UAV,20260202_144523,train,5,train,20260202_144523_beam1,20260202_144523_beam5
UAV,20260202_144539,train,4,test,20260202_144539_beam1,20260202_144539_beam4
UAV,20260202_144548,train,4,train,20260202_144548_beam1,20260202_144548_beam4
UAV,20260202_144556,train,3,train,20260202_144556_beam1,20260202_144556_beam3
UAV,20260202_144604,train,4,train,20260202_144604_beam1,20260202_144604_beam4
UAV,20260202_144613,train,4,train,20260202_144613_beam1,20260202_144613_beam4
UAV,20260202_144629,train,4,train,20260202_144629_beam1,20260202_144629_beam4
UAV,20260202_144637,train,4,train,20260202_144637_beam1,20260202_144637_beam4
UAV,20260202_144645,train,4,train,20260202_144645_beam1,20260202_144645_beam4
UAV,20260202_144710,train,4,train,20260202_144710_beam1,20260202_144710_beam4
UAV,20260202_144718,train,4,train,20260202_144718_beam1,20260202_144718_beam4
UAV,20260202_144727,train,4,test,20260202_144727_beam1,20260202_144727_beam4
UAV,20260202_144735,train,4,test,20260202_144735_beam1,20260202_144735_beam4
UAV,20260202_144751,train,5,train,20260202_144751_beam1,20260202_144751_beam5
UAV,20260202_144800,train,4,train,20260202_144800_beam1,20260202_144800_beam4
UAV,20260202_144808,train,4,test,20260202_144808_beam1,20260202_144808_beam4
UAV,20260202_144816,train,5,val,20260202_144816_beam1,20260202_144816_beam5
UAV,20260202_144825,train,5,train,20260202_144825_beam1,20260202_144825_beam5
UAV,20260202_144833,train,5,train,20260202_144833_beam1,20260202_144833_beam5
UAV,20260202_144841,train,4,test,20260202_144841_beam1,20260202_144841_beam4
UAV,20260202_144849,train,4,train,20260202_144849_beam1,20260202_144849_beam4
UAV,20260202_144857,train,4,test,20260202_144857_beam1,20260202_144857_beam4
UAV,20260202_144906,train,4,val,20260202_144906_beam1,20260202_144906_beam4
UAV,20260202_144914,train,4,train,20260202_144914_beam1,20260202_144914_beam4
UAV,20260202_144922,train,5,train,20260202_144922_beam1,20260202_144922_beam5
UAV,20260202_144931,train,4,val,20260202_144931_beam1,20260202_144931_beam4
UAV,20260202_144939,train,5,train,20260202_144939_beam1,20260202_144939_beam5
UAV,20260202_144947,train,5,train,20260202_144947_beam1,20260202_144947_beam5
UAV,20260202_144955,train,5,train,20260202_144955_beam1,20260202_144955_beam5
