fold,class_name,source_file,role,sample_count
1,Background,20260204_100739,test,150
1,Background,20260204_100802,val,150
1,Background,20260204_100826,train,115
1,Background,20260204_100845,train,150
1,Background,20260204_100908,train,150
1,Background,20260204_100932,train,115
1,UAV,20260202_144238,test,4
1,UAV,20260202_144246,test,5
1,UAV,20260202_144254,test,4
1,UAV,20260202_144302,test,5
1,UAV,20260202_144311,test,5
1,UAV,20260202_144319,test,5
1,UAV,20260202_144327,test,5
1,UAV,20260202_144335,test,5
1,UAV,20260202_144344,test,5
1,UAV,20260202_144352,test,5
1,UAV,20260202_144417,test,5
1,UAV,20260202_144425,val,5
1,UAV,20260202_144433,val,5
1,UAV,20260202_144458,val,5
1,UAV,20260202_144506,val,5
1,UAV,20260202_144515,val,5
1,UAV,20260202_144523,val,5
1,UAV,20260202_144539,val,4
1,UAV,20260202_144548,val,4
1,UAV,20260202_144556,val,3
1,UAV,20260202_144604,val,4
1,UAV,20260202_144613,val,4
1,UAV,20260202_144629,val,4
1,UAV,20260202_144637,train,4
1,UAV,20260202_144645,train,4
1,UAV,20260202_144710,train,4
1,UAV,20260202_144718,train,4
1,UAV,20260202_144727,train,4
1,UAV,20260202_144735,train,4
1,UAV,20260202_144751,train,5
1,UAV,20260202_144800,train,4
1,UAV,20260202_144808,train,4
1,UAV,20260202_144816,train,5
1,UAV,20260202_144825,train,5
1,UAV,20260202_144833,train,5
1,UAV,20260202_144841,train,4
1,UAV,20260202_144849,train,4
1,UAV,20260202_144857,train,4
1,UAV,20260202_144906,train,4
1,UAV,20260202_144914,train,4
1,UAV,20260202_144922,train,5
1,UAV,20260202_144931,train,4
1,UAV,20260202_144939,train,5
1,UAV,20260202_144947,train,5
1,UAV,20260202_144955,train,5
1,UAV,20260202_145004,train,4
1,UAV,20260202_145012,train,4
1,UAV,20260202_145020,train,4
1,UAV,20260202_145028,train,3
1,UAV,20260202_145037,train,3
1,UAV,20260202_145045,train,4
1,UAV,20260202_145053,train,4
1,UAV,20260202_145102,train,5
1,UAV,20260202_145110,train,4
1,UAV,20260202_145118,train,4
1,UAV,20260202_145126,train,5
