fold,split,class_name,sample_count,group_count,source_files
1,train,Background,530,4,20260204_100826|20260204_100845|20260204_100908|20260204_100932
1,train,UAV,212,48,20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833|20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012|20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216|20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
1,train,ALL,742,52,
1,val,Background,150,1,20260204_100802
1,val,UAV,53,12,20260202_144425|20260202_144433|20260202_144458|20260202_144506|20260202_144515|20260202_144523|20260202_144539|20260202_144548|20260202_144556|20260202_144604|20260202_144613|20260202_144629
1,val,ALL,203,13,
1,test,Background,150,1,20260204_100739
1,test,UAV,53,11,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417
1,test,ALL,203,12,
2,train,Background,565,4,20260204_100739|20260204_100845|20260204_100908|20260204_100932
2,train,UAV,213,47,20260202_144238|20260202_144246|20260202_144254|20260202_144302|20260202_144311|20260202_144319|20260202_144327|20260202_144335|20260202_144344|20260202_144352|20260202_144417|20260202_144841|20260202_144849|20260202_144857|20260202_144906|20260202_144914|20260202_144922|20260202_144931|20260202_144939|20260202_144947|20260202_144955|20260202_145004|20260202_145012|20260202_145020|20260202_145028|20260202_145037|20260202_145045|20260202_145053|20260202_145102|20260202_145110|20260202_145118|20260202_145126|20260202_145135|20260202_145143|20260202_145151|20260202_145208|20260202_145216|20260202_145713|20260202_145722|20260202_145730|20260202_145738|20260202_145746|20260202_145755|20260202_145813|20260202_145819|20260202_145828|20260202_145836
2,train,ALL,778,51,
2,val,Background,115,1,20260204_100826
2,val,UAV,52,12,20260202_144637|20260202_144645|20260202_144710|20260202_144718|20260202_144727|20260202_144735|20260202_144751|20260202_144800|20260202_144808|20260202_144816|20260202_144825|20260202_144833
2,val,ALL,167,13,
2,test,Background,150,1,20260204_100802
