fold,class_name,source_file,sample_count,roles,role_count,overlap_detected
1,Background,20260204_100739,150,test,1,False
1,Background,20260204_100802,150,val,1,False
1,Background,20260204_100826,115,train,1,False
1,Background,20260204_100845,150,train,1,False
1,Background,20260204_100908,150,train,1,False
1,Background,20260204_100932,115,train,1,False
1,UAV,20260202_144238,4,test,1,False
1,UAV,20260202_144246,5,test,1,False
1,UAV,20260202_144254,4,test,1,False
1,UAV,20260202_144302,5,test,1,False
1,UAV,20260202_144311,5,test,1,False
1,UAV,20260202_144319,5,test,1,False
1,UAV,20260202_144327,5,test,1,False
1,UAV,20260202_144335,5,test,1,False
1,UAV,20260202_144344,5,test,1,False
1,UAV,20260202_144352,5,test,1,False
1,UAV,20260202_144417,5,test,1,False
1,UAV,20260202_144425,5,val,1,False
1,UAV,20260202_144433,5,val,1,False
1,UAV,20260202_144458,5,val,1,False
1,UAV,20260202_144506,5,val,1,False
1,UAV,20260202_144515,5,val,1,False
1,UAV,20260202_144523,5,val,1,False
1,UAV,20260202_144539,4,val,1,False
1,UAV,20260202_144548,4,val,1,False
1,UAV,20260202_144556,3,val,1,False
1,UAV,20260202_144604,4,val,1,False
1,UAV,20260202_144613,4,val,1,False
1,UAV,20260202_144629,4,val,1,False
1,UAV,20260202_144637,4,train,1,False
1,UAV,20260202_144645,4,train,1,False
1,UAV,20260202_144710,4,train,1,False
1,UAV,20260202_144718,4,train,1,False
1,UAV,20260202_144727,4,train,1,False
1,UAV,20260202_144735,4,train,1,False
1,UAV,20260202_144751,5,train,1,False
1,UAV,20260202_144800,4,train,1,False
1,UAV,20260202_144808,4,train,1,False
1,UAV,20260202_144816,5,train,1,False
1,UAV,20260202_144825,5,train,1,False
1,UAV,20260202_144833,5,train,1,False
1,UAV,20260202_144841,4,train,1,False
1,UAV,20260202_144849,4,train,1,False
1,UAV,20260202_144857,4,train,1,False
1,UAV,20260202_144906,4,train,1,False
1,UAV,20260202_144914,4,train,1,False
1,UAV,20260202_144922,5,train,1,False
1,UAV,20260202_144931,4,train,1,False
1,UAV,20260202_144939,5,train,1,False
1,UAV,20260202_144947,5,train,1,False
1,UAV,20260202_144955,5,train,1,False
1,UAV,20260202_145004,4,train,1,False
1,UAV,20260202_145012,4,train,1,False
1,UAV,20260202_145020,4,train,1,False
1,UAV,20260202_145028,3,train,1,False
1,UAV,20260202_145037,3,train,1,False
1,UAV,20260202_145045,4,train,1,False
1,UAV,20260202_145053,4,train,1,False
1,UAV,20260202_145102,5,train,1,False
1,UAV,20260202_145110,4,train,1,False
1,UAV,20260202_145118,4,train,1,False
1,UAV,20260202_145126,5,train,1,False
1,UAV,20260202_145135,5,train,1,False
1,UAV,20260202_145143,5,train,1,False
1,UAV,20260202_145151,5,train,1,False
1,UAV,20260202_145208,4,train,1,False
1,UAV,20260202_145216,5,train,1,False
1,UAV,20260202_145713,4,train,1,False
1,UAV,20260202_145722,4,train,1,False
1,UAV,20260202_145730,5,train,1,False
1,UAV,20260202_145738,5,train,1,False
1,UAV,20260202_145746,5,train,1,False
1,UAV,20260202_145755,5,train,1,False
1,UAV,20260202_145813,5,train,1,False
1,UAV,20260202_145819,5,train,1,False
1,UAV,20260202_145828,5,train,1,False
1,UAV,20260202_145836,5,train,1,False
2,Background,20260204_100739,150,train,1,False
2,Background,20260204_100802,150,test,1,False
2,Background,20260204_100826,115,val,1,False
2,Background,20260204_100845,150,train,1,False
2,Background,20260204_100908,150,train,1,False
2,Background,20260204_100932,115,train,1,False
2,UAV,20260202_144238,4,train,1,False
2,UAV,20260202_144246,5,train,1,False
2,UAV,20260202_144254,4,train,1,False
2,UAV,20260202_144302,5,train,1,False
2,UAV,20260202_144311,5,train,1,False
2,UAV,20260202_144319,5,train,1,False
2,UAV,20260202_144327,5,train,1,False
2,UAV,20260202_144335,5,train,1,False
2,UAV,20260202_144344,5,train,1,False
2,UAV,20260202_144352,5,train,1,False
2,UAV,20260202_144417,5,train,1,False
2,UAV,20260202_144425,5,test,1,False
2,UAV,20260202_144433,5,test,1,False
2,UAV,20260202_144458,5,test,1,False
2,UAV,20260202_144506,5,test,1,False
2,UAV,20260202_144515,5,test,1,False
2,UAV,20260202_144523,5,test,1,False
2,UAV,20260202_144539,4,test,1,False
2,UAV,20260202_144548,4,test,1,False
2,UAV,20260202_144556,3,test,1,False
2,UAV,20260202_144604,4,test,1,False
2,UAV,20260202_144613,4,test,1,False
2,UAV,20260202_144629,4,test,1,False
2,UAV,20260202_144637,4,val,1,False
2,UAV,20260202_144645,4,val,1,False
2,UAV,20260202_144710,4,val,1,False
2,UAV,20260202_144718,4,val,1,False
2,UAV,20260202_144727,4,val,1,False
2,UAV,20260202_144735,4,val,1,False
2,UAV,20260202_144751,5,val,1,False
2,UAV,20260202_144800,4,val,1,False
2,UAV,20260202_144808,4,val,1,False
2,UAV,20260202_144816,5,val,1,False
2,UAV,20260202_144825,5,val,1,False
2,UAV,20260202_144833,5,val,1,False
2,UAV,20260202_144841,4,train,1,False
2,UAV,20260202_144849,4,train,1,False
2,UAV,20260202_144857,4,train,1,False
2,UAV,20260202_144906,4,train,1,False
2,UAV,20260202_144914,4,train,1,False
2,UAV,20260202_144922,5,train,1,False
2,UAV,20260202_144931,4,train,1,False
2,UAV,20260202_144939,5,train,1,False
2,UAV,20260202_144947,5,train,1,False
2,UAV,20260202_144955,5,train,1,False
2,UAV,20260202_145004,4,train,1,False
2,UAV,20260202_145012,4,train,1,False
2,UAV,20260202_145020,4,train,1,False
2,UAV,20260202_145028,3,train,1,False
2,UAV,20260202_145037,3,train,1,False
2,UAV,20260202_145045,4,train,1,False
2,UAV,20260202_145053,4,train,1,False
2,UAV,20260202_145102,5,train,1,False
2,UAV,20260202_145110,4,train,1,False
2,UAV,20260202_145118,4,train,1,False
2,UAV,20260202_145126,5,train,1,False
2,UAV,20260202_145135,5,train,1,False
2,UAV,20260202_145143,5,train,1,False
2,UAV,20260202_145151,5,train,1,False
2,UAV,20260202_145208,4,train,1,False
2,UAV,20260202_145216,5,train,1,False
2,UAV,20260202_145713,4,train,1,False
2,UAV,20260202_145722,4,train,1,False
2,UAV,20260202_145730,5,train,1,False
2,UAV,20260202_145738,5,train,1,False
2,UAV,20260202_145746,5,train,1,False
2,UAV,20260202_145755,5,train,1,False
2,UAV,20260202_145813,5,train,1,False
2,UAV,20260202_145819,5,train,1,False
2,UAV,20260202_145828,5,train,1,False
2,UAV,20260202_145836,5,train,1,False
3,Background,20260204_100739,150,train,1,False
3,Background,20260204_100802,150,train,1,False
3,Background,20260204_100826,115,test,1,False
3,Background,20260204_100845,150,val,1,False
3,Background,20260204_100908,150,train,1,False
3,Background,20260204_100932,115,train,1,False
3,UAV,20260202_144238,4,train,1,False
3,UAV,20260202_144246,5,train,1,False
3,UAV,20260202_144254,4,train,1,False
3,UAV,20260202_144302,5,train,1,False
3,UAV,20260202_144311,5,train,1,False
3,UAV,20260202_144319,5,train,1,False
3,UAV,20260202_144327,5,train,1,False
3,UAV,20260202_144335,5,train,1,False
3,UAV,20260202_144344,5,train,1,False
3,UAV,20260202_144352,5,train,1,False
3,UAV,20260202_144417,5,train,1,False
3,UAV,20260202_144425,5,train,1,False
3,UAV,20260202_144433,5,train,1,False
3,UAV,20260202_144458,5,train,1,False
3,UAV,20260202_144506,5,train,1,False
3,UAV,20260202_144515,5,train,1,False
3,UAV,20260202_144523,5,train,1,False
3,UAV,20260202_144539,4,train,1,False
3,UAV,20260202_144548,4,train,1,False
3,UAV,20260202_144556,3,train,1,False
3,UAV,20260202_144604,4,train,1,False
3,UAV,20260202_144613,4,train,1,False
3,UAV,20260202_144629,4,train,1,False
3,UAV,20260202_144637,4,test,1,False
3,UAV,20260202_144645,4,test,1,False
3,UAV,20260202_144710,4,test,1,False
3,UAV,20260202_144718,4,test,1,False
3,UAV,20260202_144727,4,test,1,False
3,UAV,20260202_144735,4,test,1,False
3,UAV,20260202_144751,5,test,1,False
3,UAV,20260202_144800,4,test,1,False
3,UAV,20260202_144808,4,test,1,False
3,UAV,20260202_144816,5,test,1,False
3,UAV,20260202_144825,5,test,1,False
3,UAV,20260202_144833,5,test,1,False
3,UAV,20260202_144841,4,val,1,False
3,UAV,20260202_144849,4,val,1,False
3,UAV,20260202_144857,4,val,1,False
3,UAV,20260202_144906,4,val,1,False
3,UAV,20260202_144914,4,val,1,False
3,UAV,20260202_144922,5,val,1,False
3,UAV,20260202_144931,4,val,1,False
3,UAV,20260202_144939,5,val,1,False
3,UAV,20260202_144947,5,val,1,False
3,UAV,20260202_144955,5,val,1,False
3,UAV,20260202_145004,4,val,1,False
3,UAV,20260202_145012,4,val,1,False
3,UAV,20260202_145020,4,train,1,False
3,UAV,20260202_145028,3,train,1,False
3,UAV,20260202_145037,3,train,1,False
3,UAV,20260202_145045,4,train,1,False
3,UAV,20260202_145053,4,train,1,False
3,UAV,20260202_145102,5,train,1,False
3,UAV,20260202_145110,4,train,1,False
3,UAV,20260202_145118,4,train,1,False
3,UAV,20260202_145126,5,train,1,False
3,UAV,20260202_145135,5,train,1,False
3,UAV,20260202_145143,5,train,1,False
3,UAV,20260202_145151,5,train,1,False
3,UAV,20260202_145208,4,train,1,False
