class_name,source_file,train_count,val_count,test_count
Background,20260204_100739,4,1,1
Background,20260204_100802,4,1,1
Background,20260204_100826,4,1,1
Background,20260204_100845,4,1,1
Background,20260204_100908,4,1,1
Background,20260204_100932,4,1,1
UAV,20260202_144238,4,1,1
UAV,20260202_144246,4,1,1
UAV,20260202_144254,4,1,1
UAV,20260202_144302,4,1,1
UAV,20260202_144311,4,1,1
UAV,20260202_144319,4,1,1
UAV,20260202_144327,4,1,1
UAV,20260202_144335,4,1,1
UAV,20260202_144344,4,1,1
UAV,20260202_144352,4,1,1
UAV,20260202_144417,4,1,1
UAV,20260202_144425,4,1,1
UAV,20260202_144433,4,1,1
UAV,20260202_144458,4,1,1
UAV,20260202_144506,4,1,1
UAV,20260202_144515,4,1,1
UAV,20260202_144523,4,1,1
UAV,20260202_144539,4,1,1
UAV,20260202_144548,4,1,1
UAV,20260202_144556,4,1,1
UAV,20260202_144604,4,1,1
UAV,20260202_144613,4,1,1
UAV,20260202_144629,4,1,1
UAV,20260202_144637,4,1,1
UAV,20260202_144645,4,1,1
UAV,20260202_144710,4,1,1
UAV,20260202_144718,4,1,1
UAV,20260202_144727,4,1,1
UAV,20260202_144735,4,1,1
UAV,20260202_144751,4,1,1
UAV,20260202_144800,4,1,1
UAV,20260202_144808,4,1,1
UAV,20260202_144816,4,1,1
UAV,20260202_144825,4,1,1
UAV,20260202_144833,4,1,1
UAV,20260202_144841,4,1,1
UAV,20260202_144849,4,1,1
UAV,20260202_144857,4,1,1
UAV,20260202_144906,4,1,1
UAV,20260202_144914,4,1,1
UAV,20260202_144922,4,1,1
UAV,20260202_144931,4,1,1
UAV,20260202_144939,4,1,1
UAV,20260202_144947,4,1,1
UAV,20260202_144955,4,1,1
UAV,20260202_145004,4,1,1
UAV,20260202_145012,4,1,1
UAV,20260202_145020,4,1,1
UAV,20260202_145028,4,1,1
UAV,20260202_145037,4,1,1
UAV,20260202_145045,4,1,1
UAV,20260202_145053,4,1,1
UAV,20260202_145102,4,1,1
UAV,20260202_145110,4,1,1
UAV,20260202_145118,4,1,1
UAV,20260202_145126,4,1,1
UAV,20260202_145135,4,1,1
UAV,20260202_145143,4,1,1
UAV,20260202_145151,4,1,1
UAV,20260202_145208,4,1,1
UAV,20260202_145216,4,1,1
UAV,20260202_145713,4,1,1
UAV,20260202_145722,4,1,1
UAV,20260202_145730,4,1,1
UAV,20260202_145738,4,1,1
UAV,20260202_145746,4,1,1
UAV,20260202_145755,4,1,1
UAV,20260202_145813,4,1,1
UAV,20260202_145819,4,1,1
UAV,20260202_145828,4,1,1
UAV,20260202_145836,4,1,1
