source_file,class_name,samples,sample_timestamp_unique_count,beam_layer_count,azimuth_count,inferred_order_key_unique,embedded_timestamp_variable_samples,mat_header_coverage,header_lag_days_min,header_lag_days_max,header_mtime_delta_seconds_max,verified_within_group_order_available
20260202_144238,target,4,1,4,2,True,0,4,49.085034722222225,49.085960648148145,2.0,False
20260202_144246,target,5,1,5,2,True,0,5,49.09615740740741,49.09696759259259,2.0,False
20260202_144254,target,4,1,4,1,True,0,4,49.0984375,49.09883101851852,2.0,False
20260202_144302,target,5,1,5,1,True,0,5,49.09981481481481,49.10076388888889,2.0,False
20260202_144311,target,5,1,5,1,True,0,5,49.10166666666667,49.10230324074074,2.0,False
20260202_144319,target,5,1,5,1,True,0,5,49.10292824074074,49.10349537037037,2.0,False
20260202_144327,target,5,1,5,1,True,0,5,49.10394675925926,49.10439814814815,2.0,False
20260202_144335,target,5,1,5,2,True,0,5,49.15278935185185,49.15351851851852,2.0,False
20260202_144344,target,5,1,5,2,True,0,5,49.15399305555555,49.154513888888886,2.0,False
20260202_144352,target,5,1,5,1,True,0,5,49.154953703703704,49.1559837962963,2.0,False
20260202_144417,target,5,1,5,2,True,0,5,49.21505787037037,49.21591435185185,2.0,False
20260202_144425,target,5,1,5,1,True,0,5,49.21634259259259,49.216770833333335,2.0,False
20260202_144433,target,5,1,5,2,True,0,5,49.21704861111111,49.21748842592593,2.0,False
20260202_144458,target,5,1,5,1,True,0,5,49.21837962962963,49.21880787037037,2.0,False
20260202_144506,target,5,1,5,2,True,0,5,49.219409722222224,49.21981481481482,2.0,False
20260202_144515,target,5,1,5,2,True,0,5,49.220289351851854,49.22069444444445,2.0,False
20260202_144523,target,5,1,5,1,True,0,5,49.22121527777778,49.221550925925925,2.0,False
20260202_144539,target,4,1,4,1,True,0,4,49.221875,49.22216435185185,2.0,False
20260202_144548,target,4,1,4,1,True,0,4,49.22252314814815,49.222824074074076,2.0,False
20260202_144556,target,3,1,3,2,True,0,3,49.22321759259259,49.22340277777778,2.0,False
20260202_144604,target,4,1,4,2,True,0,4,49.223900462962966,49.224270833333335,2.0,False
20260202_144613,target,4,1,4,1,True,0,4,49.2246875,49.22496527777778,2.0,False
20260202_144629,target,4,1,4,2,True,0,4,49.22643518518519,49.226840277777775,2.0,False
20260202_144637,target,4,1,4,1,True,0,4,49.2284375,49.22880787037037,2.0,False
20260202_144645,target,4,1,4,1,True,0,4,49.229375,49.22962962962963,2.0,False
20260202_144710,target,4,1,4,1,True,0,4,49.23084490740741,49.231203703703706,2.0,False
20260202_144718,target,4,1,4,1,True,0,4,49.23164351851852,49.23199074074074,2.0,False
20260202_144727,target,4,1,4,2,True,0,4,49.23229166666667,49.232581018518516,2.0,False
20260202_144735,target,4,1,4,2,True,0,4,49.233125,49.23341435185185,2.0,False
20260202_144751,target,5,1,5,1,True,0,5,49.23451388888889,49.23487268518519,2.0,False
20260202_144800,target,4,1,4,2,True,0,4,49.235358796296296,49.23565972222222,2.0,False
20260202_144808,target,4,1,4,1,True,0,4,49.23605324074074,49.23630787037037,2.0,False
20260202_144816,target,5,1,5,2,True,0,5,49.236875,49.23722222222222,2.0,False
20260202_144825,target,5,1,5,2,True,0,5,49.23753472222222,49.23818287037037,2.0,False
20260202_144833,target,5,1,5,2,True,0,5,50.002372685185186,50.002916666666664,2.0,False
20260202_144841,target,4,1,4,2,True,0,4,50.00420138888889,50.00451388888889,2.0,False
20260202_144849,target,4,1,4,1,True,0,4,50.00590277777778,50.00635416666667,2.0,False
20260202_144857,target,4,1,4,1,True,0,4,50.007025462962964,50.00744212962963,2.0,False
20260202_144906,target,4,1,4,1,True,0,4,50.007974537037036,50.00836805555556,2.0,False
20260202_144914,target,4,1,4,2,True,0,4,50.01122685185185,50.0115625,2.0,False
20260202_144922,target,5,1,5,2,True,0,5,50.00894675925926,50.00945601851852,1.0,False
20260202_144931,target,4,1,4,2,True,0,4,50.010104166666665,50.01046296296296,2.0,False
20260202_144939,target,5,1,5,1,True,0,5,50.01228009259259,50.012824074074075,2.0,False
20260202_144947,target,5,1,5,2,True,0,5,50.01324074074074,50.01359953703704,2.0,False
20260202_144955,target,5,1,5,2,True,0,5,50.01400462962963,50.01443287037037,2.0,False
20260202_145004,target,4,1,4,2,True,0,4,50.01490740740741,50.0152662037037,2.0,False
20260202_145012,target,4,1,4,1,True,0,4,50.01576388888889,50.01607638888889,2.0,False
20260202_145020,target,4,1,4,1,True,0,4,50.01667824074074,50.01702546296296,2.0,False
20260202_145028,target,3,1,3,1,True,0,3,50.02215277777778,50.02229166666667,2.0,False
20260202_145037,target,3,1,3,2,True,0,3,50.02311342592593,50.023275462962964,2.0,False
20260202_145045,target,4,1,4,2,True,0,4,50.02387731481482,50.02424768518519,2.0,False
20260202_145053,target,4,1,4,1,True,0,4,50.02488425925926,50.02518518518519,2.0,False
20260202_145102,target,5,1,5,1,True,0,5,50.02601851851852,50.026435185185186,2.0,False
20260202_145110,target,4,1,4,2,True,0,4,50.026863425925924,50.02712962962963,2.0,False
20260202_145118,target,4,1,4,2,True,0,4,50.02770833333334,50.02797453703704,2.0,False
20260202_145126,target,5,1,5,2,True,0,5,50.028310185185184,50.0287962962963,2.0,False
20260202_145135,target,5,1,5,2,True,0,5,50.02918981481481,50.02961805555555,2.0,False
20260202_145143,target,5,1,5,2,True,0,5,50.03,50.03048611111111,2.0,False
20260202_145151,target,5,1,5,1,True,0,5,50.106944444444444,50.10743055555555,3.0,False
20260202_145208,target,4,1,4,1,True,0,4,50.10861111111111,50.109085648148145,2.0,False
20260202_145216,target,5,1,5,2,True,0,5,50.11263888888889,50.112997685185185,2.0,False
20260202_145713,target,4,1,4,2,True,0,4,50.11144675925926,50.111724537037034,2.0,False
20260202_145722,target,4,1,4,1,True,0,4,50.11296296296296,50.11321759259259,2.0,False
20260202_145730,target,5,1,5,1,True,0,5,50.113506944444445,50.11388888888889,2.0,False
20260202_145738,target,5,1,5,1,True,0,5,50.11416666666667,50.114525462962966,2.0,False
20260202_145746,target,5,1,5,1,True,0,5,50.11484953703704,50.115520833333335,2.0,False
20260202_145755,target,5,1,5,1,True,0,5,50.11584490740741,50.11625,2.0,False
20260202_145813,target,5,1,5,2,True,0,5,50.11641203703704,50.11681712962963,2.0,False
20260202_145819,target,5,1,5,2,True,0,5,50.11729166666667,50.11765046296296,2.0,False
20260202_145828,target,5,1,5,2,True,0,5,50.11806712962963,50.1183912037037,2.0,False
20260202_145836,target,5,1,5,2,True,0,5,50.11862268518519,50.11895833333333,2.0,False
20260204_100739,background,150,1,5,30,True,0,150,50.263194444444444,50.263275462962966,3.0,False
20260204_100802,background,150,1,5,30,True,0,150,50.26454861111111,50.26462962962963,3.0,False
20260204_100826,background,115,1,5,23,True,0,115,50.266284722222224,50.26637731481482,3.0,False
20260204_100845,background,150,1,5,30,True,0,150,50.266863425925926,50.26694444444445,3.0,False
20260204_100908,background,150,1,5,30,True,0,150,50.26747685185185,50.26755787037037,2.0,False
20260204_100932,background,115,1,5,23,True,0,115,50.2678125,50.26788194444445,3.0,False
