class_name,exact_group,current_split,sample_count
background,20260204_100739,test,19
background,20260204_100739,train,106
background,20260204_100739,val,25
background,20260204_100802,test,24
background,20260204_100802,train,104
background,20260204_100802,val,22
background,20260204_100826,test,20
background,20260204_100826,train,86
background,20260204_100826,val,9
background,20260204_100845,test,19
background,20260204_100845,train,106
background,20260204_100845,val,25
background,20260204_100908,test,24
background,20260204_100908,train,100
background,20260204_100908,val,26
background,20260204_100932,test,19
background,20260204_100932,train,79
background,20260204_100932,val,17
uav,20260202_144238,train,4
uav,20260202_144246,test,5
uav,20260202_144254,test,4
uav,20260202_144302,test,5
uav,20260202_144311,train,5
uav,20260202_144319,val,5
uav,20260202_144327,train,5
uav,20260202_144335,train,5
uav,20260202_144344,train,5
uav,20260202_144352,train,5
uav,20260202_144417,train,5
uav,20260202_144425,test,5
uav,20260202_144433,val,5
uav,20260202_144458,test,5
uav,20260202_144506,test,5
uav,20260202_144515,train,5
uav,20260202_144523,train,5
uav,20260202_144539,test,4
uav,20260202_144548,train,4
uav,20260202_144556,train,3
uav,20260202_144604,train,4
uav,20260202_144613,train,4
uav,20260202_144629,train,4
uav,20260202_144637,train,4
uav,20260202_144645,train,4
uav,20260202_144710,train,4
uav,20260202_144718,train,4
uav,20260202_144727,test,4
uav,20260202_144735,test,4
uav,20260202_144751,train,5
uav,20260202_144800,train,4
uav,20260202_144808,test,4
uav,20260202_144816,val,5
uav,20260202_144825,train,5
uav,20260202_144833,train,5
uav,20260202_144841,test,4
uav,20260202_144849,train,4
uav,20260202_144857,test,4
uav,20260202_144906,val,4
uav,20260202_144914,train,4
uav,20260202_144922,train,5
uav,20260202_144931,val,4
uav,20260202_144939,train,5
uav,20260202_144947,train,5
uav,20260202_144955,train,5
uav,20260202_145004,val,4
uav,20260202_145012,train,4
uav,20260202_145020,train,4
uav,20260202_145028,train,3
uav,20260202_145037,train,3
uav,20260202_145045,train,4
uav,20260202_145053,train,4
uav,20260202_145102,train,5
uav,20260202_145110,train,4
uav,20260202_145118,train,4
uav,20260202_145126,train,5
uav,20260202_145135,train,5
uav,20260202_145143,train,5
uav,20260202_145151,train,5
uav,20260202_145208,val,4
uav,20260202_145216,train,5
uav,20260202_145713,train,4
uav,20260202_145722,train,4
uav,20260202_145730,train,5
uav,20260202_145738,val,5
uav,20260202_145746,train,5
uav,20260202_145755,train,5
uav,20260202_145813,train,5
uav,20260202_145819,val,5
uav,20260202_145828,train,5
uav,20260202_145836,val,5
