fold,model,background_samples,target_samples,false_alarms,pfa,correct_detections,joint_pd
01,bc_dpg_v3,150,53,42,0.28,53,1.0
01,roi_baseline,150,53,150,1.0,52,0.9811320754716981
01,roi_power_control,150,53,98,0.6533333333333333,52,0.9811320754716981
01,roi_ri4,150,53,100,0.6666666666666666,52,0.9811320754716981
02,bc_dpg_v3,150,53,0,0.0,49,0.9245283018867925
02,roi_baseline,150,53,2,0.013333333333333334,47,0.8867924528301887
02,roi_power_control,150,53,0,0.0,47,0.8867924528301887
02,roi_ri4,150,53,0,0.0,47,0.8867924528301887
03,bc_dpg_v3,115,52,0,0.0,45,0.8653846153846154
03,roi_baseline,115,52,0,0.0,43,0.8269230769230769
03,roi_power_control,115,52,0,0.0,43,0.8269230769230769
03,roi_ri4,115,52,0,0.0,43,0.8269230769230769
04,bc_dpg_v3,150,52,14,0.09333333333333334,47,0.9038461538461539
04,roi_baseline,150,52,148,0.9866666666666667,41,0.7884615384615384
04,roi_power_control,150,52,139,0.9266666666666666,41,0.7884615384615384
04,roi_ri4,150,52,96,0.64,41,0.7884615384615384
05,bc_dpg_v3,150,60,0,0.0,57,0.95
05,roi_baseline,150,60,0,0.0,53,0.8833333333333333
05,roi_power_control,150,60,0,0.0,53,0.8833333333333333
05,roi_ri4,150,60,0,0.0,53,0.8833333333333333
06,bc_dpg_v3,115,48,0,0.0,38,0.7916666666666666
06,roi_baseline,115,48,0,0.0,32,0.6666666666666666
06,roi_power_control,115,48,0,0.0,32,0.6666666666666666
06,roi_ri4,115,48,0,0.0,32,0.6666666666666666
ALL,bc_dpg_v3,830,318,56,0.06746987951807229,289,0.9088050314465409
ALL,roi_baseline,830,318,300,0.3614457831325301,268,0.8427672955974843
ALL,roi_power_control,830,318,237,0.2855421686746988,268,0.8427672955974843
ALL,roi_ri4,830,318,196,0.236144578313253,268,0.8427672955974843
