key_type,key_value,fold_presence_count,train_count,val_count,test_count,mixed_role_fold_count,expected_train_count_if_complete_cv,expected_val_count_if_complete_cv,expected_test_count_if_complete_cv,fold_01_role,fold_02_role,fold_03_role,fold_04_role,fold_05_role,fold_06_role,complete_fold_presence,rotation_ok
sample,20260204_100826_beam1_az001,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az010,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az019,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az028,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az037,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az046,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az055,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az064,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az073,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az082,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az091,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az100,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az109,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az118,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az127,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az136,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az145,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az154,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az163,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az172,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az181,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az190,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam1_az199,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
sample,20260204_100826_beam2_az001,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
