key_type,key_value,fold_presence_count,train_count,val_count,test_count,mixed_role_fold_count,expected_train_count_if_complete_cv,expected_val_count_if_complete_cv,expected_test_count_if_complete_cv,fold_01_role,fold_02_role,fold_03_role,fold_04_role,fold_05_role,fold_06_role,complete_fold_presence,rotation_ok
scan_group,20260204_100826,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260204_100845,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260204_100908,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260204_100932,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_144637,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144645,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144710,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144718,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144727,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144735,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144751,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144800,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144808,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144816,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144825,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144833,6,4,1,1,0,4,1,1,train,val,test,train,train,train,True,True
scan_group,20260202_144841,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144849,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144857,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144906,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144914,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144922,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144931,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144939,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144947,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_144955,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_145004,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_145012,6,4,1,1,0,4,1,1,train,train,val,test,train,train,True,True
scan_group,20260202_145020,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145028,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145037,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145045,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145053,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145102,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145110,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145118,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145126,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145135,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145143,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145151,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145208,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145216,6,4,1,1,0,4,1,1,train,train,train,val,test,train,True,True
scan_group,20260202_145713,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145722,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145730,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145738,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145746,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145755,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145813,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145819,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145828,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260202_145836,6,4,1,1,0,4,1,1,train,train,train,train,val,test,True,True
scan_group,20260204_100802,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144425,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144433,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144458,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144506,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144515,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144523,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144539,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144548,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144556,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144604,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144613,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260202_144629,6,4,1,1,0,4,1,1,val,test,train,train,train,train,True,True
scan_group,20260204_100739,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144238,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144246,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144254,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144302,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144311,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144319,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144327,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144335,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144344,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144352,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
scan_group,20260202_144417,6,4,1,1,0,4,1,1,test,train,train,train,train,val,True,True
