fold,manifest_path,manifest_row,split,sample_id,mat_path,label_path,source_file,target,sample_key,scan_group,mat_basename,mat_stem,label_basename,source_basename,mat_sha256,label_sha256
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,0,train,20260204_100826_beam1_az001,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100826_beam1_az001.mat,,20260204_100826,0,20260204_100826_beam1_az001,20260204_100826,20260204_100826_beam1_az001.mat,20260204_100826_beam1_az001,,20260204_100826,6de1966d6de235b24685ba10112b5e5747ac99b73f0f8664f5a6365fc8d5d2ef,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,1,train,20260204_100826_beam1_az010,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az010.mat,,20260204_100826,0,20260204_100826_beam1_az010,20260204_100826,20260204_100826_beam1_az010.mat,20260204_100826_beam1_az010,,20260204_100826,6112f4b700e0850d48b669cf8865943bdb66d7fb0521d657a28e86272ecc1ea0,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,2,train,20260204_100826_beam1_az019,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az019.mat,,20260204_100826,0,20260204_100826_beam1_az019,20260204_100826,20260204_100826_beam1_az019.mat,20260204_100826_beam1_az019,,20260204_100826,4b26f63358453f94a963e51ee70aba4e349def461a5e249a97880066532f4748,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,3,train,20260204_100826_beam1_az028,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100826_beam1_az028.mat,,20260204_100826,0,20260204_100826_beam1_az028,20260204_100826,20260204_100826_beam1_az028.mat,20260204_100826_beam1_az028,,20260204_100826,bae5e44a0ef80d676e258c6ee596130d7cc84cad133c3eb9eae123176917d9b2,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,4,train,20260204_100826_beam1_az037,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az037.mat,,20260204_100826,0,20260204_100826_beam1_az037,20260204_100826,20260204_100826_beam1_az037.mat,20260204_100826_beam1_az037,,20260204_100826,64347a4ab36c3096c0831c2afcfc37661c291ef1d9b6767bf3098d87b552c9f9,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,5,train,20260204_100826_beam1_az046,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100826_beam1_az046.mat,,20260204_100826,0,20260204_100826_beam1_az046,20260204_100826,20260204_100826_beam1_az046.mat,20260204_100826_beam1_az046,,20260204_100826,26911db9cbedf561fd8a762c4916542b44703c4485165d77b51a4ee5d8fc5ea8,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,6,train,20260204_100826_beam1_az055,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az055.mat,,20260204_100826,0,20260204_100826_beam1_az055,20260204_100826,20260204_100826_beam1_az055.mat,20260204_100826_beam1_az055,,20260204_100826,bb3e1f4471c18fdd1abc4b94ea686f6dfe66f7e85e150984c3bb63a9a1a6c130,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,7,train,20260204_100826_beam1_az064,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az064.mat,,20260204_100826,0,20260204_100826_beam1_az064,20260204_100826,20260204_100826_beam1_az064.mat,20260204_100826_beam1_az064,,20260204_100826,e0280de65bb0552f61b0f0cac2933303fd0351731ec78b3930d7aa5fd0885827,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,8,train,20260204_100826_beam1_az073,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az073.mat,,20260204_100826,0,20260204_100826_beam1_az073,20260204_100826,20260204_100826_beam1_az073.mat,20260204_100826_beam1_az073,,20260204_100826,e1d72cc6d06c2673c75670d8aa29c187ce7ada8950597af8933c89e69ff4aee5,
1,/home/tobeornot8259748/projects/balloon_radar_project/results/data_audit/dataset_v4_multifold/fold_01_manifest.csv,9,train,20260204_100826_beam1_az082,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az082.mat,,20260204_100826,0,20260204_100826_beam1_az082,20260204_100826,20260204_100826_beam1_az082.mat,20260204_100826_beam1_az082,,20260204_100826,46833f89a332bb7e4d6bd1f0eac3b98ec6fb08d600c00fc0fbbddbffbdb1f84f,
