fold,split,row_count,unique_sample_count,unique_scan_group_count,largest_scan_group_size,median_scan_group_size,positive_count_if_numeric,background_count_if_numeric,existing_mat_file_count,existing_label_file_count
1,test,203,203,12,150,5.0,53,150,203,53
1,train,742,742,52,150,4.5,212,530,742,212
1,val,203,203,13,150,5.0,53,150,203,53
2,test,203,203,13,150,5.0,53,150,203,53
2,train,778,778,51,150,5.0,213,565,778,213
2,val,167,167,13,115,4.0,52,115,167,52
3,test,167,167,13,115,4.0,52,115,167,52
3,train,779,779,51,150,5.0,214,565,779,214
3,val,202,202,13,150,4.0,52,150,202,52
4,test,202,202,13,150,4.0,52,150,202,52
4,train,736,736,49,150,5.0,206,530,736,206
4,val,210,210,15,150,4.0,60,150,210,60
5,test,210,210,15,150,4.0,60,150,210,60
5,train,775,775,51,150,5.0,210,565,775,210
5,val,163,163,11,115,5.0,48,115,163,48
6,test,163,163,11,115,5.0,48,115,163,48
6,train,782,782,54,150,4.0,217,565,782,217
6,val,203,203,12,150,5.0,53,150,203,53
