fold,mode_a,mode_b,false_alarm_overlap,false_alarm_a,false_alarm_b
1,power2,power2,150,150,150
1,power2,ri4,22,150,22
1,power2,polar6_gated,66,150,66
1,power2,ri8_gated,49,150,49
1,ri4,power2,22,22,150
1,ri4,ri4,22,22,22
1,ri4,polar6_gated,16,22,66
1,ri4,ri8_gated,16,22,49
1,polar6_gated,power2,66,66,150
1,polar6_gated,ri4,16,66,22
1,polar6_gated,polar6_gated,66,66,66
1,polar6_gated,ri8_gated,35,66,49
1,ri8_gated,power2,49,49,150
1,ri8_gated,ri4,16,49,22
1,ri8_gated,polar6_gated,35,49,66
1,ri8_gated,ri8_gated,49,49,49
4,power2,power2,148,148,148
4,power2,ri4,22,148,22
4,power2,polar6_gated,57,148,58
4,power2,ri8_gated,54,148,54
4,ri4,power2,22,22,148
4,ri4,ri4,22,22,22
4,ri4,polar6_gated,13,22,58
4,ri4,ri8_gated,15,22,54
4,polar6_gated,power2,57,58,148
4,polar6_gated,ri4,13,58,22
4,polar6_gated,polar6_gated,58,58,58
4,polar6_gated,ri8_gated,28,58,54
4,ri8_gated,power2,54,54,148
4,ri8_gated,ri4,15,54,22
4,ri8_gated,polar6_gated,28,54,58
4,ri8_gated,ri8_gated,54,54,54
