epoch,learning_rate,train_loss,train_background_classification_loss,train_background_tail_loss,train_target_keep_loss,train_pairwise_loss,train_shift_selectivity_loss,train_shift_regularization,train_background_shift_mean,train_target_shift_mean,val_loss,val_background_classification_loss,val_background_tail_loss,val_target_keep_loss,val_pairwise_loss,val_shift_selectivity_loss,val_shift_regularization,val_background_shift_mean,val_target_shift_mean,selected_threshold,selected_pd,selected_pfa,selected_auc,base_pd,base_pfa,raw_base_pd,pd_floor_satisfied,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean
1,0.0005,1.847783695096555,1.504742814146954,0.3372605112583741,0.0,0.028900439810493717,0.03992594373614892,2.785914061267091e-05,0.005323848788343046,0.005138578298299209,2.226362255996182,2.2210319370740934,0.004221437658582415,0.0,0.005542848791394915,0.012132150786263602,3.225841177308688e-05,0.005313997609274728,0.0020812579430639746,0.25310713052749634,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.005813107378780841,0.005330120321984092,0.05505950435996056,0.049204157665371895
2,0.0005,1.7977575271025947,1.4511060662891553,0.3408845287302266,0.0,0.028832767037269863,0.039611761012802955,3.7421516975408174e-05,0.006367291445317475,0.005394047510850689,2.1384152451441403,2.133100474377473,0.004205930233001709,0.0,0.005542138076963879,0.011986916405814035,4.4476893405468826e-05,0.006491714432126,0.0021174295140164237,0.25284677743911743,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.00710179624458154,0.005424348156278332,0.06172049177189668,0.04552948257575432
3,0.0005,1.730647843817006,1.3904985241267993,0.33481651220632636,0.0,0.02666123551519021,0.03899881794400837,5.361136319824373e-05,0.0079093922091567,0.005389831980447407,2.0478619252641996,2.0425689514903795,0.004184260538646153,0.0,0.005540491285778227,0.011767613320123582,6.60215453535784e-05,0.008187185866492135,0.002134335661927859,0.25248587131500244,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.008956219553947448,0.005471836868673563,0.06940313344200452,0.04087510667741299
4,0.0005,1.6583606263865596,1.3281611670618472,0.3249304625003234,0.0,0.026340847268052723,0.03814527521962705,8.279565752119474e-05,0.010108044047070585,0.0054149909106933555,1.954256335752351,1.9489935101852531,0.0041538877146584646,0.0,0.0055391788482666016,0.011501994587126233,0.00010631058446181539,0.010587902863820393,0.0022952662381742683,0.25197499990463257,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.011581556598345439,0.005889520344013969,0.0784120791653792,0.03845587645967801
5,0.0005,1.6084113846654478,1.2640091802762903,0.33871998281582544,0.0,0.028404233734244885,0.03710683710549189,0.00013548719162708554,0.013180587440729141,0.005809548229950926,1.8562381243421917,1.8510175045402277,0.0041116260346912206,0.0,0.005536077136085147,0.011125231924511137,0.0001819896594540859,0.014043961536316645,0.0025238140619226863,0.25126349925994873,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.015361002056548993,0.006478970039946338,0.08911172538995743,0.03630635278920333
6,0.0005,1.5285099381985872,1.1976780321287073,0.3255786940091006,0.0,0.026254040553517963,0.03551674407461415,0.0002426889170791306,0.01778519315564114,0.00623830498965538,1.7571318707650616,1.7519698337784835,0.004052618855521792,0.0,0.005530564557938348,0.010570991606939407,0.000333792851320357,0.01920285395213536,0.002854961037103619,0.25024667382240295,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.021001818403601647,0.007334127168481548,0.10143859734137853,0.03489550342783332
7,0.0005,1.4638100551522297,1.131974069968514,0.3262099992159916,0.0,0.028107948277307594,0.033402075748080795,0.0004424671515943887,0.02420457501126372,0.006958485580980778,1.6588362874729292,1.6537550585965315,0.00397048138436817,0.0,0.005523450034005301,0.009818714005606514,0.0006122186278974238,0.026188225973220097,0.0032178742633689017,0.24882324039936066,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.02864162007967631,0.008277015876956284,0.11532707398136456,0.032980967530359825
8,0.0005,1.3925743414008098,1.0665131392686262,0.3203626581184242,0.0,0.02845208565502063,0.03044775808634965,0.0008144879956608233,0.03308245766422023,0.007546589709818363,1.5605683437060742,1.555596879585868,0.0038578464871361143,0.0,0.005511155014946347,0.008757812636239188,0.0011342977127891832,0.035898604847136,0.003490763476916722,0.24685369431972504,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.039261935651302336,0.008994496776722372,0.1310514489809672,0.029804316287239393
9,0.0005,1.321042107499164,1.0015640103298684,0.31399622737713484,0.0,0.027332930542204693,0.026583773043492565,0.0015282408516530109,0.045552733475747315,0.008550183483116005,1.4631209359459934,1.4583015737434228,0.0036984344323476156,0.0,0.005495816185360863,0.007389012972513835,0.0021755917527202873,0.0498493716830299,0.004075753387241136,0.24401642382144928,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.0545207762469848,0.010511015929902593,0.14884666989247003,0.028543561262389026
10,0.0005,1.2534887324208799,0.9368298701618029,0.3114267587661743,0.0,0.026012658991891403,0.02137926318075346,0.002958415177367304,0.06328444927930832,0.009402846796033175,1.3662706735588255,1.3616517969717583,0.0034826738493783133,0.0,0.005470746471768334,0.005591829050154913,0.004205515813027021,0.06952372732616606,0.004591920563862437,0.2400830090045929,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.07603846167524655,0.0118520627108713,0.16885541896025338,0.02623872955640157
11,0.0005,1.1734291574229365,0.8732115211694137,0.29503706891251646,0.0,0.02561057913724495,0.014935681393936924,0.005843185698208602,0.0890001479698264,0.010927190599234207,1.2699773443241915,1.2656253689456554,0.0031806576819646925,6.264337484719277e-08,0.005434270699818929,0.0034096692289624897,0.008394599746125529,0.0984007199605306,0.005360349578162034,0.23435690999031067,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.10762081136306127,0.013841731085752448,0.19143786509831748,0.0245593407501777
12,0.0005,1.1093845471091892,0.8097362751546113,0.2943462292137353,1.4048349365349049e-05,0.025372256079445713,0.0076446710559337034,0.01151931249415097,0.1256868618985881,0.012504101325960262,1.1747151043798243,1.17058062443421,0.0027866860230763755,1.3219421019866353e-05,0.005377301715669178,0.0012295349722816831,0.016656749345184792,0.13883477165585473,0.006131178584127199,0.2264653891324997,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.15184334258238474,0.015814941950763266,0.21673115332921347,0.02250274734882017
13,0.0005,1.024667009063389,0.7476424212041108,0.27103256660958996,0.00010263285683164293,0.02469622558387725,0.001637544622059542,0.023169574692197468,0.17813095774339593,0.015214833228484444,1.0807365406481992,1.0765239357770908,0.00230046964827038,6.571972221103178e-05,0.00529113042922247,5.940462107814493e-06,0.03281457957179685,0.19509409949893042,0.0070243794825815015,0.21571137011051178,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.2133823557694753,0.018056589846188822,0.245062349041303,0.020656968901554742
14,0.0005,0.9475258044574572,0.6866278907527095,0.25267320644596347,0.0003573824626231647,0.024645112515629633,5.418667569756508e-06,0.04366390941583592,0.24441757279893625,0.01779541106003782,0.9898837592807554,0.9852613586222841,0.0017987437191463653,0.00015162076349605784,0.00516432523727417,0.0,0.05778046076718186,0.25904358455113,0.007899314519904908,0.20302468538284302,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.006666666666666667,0.9333333333333333,True,0.2833795857429504,0.02024607313796878,0.2761404444773992,0.01944533602024118
15,0.0005,0.871314331241276,0.6267184045003809,0.23557340888225514,0.0004255470779279004,0.024422556323849636,0.0,0.07336360021777776,0.31665562287620874,0.01830981048228948,0.9014354289465007,0.8964410884039743,0.0012898090339842298,0.00023012728918166389,0.005025813125428699,0.0,0.08583816334333581,0.3156899225144159,0.007954868479144006,0.1884130984544754,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.006666666666666667,0.9333333333333333,True,0.345592103600502,0.02008373257704079,0.30993316014607747,0.01624933324443797
