epoch,learning_rate,train_loss,train_background_classification_loss,train_background_tail_loss,train_target_keep_loss,train_pairwise_loss,train_shift_selectivity_loss,train_shift_regularization,train_background_shift_mean,train_target_shift_mean,val_loss,val_background_classification_loss,val_background_tail_loss,val_target_keep_loss,val_pairwise_loss,val_shift_selectivity_loss,val_shift_regularization,val_background_shift_mean,val_target_shift_mean,selected_threshold,selected_pd,selected_pfa,selected_auc,base_pd,base_pfa,raw_base_pd,pd_floor_satisfied,background_shift_mean,target_shift_mean,background_probability_mean,target_probability_mean
1,0.0005,1.8677203603412793,1.5047396162281865,0.3372744295908057,0.0,0.02889812300386636,0.03985285159686337,2.8065089123708237e-05,0.005389965625236864,0.005021586325829444,2.232381968200207,2.2210198165050574,0.004221125159944807,0.0,0.00554172538575672,0.012064715794154576,3.3106879813463563e-05,0.005512764056523641,0.0019508297821240765,0.253092497587204,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.0060293742424498,0.004996025639896592,0.05505952936907609,0.04915749952197075
2,0.0005,1.8173766395320063,1.4510761395744656,0.3409194738968559,0.0,0.028818908349975296,0.03923370770138243,3.767734122685278e-05,0.006605541536017605,0.004679517739492914,2.144263943994329,2.133059145226365,0.0042044934772309805,0.0,0.005539272512708392,0.011783997217814127,4.548421907418829e-05,0.006876695723760696,0.0016280731053224633,0.25281405448913574,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.007520907508830229,0.004172767302952707,0.061721178914109866,0.04539785236120224
3,0.0005,1.749667131382486,1.3904526130012844,0.33480260359204334,0.0,0.026628960085951763,0.03817116031828134,5.453370755750929e-05,0.008336946813632612,0.0037093781461210356,2.0535398207959674,2.042533972043367,0.004181412288120814,0.0,0.005536010719480969,0.011433060963948567,6.907548121532835e-05,0.008761864049094063,0.001287662007269405,0.2524232864379883,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.009582738907386859,0.0033069184243989485,0.06940555135409038,0.04084056795885165
4,0.0005,1.6766903244930764,1.3281169352324114,0.3248537072668905,0.0,0.026289436561257942,0.036921834816103394,8.661519108421129e-05,0.010732375530768995,0.0028804427660677743,1.9596959932574205,1.9489118679648354,0.004149755125954038,0.0,0.00553296066465832,0.011053210213070824,0.00011471352923503478,0.01140532862572443,0.0011605385979194017,0.25188592076301575,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.012473499402403831,0.002990878912775467,0.07841968834400177,0.03842454006274541
5,0.0005,1.6259293245232624,1.2639399766921997,0.3385720022994539,0.0,0.028332154388013092,0.0354989065748194,0.00014666592798438734,0.014117807635794516,0.0025249928964868836,1.861362915698971,1.8508745170774914,0.004104747374852499,0.0,0.005528161071595691,0.010551847730364118,0.00020045018041162706,0.015154329368046351,0.0010631751291276443,0.25111889839172363,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.01657375262429317,0.0027483789560695487,0.08912729660669963,0.03626643270254135
6,0.0005,1.5449030192002007,1.197543968325076,0.3253356824709993,0.0,0.026165179300891316,0.03357543164621229,0.00026368439126678783,0.018912940164623054,0.002140481323611153,1.761775885948113,1.75167835897633,0.004042374803906395,0.0,0.00552160001936413,0.009894425528390066,0.0003625431616196043,0.020426883016313825,0.0010289576946802082,0.25005048513412476,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.022339654999474684,0.0026724366587586703,0.10147623032331467,0.0348590472402672
7,0.0005,1.4787110971367878,1.1317126543625542,0.3258303283997204,0.0,0.027997095097342262,0.03112773119431475,0.0004831332708304019,0.025632743845167366,0.0020507152455494456,1.6627949593677407,1.653221378014201,0.003955274820327759,0.0,0.005511958826155889,0.009018365542093914,0.0006706072586807533,0.027823407309395927,0.0010168951559102251,0.24854381382465363,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.030429230717321235,0.002656019424709181,0.11540633961558341,0.03293911765019099
8,0.0005,1.405457667682482,1.066067690434663,0.31980342021131,0.0,0.028317203907215076,0.027828229915188706,0.00089986298142163,0.03507075296795886,0.0018475831374930947,1.5635644309577488,1.554697104933716,0.0038354002294086276,0.0,0.005496490001678467,0.007840100924173992,0.0012636600509549247,0.038262670380728586,0.0009395815010759093,0.2464425265789032,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.041845401600003246,0.002461084751606298,0.13120372037092845,0.029744092654436827
9,0.0005,1.331175887066385,1.0008310882941536,0.3131156991357389,0.0,0.027164417440476624,0.023558151219850002,0.00171723580190345,0.04856483298151389,0.0019830246329429033,1.4648345146505606,1.4568855081108354,0.003664550327119373,0.0,0.0054748557862781344,0.006329804375058128,0.002459489082892625,0.05340972173781622,0.0010583577411515373,0.24338588118553162,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.05841152409712474,0.0027681942369478445,0.1491212519009908,0.028495418590803942
10,0.0005,1.25989291978919,0.9357103964556819,0.3099753066249516,0.0,0.025805950245779495,0.018024599017656368,0.0033750686106150565,0.0678248036166896,0.0019363035781956885,1.366345244255804,1.3595484772785789,0.003430923961457752,0.0,0.0054463023231143045,0.004456203892117455,0.004846198057999746,0.07498905545189267,0.0012376486301599514,0.23910018801689148,0.9333333333333333,0.013333333333333334,0.9996666666666667,0.9333333333333333,0.013333333333333334,0.9333333333333333,True,0.08201195746660232,0.0032440319017041476,0.1693189987540245,0.026180543657392263
