sample_id,source_file,beam_layer,azimuth_deg,distance_m,velocity_mps,mat_path,target_present,raw_score,pred_range_index,pred_velocity_index,true_range_index,true_velocity_index,localization_ok,roi_quality,polarimetric_confidence
20260204_100826_beam1_az001,20260204_100826,1,1.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100826_beam1_az001.mat,0,0.20193884,83,63,-1,-1,False,0.49254507,0.0973272
20260204_100826_beam1_az010,20260204_100826,1,10.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az010.mat,0,0.041205626,83,0,-1,-1,False,0.29874203,0.0
20260204_100826_beam1_az019,20260204_100826,1,19.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az019.mat,0,0.090427995,79,64,-1,-1,False,0.54674697,0.1805477
20260204_100826_beam1_az028,20260204_100826,1,28.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100826_beam1_az028.mat,0,0.04808721,83,127,-1,-1,False,0.34370133,3.677508e-05
20260204_100826_beam1_az037,20260204_100826,1,37.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az037.mat,0,0.20659342,59,68,-1,-1,False,0.6800263,0.23291412
20260204_100826_beam1_az046,20260204_100826,1,46.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100826_beam1_az046.mat,0,0.04850036,83,127,-1,-1,False,0.32397747,0.0
20260204_100826_beam1_az055,20260204_100826,1,55.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az055.mat,0,0.090326376,58,68,-1,-1,False,0.67645484,0.27412298
20260204_100826_beam1_az064,20260204_100826,1,64.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100826_beam1_az064.mat,0,0.053834632,20,127,-1,-1,False,0.5217358,0.11105031
20260202_144637_beam1,20260202_144637,1,315.08,2130.0,-1.28,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144637_beam1.mat,1,0.9417744,74,70,70,71,False,0.70935154,0.17161857
20260202_144637_beam2,20260202_144637,2,315.08,2130.0,-1.1,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144637_beam2.mat,1,0.95247096,74,70,70,70,False,0.7073035,0.23590897
20260202_144637_beam3,20260202_144637,3,315.08,2130.0,-1.1,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144637_beam3.mat,1,0.9338664,74,70,70,70,False,0.70317847,0.23804605
20260202_144637_beam4,20260202_144637,4,315.08,2100.0,-1.28,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144637_beam4.mat,1,0.7411349,71,69,69,71,True,0.71235865,0.14387195
20260202_144645_beam1,20260202_144645,1,310.9,2040.0,2.01,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144645_beam1.mat,1,0.97548217,66,53,67,53,True,0.7207637,0.15572819
20260202_144645_beam2,20260202_144645,2,310.9,2070.0,2.01,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144645_beam2.mat,1,0.95727766,69,52,68,53,True,0.72721493,0.26794904
20260202_144645_beam3,20260202_144645,3,310.9,2070.0,2.01,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144645_beam3.mat,1,0.9610659,67,52,68,53,True,0.7326327,0.28789207
20260202_144645_beam4,20260202_144645,4,310.9,2040.0,2.01,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/UAV_IQ/IQ_Data/20260202_144645_beam4.mat,1,0.96114045,68,52,67,53,True,0.7323058,0.20225866
