sample_id,source_file,beam_layer,azimuth_deg,distance_m,velocity_mps,mat_path,target_present,raw_score,pred_range_index,pred_velocity_index,true_range_index,true_velocity_index,localization_ok,roi_quality,polarimetric_confidence
20260204_100739_beam1_az001,20260204_100739,1,1.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100739_beam1_az001.mat,0,0.37812677,34,69,-1,-1,False,0.7838171,0.23002347
20260204_100739_beam1_az010,20260204_100739,1,10.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az010.mat,0,0.7349128,65,65,-1,-1,False,0.74475247,0.1791701
20260204_100739_beam1_az019,20260204_100739,1,19.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100739_beam1_az019.mat,0,0.29984897,72,67,-1,-1,False,0.7859203,0.06761767
20260204_100739_beam1_az028,20260204_100739,1,28.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/test/Background_IQ/IQ_Data/20260204_100739_beam1_az028.mat,0,0.6834348,51,61,-1,-1,False,0.76377535,0.19316903
20260204_100739_beam1_az037,20260204_100739,1,37.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az037.mat,0,0.78371984,62,63,-1,-1,False,0.6892298,0.22357187
20260204_100739_beam1_az046,20260204_100739,1,46.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az046.mat,0,0.8054334,73,66,-1,-1,False,0.7817828,0.10309056
20260204_100739_beam1_az055,20260204_100739,1,55.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az055.mat,0,0.68059945,39,66,-1,-1,False,0.7401236,0.5097451
20260204_100739_beam1_az064,20260204_100739,1,64.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/val/Background_IQ/IQ_Data/20260204_100739_beam1_az064.mat,0,0.43552297,32,59,-1,-1,False,0.8260929,0.21336153
20260204_100739_beam1_az073,20260204_100739,1,73.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az073.mat,0,0.8330007,50,61,-1,-1,False,0.767391,0.22638702
20260204_100739_beam1_az082,20260204_100739,1,82.0,,,/home/tobeornot8259748/projects/balloon_radar_project/data/raw/detection_dataset/train/Background_IQ/IQ_Data/20260204_100739_beam1_az082.mat,0,0.65529376,52,60,-1,-1,False,0.7252265,0.112545386
