scope,fold,mode,experiment_name,parameter_count,best_epoch,base_threshold,selected_threshold,raw_false_alarms,refined_false_alarms,refined_fixed_pfa,refined_fixed_score_pd,refined_fixed_joint_pd,refined_auc,refined_pauc_5pct,refined_tpr_1pct,refined_tpr_5pct,range_mae,velocity_mae,selected_test_pfa,selected_test_joint_pd,delta_false_alarms_vs_raw,delta_joint_pd_vs_raw
smoke,1,power2_baseline,roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_smoke,0,0,0.183837890625,0.07954461127519608,8,8,1.0,1.0,1.0,0.921875,0.6794871794871795,0.375,0.375,1.0,0.75,1.0,1.0,0,0.0
smoke,1,power2_roi_power_control,roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_smoke,8162,3,0.183837890625,0.0781153067946434,8,8,1.0,1.0,1.0,0.921875,0.6794871794871795,0.375,0.375,1.0,0.75,1.0,1.0,0,0.0
smoke,1,power2_roi_ri4,roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_smoke,8162,3,0.183837890625,0.07811246067285538,8,8,1.0,1.0,1.0,0.921875,0.6794871794871795,0.375,0.375,1.0,0.75,1.0,1.0,0,0.0
smoke,1,power2_roi_polar6_gated,roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_smoke,8162,3,0.183837890625,0.07811541110277176,8,8,1.0,1.0,1.0,0.921875,0.6794871794871795,0.375,0.375,1.0,0.75,1.0,1.0,0,0.0
smoke,1,power2_roi_ri4_polar6_gated,roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_smoke,8162,3,0.183837890625,0.0781128853559494,8,8,1.0,1.0,1.0,0.921875,0.6794871794871795,0.375,0.375,1.0,0.75,1.0,1.0,0,0.0
smoke,4,power2_baseline,roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_smoke,0,0,0.140869140625,0.04410731419920921,8,8,1.0,1.0,0.625,0.78125,0.7435897435897436,0.5,0.5,9.125,9.75,1.0,0.625,0,0.0
smoke,4,power2_roi_power_control,roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_smoke,8162,3,0.140869140625,0.043281204998493195,8,8,1.0,1.0,0.625,0.78125,0.7435897435897436,0.5,0.5,9.125,9.75,1.0,0.625,0,0.0
smoke,4,power2_roi_ri4,roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_smoke,8162,3,0.140869140625,0.04328169301152229,8,8,1.0,1.0,0.625,0.78125,0.7435897435897436,0.5,0.5,9.125,9.75,1.0,0.625,0,0.0
smoke,4,power2_roi_polar6_gated,roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_smoke,8162,3,0.140869140625,0.04328150674700737,8,8,1.0,1.0,0.625,0.78125,0.7435897435897436,0.5,0.5,9.125,9.75,1.0,0.625,0,0.0
smoke,4,power2_roi_ri4_polar6_gated,roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_smoke,8162,3,0.140869140625,0.043282948434352875,8,8,1.0,1.0,0.625,0.78125,0.7435897435897436,0.5,0.5,9.125,9.75,1.0,0.625,0,0.0
