fold,mode,parameter_count,best_epoch,base_threshold,selected_threshold,false_alarms,fixed_pfa,fixed_score_pd,fixed_joint_pd,auc,pauc_5pct,tpr_1pct,tpr_5pct,range_mae,velocity_mae,selected_test_pfa,selected_test_joint_pd,validation_background_q99,test_background_exceed_q99_fraction,background_median_shift,background_q95_shift
2,power2_baseline,0,0,0.5234375,0.3230031728744507,0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,1.625,0.75,0.0,0.875,0.38081664789999997,0.0,-0.08295811299999999,-0.15875514810000008
2,power2_roi_power_control,8162,3,0.5234375,0.318720281124115,0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,1.625,0.75,0.0,0.875,0.3761988556,0.0,-0.08164124500000002,-0.15720787855000012
2,power2_roi_ri4,8162,3,0.5234375,0.3187152147293091,0,0.0,1.0,0.875,1.0,1.0,1.0,1.0,1.625,0.75,0.0,0.875,0.37619389649999996,0.0,-0.08163965849999999,-0.15720564955000005
3,power2_baseline,0,0,0.900390625,0.629917323589325,0,0.0,0.875,0.5,1.0,1.0,1.0,1.0,2.75,0.625,0.0,0.5,0.768241501,0.0,-0.4526200375,-0.48066054699999994
3,power2_roi_power_control,8162,3,0.900390625,0.6253291368484497,0,0.0,0.875,0.5,1.0,1.0,1.0,1.0,2.75,0.625,0.0,0.5,0.7647579577999999,0.0,-0.44969513499999997,-0.4804586399999998
3,power2_roi_ri4,8162,3,0.900390625,0.6253284811973572,0,0.0,0.875,0.5,1.0,1.0,1.0,1.0,2.75,0.625,0.0,0.5,0.764757076,0.0,-0.449694595,-0.48045995499999994
5,power2_baseline,0,0,0.5576171875,0.22307275235652924,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,0.5,0.0,1.0,0.4336927143999999,0.0,0.0028374025000000025,-0.23569052849999989
5,power2_roi_power_control,8162,3,0.5576171875,0.21967214345932007,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,0.5,0.0,1.0,0.42892563679999995,0.0,0.0027905054999999984,-0.2336126847499999
5,power2_roi_ri4,8162,3,0.5576171875,0.21967348456382751,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,0.5,0.0,1.0,0.42892653039999995,0.0,0.0027903300000000075,-0.23361242224999992
6,power2_baseline,0,0,0.841796875,0.46873390674591064,0,0.0,0.0,0.0,0.953125,0.8076923076923077,0.625,0.625,19.625,11.375,0.0,0.25,0.5570664718,0.0,-0.255736435,-0.14991241199999994
6,power2_roi_power_control,8162,3,0.841796875,0.46385037899017334,0,0.0,0.0,0.0,0.953125,0.8076923076923077,0.625,0.625,19.625,11.375,0.0,0.25,0.5522318326,0.0,-0.25335861,-0.14961601250000006
6,power2_roi_ri4,8162,3,0.841796875,0.4638473093509674,0,0.0,0.0,0.0,0.953125,0.8076923076923077,0.625,0.625,19.625,11.375,0.0,0.25,0.552229478,0.0,-0.253359005,-0.1496171970000001
