mode,metric,folds,mean,bootstrap_95_low,bootstrap_95_high
power2_baseline,fixed_pfa,6,0.3333333333333333,0.0022222222222222222,0.6666666666666666
power2_baseline,fixed_joint_pd,6,0.8388848572810838,0.7591880341880342,0.9140058055152394
power2_baseline,auc,6,0.9711950743101276,0.9331326130194055,0.9996493558776168
power2_baseline,pauc_5pct,6,0.9319496124233088,0.8659387539596201,0.9964036500268384
power2_baseline,tpr_5pct,6,0.9047532656023222,0.808599419448476,1.0
power2_baseline,test_background_exceed_q99_fraction,6,0.33,0.0011111111111111111,0.6611111111111111
power2_roi_power_control,fixed_pfa,6,0.26333333333333336,0.0,0.5722222222222223
power2_roi_power_control,fixed_joint_pd,6,0.8388848572810838,0.7591880341880342,0.9140058055152394
power2_roi_power_control,auc,6,0.9741091204317209,0.9360651776595171,0.9996493558776168
power2_roi_power_control,pauc_5pct,6,0.935824090898658,0.8733651822859033,0.9964036500268384
power2_roi_power_control,tpr_5pct,6,0.9173318819545235,0.8211780358006773,1.0
power2_roi_power_control,test_background_exceed_q99_fraction,6,0.2911111111111111,0.0022222222222222222,0.62
power2_roi_ri4,fixed_pfa,6,0.21777777777777776,0.0,0.44
power2_roi_ri4,fixed_joint_pd,6,0.8388848572810838,0.7591880341880342,0.9140058055152394
power2_roi_ri4,auc,6,0.9677306348438424,0.9311698148265007,0.995903596866097
power2_roi_ri4,pauc_5pct,6,0.9291354647789093,0.8635295589214312,0.9926345971217766
power2_roi_ri4,tpr_5pct,6,0.8942761248185777,0.7981222786647315,0.9863782051282052
power2_roi_ri4,test_background_exceed_q99_fraction,6,0.2822222222222222,0.0,0.5866666666666668
