mode,metric,folds,mean,bootstrap_95_low,bootstrap_95_high
power2_baseline,fixed_pfa,4,0.0,0.0,0.0
power2_baseline,fixed_joint_pd,4,0.59375,0.21875,0.9375
power2_baseline,auc,4,0.98828125,0.96484375,1.0
power2_baseline,pauc_5pct,4,0.9519230769230769,0.8557692307692308,1.0
power2_baseline,tpr_5pct,4,0.90625,0.71875,1.0
power2_baseline,test_background_exceed_q99_fraction,4,0.0,0.0,0.0
power2_roi_power_control,fixed_pfa,4,0.0,0.0,0.0
power2_roi_power_control,fixed_joint_pd,4,0.59375,0.21875,0.9375
power2_roi_power_control,auc,4,0.98828125,0.96484375,1.0
power2_roi_power_control,pauc_5pct,4,0.9519230769230769,0.8557692307692308,1.0
power2_roi_power_control,tpr_5pct,4,0.90625,0.71875,1.0
power2_roi_power_control,test_background_exceed_q99_fraction,4,0.0,0.0,0.0
power2_roi_ri4,fixed_pfa,4,0.0,0.0,0.0
power2_roi_ri4,fixed_joint_pd,4,0.59375,0.21875,0.9375
power2_roi_ri4,auc,4,0.98828125,0.96484375,1.0
power2_roi_ri4,pauc_5pct,4,0.9519230769230769,0.8557692307692308,1.0
power2_roi_ri4,tpr_5pct,4,0.90625,0.71875,1.0
power2_roi_ri4,test_background_exceed_q99_fraction,4,0.0,0.0,0.0
