epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_zero_false_peak_rate,train_zero_false_peak_count,train_zero_eligible_count,train_fused_base_loss,train_notch_base_loss,train_ranking_loss,train_band_energy_loss,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_zero_false_peak_rate,val_zero_false_peak_count,val_zero_eligible_count,val_fused_base_loss,val_notch_base_loss,val_ranking_loss,val_band_energy_loss,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
1,0.0003,0.1754359827752699,2.9035087719298245,1.793859649122807,0.04424778761061947,10.0,226.0,0.09049114532638014,0.0876828039947309,0.07314951691711158,0.0008025420049627405,0.37280701754385964,0.9385964912280702,0.9385964912280702,0.27387539148330686,2.4444444444444446,2.7555555555555555,0.022222222222222223,1.0,45.0,0.11017981933222877,0.10361638102266524,0.16547842390007442,0.0015194256822319908,0.4,0.8888888888888888,0.8888888888888888,True
2,0.0003,0.17439936219077362,2.8859649122807016,1.8026315789473684,0.04424778761061947,10.0,226.0,0.0903395414352417,0.0852568680257128,0.0729568574512214,0.000781826307966439,0.3815789473684211,0.9385964912280702,0.9385964912280702,0.27092153165075517,2.488888888888889,2.7333333333333334,0.022222222222222223,1.0,45.0,0.10990721815162235,0.10168050676584243,0.1628618030084504,0.00147140718699019,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
3,0.0003,0.1726582850280561,2.8508771929824563,1.6973684210526316,0.035398230088495575,8.0,226.0,0.09017991679802276,0.08472144551444472,0.07118801223604303,0.0007434791624810463,0.38596491228070173,0.9473684210526315,0.9473684210526315,0.26826464003986783,2.488888888888889,2.7555555555555555,0.022222222222222223,1.0,45.0,0.10953928232192993,0.10111182696289486,0.1602284100320604,0.001393928511404536,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
4,0.0003,0.1712224910918035,2.837719298245614,1.7105263157894737,0.035398230088495575,8.0,226.0,0.08997647960980733,0.08443302974889152,0.0697623989299724,0.0007078633243984044,0.39035087719298245,0.9473684210526315,0.9473684210526315,0.26552293565538193,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10913318792978922,0.10078679786788093,0.1574538658062617,0.0012707540312678449,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
5,0.0003,0.168990768100086,2.837719298245614,1.7017543859649122,0.035398230088495575,8.0,226.0,0.08967603926073041,0.0851797524251436,0.06708683648653198,0.0006088864295587458,0.39473684210526316,0.9473684210526315,0.9473684210526315,0.26073109375105963,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10851085715823704,0.10216014699803458,0.1517671729127566,0.0010563640674162243,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
6,0.0003,0.16601443055428958,2.8464912280701755,1.706140350877193,0.035398230088495575,8.0,226.0,0.08936034430537307,0.08662457711863936,0.06324080717668198,0.0004937653009957749,0.39035087719298245,0.9473684210526315,0.9473684210526315,0.25309472613864475,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10789528124862247,0.09928868131505118,0.14409699572457207,0.000901600517035048,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
7,0.0003,0.16042026432982662,2.8289473684210527,1.706140350877193,0.035398230088495575,8.0,226.0,0.08907665220791833,0.08833089052585133,0.05598715045734456,0.0003641518251746208,0.38596491228070173,0.9473684210526315,0.9473684210526315,0.2382724364598592,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10726904769738516,0.10112802584966024,0.1257164940237999,0.0006118631230694721,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
8,0.0003,0.15605974380384413,2.706140350877193,1.5789473684210527,0.030973451327433628,7.0,226.0,0.0888279069933975,0.08768389648512791,0.05110231394830503,0.00029875892398731097,0.39035087719298245,0.9517543859649122,0.9517543859649122,0.22251653638150956,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10704889727963342,0.1031766136487325,0.10556765910651948,0.000403529024636858,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
9,0.0003,0.15227194966977103,2.6447368421052633,1.4649122807017543,0.02654867256637168,6.0,226.0,0.08865387816178172,0.08859863106096,0.04625265823121656,0.00024236990234817213,0.40789473684210525,0.956140350877193,0.956140350877193,0.20952916079097325,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10659989416599273,0.10225304779079225,0.09025999704996744,0.0003023506671474428,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
10,0.0003,0.15043100453259653,2.6359649122807016,1.3157894736842106,0.022123893805309734,5.0,226.0,0.08853215122954887,0.08751157592785985,0.04451847638477359,0.00020400457301487698,0.41228070175438597,0.9605263157894737,0.9605263157894737,0.20228664345211453,2.488888888888889,2.7777777777777777,0.022222222222222223,1.0,45.0,0.10622876551416185,0.10187962353229522,0.08182542224725088,0.0002243506578092062,0.37777777777777777,0.8888888888888888,0.8888888888888888,False
