transfer_id,role,analysis_scope,source_bands,model_id,representation,band_code,band,target_record_count,target_batch_count,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,binary_log_loss,roc_auc,recall_uav,recall_weather,target_batch_macro_accuracy,target_batch_accuracy_p10,worst_target_batch_accuracy,target_batch_class_macro_accuracy,target_batch_class_recall_uav,target_batch_class_recall_weather,target_batch_class_cell_accuracy_p10,worst_target_batch_class_cell_accuracy,worst_target_batch_class_cell_record_count
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,X,dummy_prior,HRRP,3,Ku,3471,50,0.49150100835494093,0.5,0.32953447942824027,0.69314718055994529,0.5,0,1,0.81157894736842107,0,0,0.5,0,1,0,0,80
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,X,logistic_batch_balanced,HRRP,3,Ku,3471,50,0.48458657447421494,0.49296600234466587,0.32641179895206673,2.0016094480833453,0.45296620160805556,0,0.98593200468933173,0.8090430622009569,0,0,0.49845372855642428,0,0.99690745711284856,0,0,80
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,X,random_forest_batch_balanced,HRRP,3,Ku,3471,50,0.49150100835494093,0.49994121730004748,0.33251490896095692,2.2468017933807203,0.33742299300253398,0.0033994334277620396,0.99648300117233291,0.8083092113573056,0,0,0.49916602356152395,0.0030677655677655677,0.99526428155528235,0,0,80
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,dummy_prior,Narrow,1,S,4038,412,0.62085190688459635,0.5,0.38304048892284187,0.6931471805599434,0.5,0,1,0.97619648913195467,1,0,0.5,0,1,1,0,34
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,logistic_batch_balanced,Narrow,1,S,4038,412,0.72114908370480435,0.69469339539687303,0.69790879622702584,0.80215616991873762,0.7708013903330635,0.58523840627041146,0.8041483845233347,0.80443374245312715,0.33333333333333331,0,0.7041231888613575,0.59907642316084675,0.80916995456186835,0.33333333333333331,0,3
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,random_forest_batch_balanced,Narrow,1,S,4038,412,0.68003962357602776,0.61072914845617121,0.6056297229828449,0.54959133356573486,0.78104989895047627,0.3239712606139778,0.89748703629836457,0.86949341209420672,0.5,0,0.59749530462805778,0.31075887193973167,0.88423173731638383,0.5,0,3
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,dummy_prior,Narrow,3,Ku,3319,47,0.78276589334136792,0.5,0.43907385499408486,0.69314718055993796,0.5,1,0,0.16816077360111834,0,0,0.5,1,0,0,0,1
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,logistic_batch_balanced,Narrow,3,Ku,3319,47,0.26212714673094306,0.52266359805205964,0.24144803156785566,6.7660013815486311,0.69745077564199065,0.0619707467282525,0.98335644937586686,0.82999320761234296,0.06596570468498987,0.0078534031413612562,0.52091110769262983,0.054559171731473004,0.98726304365378659,0.061236802413273006,0,60
narrow_s_to_ku_shared_binary,secondary,band_qualified_primary,S,random_forest_batch_balanced,Narrow,3,Ku,3319,47,0.22235613136486893,0.50026559425312755,0.18701501969697529,2.4940259966076956,0.62685368772949213,0.0088529638183217855,0.99167822468793343,0.82515934249642398,0.026954346466541594,0,0.4992796395608185,0.0077237874970491199,0.99083549162458784,0.0065843816382775465,0,60
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,X+Ku,dummy_prior,Narrow,1,S,4038,412,0.62085190688459635,0.5,0.38304048892284187,0.69314718055994262,0.5,0,1,0.97619648913195467,1,0,0.5,0,1,1,0,34
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,X+Ku,logistic_batch_balanced,Narrow,1,S,4038,412,0.74789499752352651,0.72805732453376137,0.72990995868507091,0.71598285578816123,0.79238484952778865,0.64598301763553234,0.81013163143199041,0.81834483543018721,0.33333333333333331,0,0.74240276139471151,0.66100722625765251,0.8237982965317705,0.33333333333333331,0,1
narrow_x_ku_to_s_shared_binary,secondary,band_qualified_primary,X+Ku,random_forest_batch_balanced,Narrow,1,S,4038,412,0.6575037147102526,0.58355285800672552,0.57198017477632934,0.57390353077584988,0.78398876353265079,0.27759634225996083,0.88950937375349026,0.88577428646496537,0.66666666666666663,0,0.57517971027978243,0.24809196067512138,0.90226745988444346,0.66666666666666663,0,3
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,X+S,dummy_prior,Narrow,3,Ku,3319,47,0.78276589334136792,0.5,0.43907385499408486,0.69314718055993196,0.5,1,0,0.16816077360111834,0,0,0.5,1,0,0,0,1
narrow_x_s_to_ku_shared_binary,secondary,band_qualified_primary,X+S,logistic_batch_balanced,Narrow,3,Ku,3319,47,0.83760168725519735,0.8521761111449222,0.79493005439863174,0.82409437617709735,0.89796349266853093,0.82640492686682065,0.87794729542302363,0.875512946960051,0.57632653061224492,0.16666666666666666,0.85710281598140425,0.82277882553306625,0.89142680642974226,0.58816326530612251,0.16666666666666666,18
