transfer_id,analysis_scope,role,representation,target_band,comparison,metric,estimate,ci_lower_95,ci_upper_95,requested_replicates,valid_replicates,discarded_replicates,bootstrap_seed,draw_count_per_replicate,resampling_unit,duplicate_batch_draws_count_with_multiplicity,percentile_quantile_method,inference_scope,conditioning,identical_paired_draws
hrrp_x_to_ku_binary,band_qualified_primary,exploratory,HRRP,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,2901850054,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
hrrp_x_to_ku_binary,band_qualified_primary,exploratory,HRRP,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.49845372855642428,0.49567869304711415,0.5,2000,2000,0,2901850054,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
hrrp_x_to_ku_binary,band_qualified_primary,exploratory,HRRP,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,-0.0015462714435757197,-0.0043213069528858549,0,2000,2000,0,2901850054,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
hrrp_x_to_ku_binary,band_qualified_primary,exploratory,HRRP,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.49916602356152395,0.49551322369133322,0.50263722967897195,2000,2000,0,2901850054,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,exploratory,HRRP,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,2019254596,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,exploratory,HRRP,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.49845372855642428,0.49562400318979261,0.5,2000,2000,0,2019254596,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,exploratory,HRRP,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,-0.0015462714435757197,-0.0043759968102073943,0,2000,2000,0,2019254596,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,exploratory,HRRP,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.49916602356152395,0.49552066060555333,0.50245199461996337,2000,2000,0,2019254596,50,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,3330155384,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,logistic_batch_balanced,target_batch_class_macro_accuracy,0.70412318886135761,0.64239631908737582,0.76178424021747937,2000,2000,0,3330155384,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.20412318886135761,0.14239631908737588,0.26178424021747937,2000,2000,0,3330155384,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.59749530462805789,0.53277290873556671,0.67211728144376104,2000,2000,0,3330155384,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,3931194857,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,logistic_batch_balanced,target_batch_class_macro_accuracy,0.52091110769262983,0.49956984129979548,0.54188489858728273,2000,2000,0,3931194857,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,logistic_batch_balanced_minus_dummy_prior,paired_target_batch_class_macro_accuracy_difference,0.020911107692629827,-0.00043015870020451214,0.041884898587282775,2000,2000,0,3931194857,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,True
narrow_s_to_ku_shared_binary,band_qualified_primary,secondary,Narrow,Ku,random_forest_batch_balanced,target_batch_class_macro_accuracy,0.4992796395608185,0.49172418006787938,0.50582925823757885,2000,2000,0,3931194857,47,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,dummy_prior,target_batch_class_macro_accuracy,0.5,0.5,0.5,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
narrow_x_ku_to_s_shared_binary,band_qualified_primary,secondary,Narrow,S,logistic_batch_balanced,target_batch_class_macro_accuracy,0.74240276139471173,0.68449630015698582,0.79523456148521032,2000,2000,0,805125002,412,representation_target_band_code_batch_code,True,linear,conditional_on_each_fixed_source_fit,conditional_on_each_fixed_source_fit,False
