transfer_id,role,analysis_scope,model_id,band,true_category_code,true_category,predicted_category_code,predicted_category,confusion_type,value
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,row_count,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,row_count,1765
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,1,UAV,3,weather,target_batch_class_row_normalized,1
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,row_count,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,row_count,1706
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,dummy_prior,Ku,3,weather,3,weather,target_batch_class_row_normalized,1
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,row_count,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,row_count,1765
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,1
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,row_count,24
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.0030925428871513595
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,row_count,1682
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,logistic_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.99690745711284867
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,row_count,6
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,1,UAV,target_batch_class_row_normalized,0.0030677655677655681
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,row_count,1759
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,1,UAV,3,weather,target_batch_class_row_normalized,0.99693223443223444
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,row_count,6
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,1,UAV,target_batch_class_row_normalized,0.0047357184447176029
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,row_count,1700
hrrp_x_to_ku_binary,exploratory,band_qualified_primary,random_forest_batch_balanced,Ku,3,weather,3,weather,target_batch_class_row_normalized,0.99526428155528235
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,row_count,0
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,1,UAV,target_batch_class_row_normalized,0
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,row_count,1531
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,1,UAV,3,weather,target_batch_class_row_normalized,1
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,row_count,0
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,1,UAV,target_batch_class_row_normalized,0
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,row_count,2507
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,dummy_prior,S,3,weather,3,weather,target_batch_class_row_normalized,1
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,row_count,896
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,1,UAV,target_batch_class_row_normalized,0.59907642316084675
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,row_count,635
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,1,UAV,3,weather,target_batch_class_row_normalized,0.40092357683915331
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,row_count,491
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,1,UAV,target_batch_class_row_normalized,0.1908300454381317
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,row_count,2016
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,logistic_batch_balanced,S,3,weather,3,weather,target_batch_class_row_normalized,0.80916995456186847
