feature_set_id,representation,feature,physical_frequency_unit,per_record_normalized,metadata_as_feature
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_centroid_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_spread_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_entropy_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,peak_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,peak_power_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,crest_factor,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,amplitude_mean_rms_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,amplitude_std_rms_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,amplitude_skewness,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,amplitude_kurtosis,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_q10_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_q50_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_q90_bin_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,energy_q90_q10_width_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,roughness_mean_abs_difference,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,autocorrelation_magnitude_lag1,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,autocorrelation_magnitude_lag4,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,HRRP,autocorrelation_magnitude_lag16,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_mean_rms_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_std_rms_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_coefficient_of_variation,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_skewness,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_kurtosis,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,envelope_crest_factor,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,phase_increment_mean_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,phase_increment_resultant_length,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag1,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag2,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag4,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag8,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag16,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,autocorrelation_magnitude_lag32,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,periodicity_candidate_autocorrelation,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,periodicity_candidate_lag_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_centroid_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_abs_centroid_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_spread_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_entropy_normalized,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_dominant_frequency_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_dominant_abs_frequency_cycles_per_sample,cycles/sample,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_peak_power_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_zero_band_power_fraction,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_positive_negative_log10_ratio,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_flatness,not_applicable,True,False
lat_mricd_grouped_baseline_v1_exact,Narrow,spectrum_kurtosis,not_applicable,True,False
