transfer_id,analysis_scope,source_band,source_band_code,category_code,category,record_count,batch_count,total_weight,minimum_batch_cell_weight,maximum_batch_cell_weight
hrrp_x_to_ku_binary,band_qualified_primary,X,2,1,UAV,1411,12,1248,104,104.00000000000001
hrrp_x_to_ku_binary,band_qualified_primary,X,2,3,weather,1085,22,1248,56.72727272727272,56.727272727272734
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,X,2,1,UAV,1411,12,1248,104,104.00000000000001
hrrp_x_to_ku_binary,raw_batch_code_disjoint_sensitivity,X,2,3,weather,1085,22,1248,56.72727272727272,56.727272727272734
narrow_ku_to_s_shared_binary,band_qualified_primary,Ku,3,1,UAV,2598,8,1659.4999999999998,207.43749999999997,207.43750000000003
narrow_ku_to_s_shared_binary,band_qualified_primary,Ku,3,3,weather,721,41,1659.5,40.475609756097562,40.475609756097569
narrow_s_to_ku_shared_binary,band_qualified_primary,S,1,1,UAV,1531,10,2019,201.89999999999998,201.90000000000003
narrow_s_to_ku_shared_binary,band_qualified_primary,S,1,3,weather,2507,406,2019,4.9729064039408861,4.9729064039408879
narrow_x_ku_to_s_shared_binary,band_qualified_primary,Ku,3,1,UAV,2598,8,2442.5,305.3125,305.31250000000006
narrow_x_ku_to_s_shared_binary,band_qualified_primary,X,2,1,UAV,868,5,2442.5,488.5,488.50000000000006
narrow_x_ku_to_s_shared_binary,band_qualified_primary,Ku,3,3,weather,721,41,2442.5,59.573170731707314,59.573170731707322
narrow_x_ku_to_s_shared_binary,band_qualified_primary,X,2,3,weather,5583,357,2442.5,6.8417366946778699,6.8417366946778717
narrow_x_s_to_ku_shared_binary,band_qualified_primary,S,1,1,UAV,1531,10,2622.25,262.22499999999997,262.22500000000002
narrow_x_s_to_ku_shared_binary,band_qualified_primary,X,2,1,UAV,868,5,2622.25,524.44999999999993,524.45000000000005
narrow_x_s_to_ku_shared_binary,band_qualified_primary,S,1,3,weather,2507,406,2622.25,6.4587438423645311,6.4587438423645329
narrow_x_s_to_ku_shared_binary,band_qualified_primary,X,2,3,weather,5583,357,2622.25,7.345238095238094,7.3452380952380958
narrow_x_to_ku_shared_binary,band_qualified_primary,X,2,1,UAV,868,5,3225.5,645.10000000000002,645.10000000000014
narrow_x_to_ku_shared_binary,band_qualified_primary,X,2,3,weather,5583,357,3225.5,9.0350140056022408,9.0350140056022425
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,X,2,1,UAV,868,5,2990,598,598.00000000000011
narrow_x_to_ku_shared_binary,raw_batch_code_disjoint_sensitivity,X,2,3,weather,5112,324,2990,9.2283950617283939,9.2283950617283956
narrow_x_to_s_shared_binary,band_qualified_primary,X,2,1,UAV,868,5,3225.5,645.10000000000002,645.10000000000014
narrow_x_to_s_shared_binary,band_qualified_primary,X,2,3,weather,5583,357,3225.5,9.0350140056022408,9.0350140056022425
