task_id,model_id,heldout_fold,batch_code,category_code,category,record_count,accuracy,evaluation_unit
hrrp_x_category,dummy_prior,1,6,all,all,536,0.0,batch
hrrp_x_category,dummy_prior,1,73,all,all,80,1.0,batch
hrrp_x_category,dummy_prior,1,145,all,all,147,1.0,batch
hrrp_x_category,dummy_prior,1,279,all,all,7,0.0,batch
hrrp_x_category,dummy_prior,1,361,all,all,15,0.0,batch
hrrp_x_category,dummy_prior,1,469,all,all,4,0.0,batch
hrrp_x_category,dummy_prior,1,840,all,all,6,0.0,batch
hrrp_x_category,dummy_prior,2,7,all,all,26,1.0,batch
hrrp_x_category,dummy_prior,2,123,all,all,14,0.9285714285714286,batch
hrrp_x_category,dummy_prior,2,192,all,all,28,0.9642857142857143,batch
hrrp_x_category,dummy_prior,2,206,all,all,38,0.0,batch
hrrp_x_category,dummy_prior,2,502,all,all,31,0.0,batch
hrrp_x_category,dummy_prior,2,534,all,all,59,0.9491525423728814,batch
hrrp_x_category,dummy_prior,2,594,all,all,315,0.0,batch
hrrp_x_category,dummy_prior,2,641,all,all,211,0.0,batch
hrrp_x_category,dummy_prior,3,18,all,all,22,0.0,batch
hrrp_x_category,dummy_prior,3,148,all,all,2,1.0,batch
hrrp_x_category,dummy_prior,3,159,all,all,83,0.0,batch
hrrp_x_category,dummy_prior,3,189,all,all,96,0.0,batch
hrrp_x_category,dummy_prior,3,379,all,all,25,0.16,batch
hrrp_x_category,dummy_prior,3,420,all,all,378,1.0,batch
hrrp_x_category,dummy_prior,3,731,all,all,24,0.08333333333333333,batch
hrrp_x_category,dummy_prior,3,815,all,all,86,0.0,batch
hrrp_x_category,dummy_prior,4,50,all,all,11,0.7272727272727273,batch
hrrp_x_category,dummy_prior,4,428,all,all,49,0.0,batch
hrrp_x_category,dummy_prior,4,432,all,all,67,0.0,batch
hrrp_x_category,dummy_prior,4,524,all,all,91,0.0,batch
hrrp_x_category,dummy_prior,4,667,all,all,64,0.0,batch
hrrp_x_category,dummy_prior,4,844,all,all,309,1.0,batch
hrrp_x_category,dummy_prior,4,853,all,all,42,0.0,batch
hrrp_x_category,dummy_prior,4,976,all,all,54,0.0,batch
hrrp_x_category,dummy_prior,5,83,all,all,32,0.0625,batch
hrrp_x_category,dummy_prior,5,247,all,all,19,0.0,batch
hrrp_x_category,dummy_prior,5,337,all,all,295,0.0,batch
hrrp_x_category,dummy_prior,5,587,all,all,35,0.0,batch
hrrp_x_category,dummy_prior,5,909,all,all,27,0.0,batch
hrrp_x_category,dummy_prior,5,948,all,all,220,0.8772727272727273,batch
hrrp_x_category,dummy_prior,5,994,all,all,100,0.25,batch
hrrp_x_category,logistic_batch_balanced,1,6,all,all,536,0.013059701492537313,batch
hrrp_x_category,logistic_batch_balanced,1,73,all,all,80,0.75,batch
hrrp_x_category,logistic_batch_balanced,1,145,all,all,147,0.5578231292517006,batch
hrrp_x_category,logistic_batch_balanced,1,279,all,all,7,0.7142857142857143,batch
hrrp_x_category,logistic_batch_balanced,1,361,all,all,15,0.8,batch
hrrp_x_category,logistic_batch_balanced,1,469,all,all,4,1.0,batch
hrrp_x_category,logistic_batch_balanced,1,840,all,all,6,0.6666666666666666,batch
hrrp_x_category,logistic_batch_balanced,2,7,all,all,26,0.6153846153846154,batch
hrrp_x_category,logistic_batch_balanced,2,123,all,all,14,0.35714285714285715,batch
hrrp_x_category,logistic_batch_balanced,2,192,all,all,28,0.17857142857142858,batch
hrrp_x_category,logistic_batch_balanced,2,206,all,all,38,0.868421052631579,batch
hrrp_x_category,logistic_batch_balanced,2,502,all,all,31,1.0,batch
hrrp_x_category,logistic_batch_balanced,2,534,all,all,59,0.5254237288135594,batch
hrrp_x_category,logistic_batch_balanced,2,594,all,all,315,0.06349206349206349,batch
hrrp_x_category,logistic_batch_balanced,2,641,all,all,211,0.976303317535545,batch
hrrp_x_category,logistic_batch_balanced,3,18,all,all,22,1.0,batch
hrrp_x_category,logistic_batch_balanced,3,148,all,all,2,1.0,batch
hrrp_x_category,logistic_batch_balanced,3,159,all,all,83,0.8313253012048193,batch
hrrp_x_category,logistic_batch_balanced,3,189,all,all,96,0.8333333333333334,batch
hrrp_x_category,logistic_batch_balanced,3,379,all,all,25,0.72,batch
hrrp_x_category,logistic_batch_balanced,3,420,all,all,378,0.25132275132275134,batch
hrrp_x_category,logistic_batch_balanced,3,731,all,all,24,1.0,batch
hrrp_x_category,logistic_batch_balanced,3,815,all,all,86,0.9186046511627907,batch
hrrp_x_category,logistic_batch_balanced,4,50,all,all,11,0.45454545454545453,batch
hrrp_x_category,logistic_batch_balanced,4,428,all,all,49,0.5714285714285714,batch
hrrp_x_category,logistic_batch_balanced,4,432,all,all,67,0.746268656716418,batch
hrrp_x_category,logistic_batch_balanced,4,524,all,all,91,0.5054945054945055,batch
hrrp_x_category,logistic_batch_balanced,4,667,all,all,64,0.171875,batch
hrrp_x_category,logistic_batch_balanced,4,844,all,all,309,0.8770226537216829,batch
hrrp_x_category,logistic_batch_balanced,4,853,all,all,42,0.9285714285714286,batch
hrrp_x_category,logistic_batch_balanced,4,976,all,all,54,0.3888888888888889,batch
hrrp_x_category,logistic_batch_balanced,5,83,all,all,32,0.875,batch
hrrp_x_category,logistic_batch_balanced,5,247,all,all,19,0.8421052631578947,batch
hrrp_x_category,logistic_batch_balanced,5,337,all,all,295,0.6440677966101694,batch
hrrp_x_category,logistic_batch_balanced,5,587,all,all,35,0.6857142857142857,batch
hrrp_x_category,logistic_batch_balanced,5,909,all,all,27,0.8148148148148148,batch
hrrp_x_category,logistic_batch_balanced,5,948,all,all,220,0.7227272727272728,batch
hrrp_x_category,logistic_batch_balanced,5,994,all,all,100,0.65,batch
hrrp_x_category,random_forest_batch_balanced,1,6,all,all,536,0.17723880597014927,batch
hrrp_x_category,random_forest_batch_balanced,1,73,all,all,80,0.8,batch
hrrp_x_category,random_forest_batch_balanced,1,145,all,all,147,0.46258503401360546,batch
hrrp_x_category,random_forest_batch_balanced,1,279,all,all,7,0.42857142857142855,batch
hrrp_x_category,random_forest_batch_balanced,1,361,all,all,15,0.8,batch
hrrp_x_category,random_forest_batch_balanced,1,469,all,all,4,0.5,batch
hrrp_x_category,random_forest_batch_balanced,1,840,all,all,6,0.5,batch
