task_id,model_id,true_category_code,true_category,predicted_category_code,predicted_category,confusion_type,value
hrrp_x_category,dummy_prior,1,UAV,1,UAV,row_count,544.0
hrrp_x_category,dummy_prior,1,UAV,2,bird,row_count,602.0
hrrp_x_category,dummy_prior,1,UAV,3,weather,row_count,265.0
hrrp_x_category,dummy_prior,2,bird,1,UAV,row_count,745.0
hrrp_x_category,dummy_prior,2,bird,2,bird,row_count,342.0
hrrp_x_category,dummy_prior,2,bird,3,weather,row_count,65.0
hrrp_x_category,dummy_prior,3,weather,1,UAV,row_count,193.0
hrrp_x_category,dummy_prior,3,weather,2,bird,row_count,506.0
hrrp_x_category,dummy_prior,3,weather,3,weather,row_count,386.0
hrrp_x_category,dummy_prior,1,UAV,1,UAV,batch_class_row_normalized,0.33333333333333337
hrrp_x_category,dummy_prior,1,UAV,2,bird,batch_class_row_normalized,0.4166666666666667
hrrp_x_category,dummy_prior,1,UAV,3,weather,batch_class_row_normalized,0.25000000000000006
hrrp_x_category,dummy_prior,2,bird,1,UAV,batch_class_row_normalized,0.37499999999999994
hrrp_x_category,dummy_prior,2,bird,2,bird,batch_class_row_normalized,0.43750000000000006
hrrp_x_category,dummy_prior,2,bird,3,weather,batch_class_row_normalized,0.1875
hrrp_x_category,dummy_prior,3,weather,1,UAV,batch_class_row_normalized,0.40909090909090906
hrrp_x_category,dummy_prior,3,weather,2,bird,batch_class_row_normalized,0.40909090909090906
hrrp_x_category,dummy_prior,3,weather,3,weather,batch_class_row_normalized,0.18181818181818182
hrrp_x_category,logistic_batch_balanced,1,UAV,1,UAV,row_count,1128.0
hrrp_x_category,logistic_batch_balanced,1,UAV,2,bird,row_count,216.0
hrrp_x_category,logistic_batch_balanced,1,UAV,3,weather,row_count,67.0
hrrp_x_category,logistic_batch_balanced,2,bird,1,UAV,row_count,508.0
hrrp_x_category,logistic_batch_balanced,2,bird,2,bird,row_count,333.0
hrrp_x_category,logistic_batch_balanced,2,bird,3,weather,row_count,311.0
hrrp_x_category,logistic_batch_balanced,3,weather,1,UAV,row_count,490.0
hrrp_x_category,logistic_batch_balanced,3,weather,2,bird,row_count,171.0
hrrp_x_category,logistic_batch_balanced,3,weather,3,weather,row_count,424.0
hrrp_x_category,logistic_batch_balanced,1,UAV,1,UAV,batch_class_row_normalized,0.8080596708555363
hrrp_x_category,logistic_batch_balanced,1,UAV,2,bird,batch_class_row_normalized,0.13273252940303948
hrrp_x_category,logistic_batch_balanced,1,UAV,3,weather,batch_class_row_normalized,0.059207799741424254
hrrp_x_category,logistic_batch_balanced,2,bird,1,UAV,batch_class_row_normalized,0.27190304287381917
hrrp_x_category,logistic_batch_balanced,2,bird,2,bird,batch_class_row_normalized,0.4636720078438992
hrrp_x_category,logistic_batch_balanced,2,bird,3,weather,batch_class_row_normalized,0.2644249492822816
hrrp_x_category,logistic_batch_balanced,3,weather,1,UAV,batch_class_row_normalized,0.1700524895620844
hrrp_x_category,logistic_batch_balanced,3,weather,2,bird,batch_class_row_normalized,0.116664039813518
hrrp_x_category,logistic_batch_balanced,3,weather,3,weather,batch_class_row_normalized,0.7132834706243975
hrrp_x_category,random_forest_batch_balanced,1,UAV,1,UAV,row_count,1223.0
hrrp_x_category,random_forest_batch_balanced,1,UAV,2,bird,row_count,58.0
hrrp_x_category,random_forest_batch_balanced,1,UAV,3,weather,row_count,130.0
hrrp_x_category,random_forest_batch_balanced,2,bird,1,UAV,row_count,385.0
hrrp_x_category,random_forest_batch_balanced,2,bird,2,bird,row_count,460.0
hrrp_x_category,random_forest_batch_balanced,2,bird,3,weather,row_count,307.0
hrrp_x_category,random_forest_batch_balanced,3,weather,1,UAV,row_count,489.0
hrrp_x_category,random_forest_batch_balanced,3,weather,2,bird,row_count,193.0
hrrp_x_category,random_forest_batch_balanced,3,weather,3,weather,row_count,403.0
hrrp_x_category,random_forest_batch_balanced,1,UAV,1,UAV,batch_class_row_normalized,0.8512220008868164
hrrp_x_category,random_forest_batch_balanced,1,UAV,2,bird,batch_class_row_normalized,0.059002096214415184
hrrp_x_category,random_forest_batch_balanced,1,UAV,3,weather,batch_class_row_normalized,0.08977590289876831
hrrp_x_category,random_forest_batch_balanced,2,bird,1,UAV,batch_class_row_normalized,0.1761239178354922
hrrp_x_category,random_forest_batch_balanced,2,bird,2,bird,batch_class_row_normalized,0.5015919051173999
hrrp_x_category,random_forest_batch_balanced,2,bird,3,weather,batch_class_row_normalized,0.32228417704710777
hrrp_x_category,random_forest_batch_balanced,3,weather,1,UAV,batch_class_row_normalized,0.18061186030269183
hrrp_x_category,random_forest_batch_balanced,3,weather,2,bird,batch_class_row_normalized,0.22803634454964272
hrrp_x_category,random_forest_batch_balanced,3,weather,3,weather,batch_class_row_normalized,0.5913517951476654
narrow_x_category,dummy_prior,1,UAV,1,UAV,row_count,867.0
narrow_x_category,dummy_prior,1,UAV,2,bird,row_count,434.0
narrow_x_category,dummy_prior,1,UAV,3,weather,row_count,868.0
narrow_x_category,dummy_prior,2,bird,1,UAV,row_count,419.0
narrow_x_category,dummy_prior,2,bird,2,bird,row_count,132.0
narrow_x_category,dummy_prior,2,bird,3,weather,row_count,412.0
narrow_x_category,dummy_prior,3,weather,1,UAV,row_count,2233.0
narrow_x_category,dummy_prior,3,weather,2,bird,row_count,1117.0
narrow_x_category,dummy_prior,3,weather,3,weather,row_count,2233.0
narrow_x_category,dummy_prior,1,UAV,1,UAV,batch_class_row_normalized,0.4
narrow_x_category,dummy_prior,1,UAV,2,bird,batch_class_row_normalized,0.20000000000000004
narrow_x_category,dummy_prior,1,UAV,3,weather,batch_class_row_normalized,0.4
narrow_x_category,dummy_prior,2,bird,1,UAV,batch_class_row_normalized,0.33333333333333326
narrow_x_category,dummy_prior,2,bird,2,bird,batch_class_row_normalized,0.22222222222222218
narrow_x_category,dummy_prior,2,bird,3,weather,batch_class_row_normalized,0.4444444444444445
narrow_x_category,dummy_prior,3,weather,1,UAV,batch_class_row_normalized,0.4033613445378151
narrow_x_category,dummy_prior,3,weather,2,bird,batch_class_row_normalized,0.1988795518207283
narrow_x_category,dummy_prior,3,weather,3,weather,batch_class_row_normalized,0.39775910364145656
narrow_x_category,logistic_batch_balanced,1,UAV,1,UAV,row_count,1914.0
narrow_x_category,logistic_batch_balanced,1,UAV,2,bird,row_count,87.0
narrow_x_category,logistic_batch_balanced,1,UAV,3,weather,row_count,168.0
narrow_x_category,logistic_batch_balanced,2,bird,1,UAV,row_count,56.0
narrow_x_category,logistic_batch_balanced,2,bird,2,bird,row_count,617.0
narrow_x_category,logistic_batch_balanced,2,bird,3,weather,row_count,290.0
narrow_x_category,logistic_batch_balanced,3,weather,1,UAV,row_count,155.0
narrow_x_category,logistic_batch_balanced,3,weather,2,bird,row_count,855.0
narrow_x_category,logistic_batch_balanced,3,weather,3,weather,row_count,4573.0
