fold,model,display_name,background_samples,target_samples,false_alarms,pfa,correct_detections,joint_pd
01,bc_dpg_v3,BC-DPG-FCN v3,150,53,42,0.28,53,1.0
01,roi_baseline,Power2 baseline,150,53,150,1.0,52,0.981132075471698
01,roi_power_control,ROI power control,150,53,98,0.6533333333333333,52,0.981132075471698
01,roi_ri4,ROI RI4,150,53,100,0.6666666666666666,52,0.981132075471698
02,bc_dpg_v3,BC-DPG-FCN v3,150,53,0,0.0,49,0.9245283018867924
02,roi_baseline,Power2 baseline,150,53,2,0.0133333333333333,47,0.8867924528301887
02,roi_power_control,ROI power control,150,53,0,0.0,47,0.8867924528301887
02,roi_ri4,ROI RI4,150,53,0,0.0,47,0.8867924528301887
03,bc_dpg_v3,BC-DPG-FCN v3,115,52,0,0.0,45,0.8653846153846154
03,roi_baseline,Power2 baseline,115,52,0,0.0,43,0.8269230769230769
03,roi_power_control,ROI power control,115,52,0,0.0,43,0.8269230769230769
03,roi_ri4,ROI RI4,115,52,0,0.0,43,0.8269230769230769
04,bc_dpg_v3,BC-DPG-FCN v3,150,52,14,0.0933333333333333,47,0.903846153846154
04,roi_baseline,Power2 baseline,150,52,148,0.9866666666666668,41,0.7884615384615384
04,roi_power_control,ROI power control,150,52,139,0.9266666666666666,41,0.7884615384615384
04,roi_ri4,ROI RI4,150,52,96,0.64,41,0.7884615384615384
05,bc_dpg_v3,BC-DPG-FCN v3,150,60,0,0.0,57,0.95
05,roi_baseline,Power2 baseline,150,60,0,0.0,53,0.8833333333333333
05,roi_power_control,ROI power control,150,60,0,0.0,53,0.8833333333333333
05,roi_ri4,ROI RI4,150,60,0,0.0,53,0.8833333333333333
06,bc_dpg_v3,BC-DPG-FCN v3,115,48,0,0.0,38,0.7916666666666666
06,roi_baseline,Power2 baseline,115,48,0,0.0,32,0.6666666666666666
06,roi_power_control,ROI power control,115,48,0,0.0,32,0.6666666666666666
06,roi_ri4,ROI RI4,115,48,0,0.0,32,0.6666666666666666
