sample_id,session_id,beam_layer,azimuth_deg,distance_m,velocity_mps,label_range_index,label_velocity_index,raw_detection_cell_count,candidate_count,strict_hit,relaxed_hit,strict_hit_candidate_count,relaxed_hit_candidate_count,false_alarm_candidate_count,label_cell_detected,label_power_db,label_threshold_db,label_margin_over_threshold_db,nearest_candidate_exists,nearest_range_index,nearest_velocity_index,nearest_range_offset_gates,nearest_velocity_offset_bins,nearest_range_error_m,nearest_velocity_error_mps,nearest_peak_power_db,read_success,error
20260202_144238_beam1,20260202_144238,1,312.35,2040.0,-2.19,67,76,90,12,False,True,0,1,11,True,31.509972376918107,25.035796352655993,6.47417602426212,True,71,76,4,0,120.0,0.0,31.645829331896024,True,
20260202_144238_beam2,20260202_144238,2,311.35,2040.0,-2.19,67,76,101,18,False,True,0,1,17,True,35.822116524758925,29.311737406253606,6.510379118505327,True,65,76,-2,0,-60.0,0.0,36.01963021709272,True,
20260202_144238_beam3,20260202_144238,3,312.35,2040.0,-2.19,67,76,98,15,False,True,0,1,14,True,39.786184658309395,33.04028888116988,6.7458957771395145,True,70,76,3,0,90.0,0.0,39.82186787327584,True,
20260202_144238_beam4,20260202_144238,4,312.35,2040.0,-2.19,67,76,100,12,True,True,1,1,11,True,34.76784617716486,27.950656873786386,6.817189303378485,True,67,76,0,0,0.0,0.0,34.76784617716486,True,
20260202_144246_beam1,20260202_144246,1,312.22,2040.0,-1.83,67,74,87,12,False,True,0,1,11,True,29.4997184325779,23.69567641590382,5.8040420166741,True,71,74,4,0,120.0,0.0,30.212406975227776,True,
20260202_144246_beam2,20260202_144246,2,312.22,2040.0,-1.83,67,74,118,13,False,True,0,1,12,True,37.418514609635366,30.990895728984206,6.4276188806511625,True,71,74,4,0,120.0,0.0,38.079742534471194,True,
20260202_144246_beam3,20260202_144246,3,311.23,2010.0,-1.83,66,74,110,11,False,False,0,0,11,True,40.505774888430466,33.904375901107755,6.601398987322713,True,71,74,5,0,150.0,0.0,41.182520352719536,True,
20260202_144246_beam4,20260202_144246,4,311.23,2010.0,-1.83,66,74,90,12,False,False,0,0,12,True,35.709477274884165,29.27681683662888,6.4326604382552945,True,71,74,5,0,150.0,0.0,36.41289664050407,True,
20260202_144246_beam5,20260202_144246,5,311.23,2010.0,-1.83,66,74,85,11,False,True,0,1,10,True,25.18447961775964,19.60965153844484,5.574828079314845,True,63,74,-3,0,-90.0,0.0,26.21799505562127,True,
20260202_144254_beam1,20260202_144254,1,311.76,2010.0,-2.01,66,75,87,9,True,True,1,1,8,True,28.541177652590815,22.22015452963689,6.321023122953951,True,67,75,1,0,30.0,0.0,28.938972660049956,True,
20260202_144254_beam2,20260202_144254,2,311.76,2010.0,-2.01,66,75,97,9,False,True,0,1,8,True,36.68019941559197,30.088500102567053,6.591699313024915,True,62,75,-4,0,-120.0,0.0,36.89688713344567,True,
20260202_144254_beam3,20260202_144254,3,311.76,2010.0,-2.01,66,75,99,11,False,True,0,1,10,True,38.4079458910528,31.813509808823447,6.594436082229357,True,62,75,-4,0,-120.0,0.0,38.60100224741772,True,
20260202_144254_beam4,20260202_144254,4,311.76,2010.0,-2.01,66,75,86,8,False,True,0,1,7,True,34.01590597603521,27.49472663829031,6.521179337744904,True,62,75,-4,0,-120.0,0.0,34.163718869001684,True,
20260202_144302_beam1,20260202_144302,1,312.1,1980.0,-2.19,65,76,109,14,False,False,0,0,14,True,26.823946995741075,20.92731933415505,5.89662766158606,True,70,76,5,0,150.0,0.0,27.581081760465942,True,
20260202_144302_beam2,20260202_144302,2,312.1,1980.0,-2.01,65,75,137,18,False,False,0,0,18,True,33.23498008197934,29.105859377504387,4.129120704474952,True,70,76,5,1,150.0,-0.182711693548387,35.82028400994537,True,
20260202_144302_beam3,20260202_144302,3,312.1,2010.0,-2.19,66,76,123,15,False,True,0,1,14,True,37.351743616516586,31.077976493053164,6.273767123463424,True,70,76,4,0,120.0,0.0,37.937872878330225,True,
20260202_144302_beam4,20260202_144302,4,312.1,2010.0,-2.19,66,76,123,11,False,True,0,1,10,True,33.40546050689802,27.206750277600133,6.198710229297887,True,70,76,4,0,120.0,0.0,34.060679779882854,True,
20260202_144302_beam5,20260202_144302,5,312.1,2010.0,-2.19,66,76,97,10,False,True,0,1,9,True,23.458548762406082,17.947653281027602,5.510895481378548,True,70,76,4,0,120.0,0.0,24.466952224484828,True,
20260202_144311_beam1,20260202_144311,1,312.15,2010.0,3.47,66,45,93,13,False,True,0,1,12,True,32.36636570439722,26.027674751048973,6.338690953348257,True,62,45,-4,0,-120.0,0.0,32.588617414108775,True,
20260202_144311_beam2,20260202_144311,2,312.15,2010.0,3.47,66,45,124,14,False,True,0,1,13,True,40.44846007421683,34.124860951670925,6.323599122545909,True,62,45,-4,0,-120.0,0.0,40.79820533173523,True,
20260202_144311_beam3,20260202_144311,3,312.15,2010.0,3.29,66,46,124,13,False,True,0,1,12,True,39.88724258980622,35.869121050560075,4.018121539246146,True,62,45,-4,-1,-120.0,0.18271169354838745,42.53668903310068,True,
20260202_144311_beam4,20260202_144311,4,312.15,2010.0,3.47,66,45,119,12,False,True,0,1,11,True,37.69454435767649,31.489371263785163,6.2051730938913305,True,62,45,-4,0,-120.0,0.0,38.098240171989836,True,
20260202_144311_beam5,20260202_144311,5,312.15,2010.0,3.47,66,45,93,10,False,True,0,1,9,True,27.437434876864813,21.60237272980747,5.835062147057371,True,62,45,-4,0,-120.0,0.0,27.976766609186072,True,
20260202_144319_beam1,20260202_144319,1,311.7,2040.0,2.19,67,52,97,15,False,True,0,1,14,True,33.378502346404,27.388632174226288,5.989870172177721,True,63,52,-4,0,-120.0,0.0,34.13460934938826,True,
20260202_144319_beam2,20260202_144319,2,311.7,2040.0,2.19,67,52,114,21,False,True,0,1,20,True,41.12090654523992,35.059559552264055,6.06134699297587,True,63,52,-4,0,-120.0,0.0,41.7906971046603,True,
20260202_144319_beam3,20260202_144319,3,311.7,2040.0,2.19,67,52,103,12,False,True,0,1,11,True,42.44418495541385,36.36851415571965,6.0756707996942065,True,63,52,-4,0,-120.0,0.0,43.09241926748379,True,
20260202_144319_beam4,20260202_144319,4,311.7,2040.0,2.19,67,52,102,12,False,True,0,1,11,True,37.63038739892772,31.556589605627355,6.073797793300373,True,71,52,4,0,120.0,0.0,38.275828811791826,True,
20260202_144319_beam5,20260202_144319,5,311.7,2040.0,2.19,67,52,99,11,False,True,0,1,10,True,27.06141098572795,21.238436017731594,5.822974967996391,True,71,52,4,0,120.0,0.0,27.977293940682124,True,
20260202_144327_beam1,20260202_144327,1,311.29,2040.0,2.19,67,52,97,13,True,True,1,1,12,True,31.670675021119223,25.044294511269584,6.626380509849653,True,66,52,-1,0,-30.0,0.0,31.862829830418956,True,
20260202_144327_beam2,20260202_144327,2,311.29,2040.0,2.19,67,52,108,14,False,False,0,0,14,True,38.97835604068037,32.27334684846434,6.705009192216025,True,72,52,5,0,150.0,0.0,39.23381842240491,True,
20260202_144327_beam3,20260202_144327,3,311.29,2040.0,2.19,67,52,114,13,False,False,0,0,13,True,39.91475837780563,33.244624116467584,6.67013426133805,True,72,52,5,0,150.0,0.0,40.227662752371735,True,
20260202_144327_beam4,20260202_144327,4,311.29,2070.0,2.19,68,52,104,12,False,True,0,1,11,True,34.94598308546802,28.238684295426797,6.707298790041232,True,72,52,4,0,120.0,0.0,35.18931592435338,True,
20260202_144327_beam5,20260202_144327,5,311.29,2040.0,2.19,67,52,105,13,True,True,1,1,12,True,24.347096554110024,18.305587205812273,6.041509348297819,True,68,52,1,0,30.0,0.0,24.82689914643908,True,
20260202_144335_beam1,20260202_144335,1,312.67,2070.0,2.19,68,52,124,16,False,True,0,1,15,True,29.686753484923507,23.87559980857871,5.811153676344817,True,64,52,-4,0,-120.0,0.0,30.14457268193872,True,
20260202_144335_beam2,20260202_144335,2,311.65,2070.0,2.38,68,51,133,14,False,True,0,1,13,True,39.50171164091836,34.62768398672991,4.874027654188447,True,64,52,-4,1,-120.0,-0.182711693548387,41.12704597455247,True,
20260202_144335_beam3,20260202_144335,3,311.65,2070.0,2.19,68,52,139,10,False,True,0,1,9,True,41.09290142010487,35.15637855775565,5.936522862349216,True,64,52,-4,0,-120.0,0.0,41.6122208992843,True,
20260202_144335_beam4,20260202_144335,4,311.65,2070.0,2.19,68,52,136,10,False,True,0,1,9,True,35.476542065129614,29.58625295315919,5.890289111970432,True,64,52,-4,0,-120.0,0.0,35.98479304149125,True,
20260202_144335_beam5,20260202_144335,5,311.65,2070.0,2.19,68,52,107,12,False,True,0,1,11,True,24.350994523880978,19.04080574986419,5.310188774016841,True,72,52,4,0,120.0,0.0,25.17340819099634,True,
20260202_144344_beam1,20260202_144344,1,311.44,2070.0,2.01,68,53,95,12,False,False,0,0,12,True,24.02116794935811,18.35448986546561,5.666678083892565,True,73,53,5,0,150.0,0.0,24.887051549979127,True,
20260202_144344_beam2,20260202_144344,2,311.44,2100.0,2.01,69,53,104,14,False,True,0,1,13,True,30.529422712728064,24.18234510210084,6.34707761062724,True,73,53,4,0,120.0,0.0,31.159318840875407,True,
20260202_144344_beam3,20260202_144344,3,311.44,2100.0,2.19,69,52,112,13,False,True,0,1,12,True,27.376164742322363,24.28927931927643,3.086885423045943,True,73,53,4,1,120.0,-0.182711693548387,31.340705009296425,True,
20260202_144344_beam4,20260202_144344,4,311.44,2070.0,2.19,68,52,98,14,False,False,0,0,14,True,21.97686510357911,18.752870536582193,3.2239945669969767,True,73,53,5,1,150.0,-0.182711693548387,25.37460868857029,True,
20260202_144344_beam5,20260202_144344,5,312.43,2100.0,2.01,69,53,95,11,False,True,0,1,10,True,15.869162174061021,13.038175645704172,2.830986528357066,True,73,53,4,0,120.0,0.0,17.760095055348316,True,
20260202_144352_beam1,20260202_144352,1,312.52,2100.0,-2.92,69,80,108,15,False,True,0,1,14,True,20.535656680930682,15.729221617439222,4.80643506349158,True,65,80,-4,0,-120.0,0.0,22.141142588764893,True,
20260202_144352_beam2,20260202_144352,2,312.52,2100.0,-2.74,69,79,134,19,False,True,0,1,18,True,24.246703674869188,21.366436789922282,2.880266884946937,True,65,80,-4,1,-120.0,-0.182711693548387,28.352203735319975,True,
20260202_144352_beam3,20260202_144352,3,312.52,2100.0,-2.92,69,80,116,11,False,True,0,1,10,True,27.845774463264277,21.57392707229928,6.271847390965025,True,65,80,-4,0,-120.0,0.0,28.542806967619466,True,
20260202_144352_beam4,20260202_144352,4,312.52,2070.0,-2.92,68,80,115,12,False,True,0,1,11,True,21.464723818973994,16.46096887409787,5.00375494487622,True,65,80,-3,0,-90.0,0.0,22.834599914701883,True,
20260202_144352_beam5,20260202_144352,5,312.52,2100.0,-2.92,69,80,103,15,False,True,0,2,13,True,12.143973503789988,10.847761626836812,1.2962118769535342,True,65,80,-4,0,-120.0,0.0,13.659585268291812,True,
20260202_144417_beam1,20260202_144417,1,311.29,2040.0,-3.29,67,82,104,12,False,False,0,0,12,True,21.35655893922907,15.753581800677104,5.602977138552082,True,62,82,-5,0,-150.0,0.0,21.709252708591595,True,
20260202_144417_beam2,20260202_144417,2,311.29,2010.0,-3.47,66,83,98,15,False,True,0,1,14,True,27.191281753004006,23.06066804794415,4.130613705059873,True,69,82,3,-1,90.0,0.18271169354838745,29.446150233721372,True,
20260202_144417_beam3,20260202_144417,3,311.29,2040.0,-3.47,67,83,101,14,False,True,0,1,13,True,28.87560159229285,24.7819716754135,4.09362991687936,True,69,82,2,-1,60.0,0.18271169354838745,31.1016120837064,True,
20260202_144417_beam4,20260202_144417,4,311.29,2010.0,-3.29,66,82,104,13,False,True,0,1,12,True,26.51525849652609,20.74973513010418,5.765523366421943,True,68,82,2,0,60.0,0.0,27.045634694574705,True,
20260202_144417_beam5,20260202_144417,5,312.29,2010.0,-3.29,66,82,92,9,False,True,0,1,8,True,18.269748787038644,13.519449489429947,4.750299297608889,True,68,82,2,0,60.0,0.0,18.564406878561073,True,
20260202_144425_beam1,20260202_144425,1,311.55,1980.0,-3.47,65,83,98,16,False,True,0,1,15,True,20.142594323379825,14.926765371575625,5.215828951804338,True,69,83,4,0,120.0,0.0,20.869981303858797,True,
20260202_144425_beam2,20260202_144425,2,311.55,1980.0,-3.47,65,83,124,15,False,True,0,1,14,True,29.190546132851544,22.728025013416264,6.462521119435301,True,61,83,-4,0,-120.0,0.0,29.67871948655592,True,
20260202_144425_beam3,20260202_144425,3,311.55,2010.0,-3.47,66,83,120,12,False,False,0,0,12,True,31.935601248082083,25.395185305701965,6.5404159423801325,True,61,83,-5,0,-150.0,0.0,32.40568813614568,True,
20260202_144425_beam4,20260202_144425,4,311.55,1980.0,-3.47,65,83,108,12,False,True,0,1,11,True,28.471675261096664,22.223649665861135,6.248025595235552,True,61,83,-4,0,-120.0,0.0,29.080275505174665,True,
20260202_144425_beam5,20260202_144425,5,311.55,2010.0,-3.47,66,83,92,10,False,True,0,1,9,True,18.83640838820749,14.37626254855994,4.460145839647712,True,62,83,-4,0,-120.0,0.0,19.82546610891918,True,
20260202_144433_beam1,20260202_144433,1,310.71,1950.0,-4.2,64,87,109,15,False,True,0,1,14,True,21.335743438301876,16.15473076525779,5.181012673044197,True,66,87,2,0,60.0,0.0,22.607692466090374,True,
20260202_144433_beam2,20260202_144433,2,310.71,1950.0,-4.2,64,87,110,14,False,True,0,1,13,True,31.161974327262932,24.772222304945334,6.389752022317615,True,60,87,-4,0,-120.0,0.0,31.936139274671106,True,
20260202_144433_beam3,20260202_144433,3,310.71,1950.0,-4.2,64,87,122,13,False,True,0,1,12,True,34.67822466644669,28.093206222776136,6.58501844367056,True,60,87,-4,0,-120.0,0.0,35.23937164002759,True,
20260202_144433_beam4,20260202_144433,4,310.71,1950.0,-4.2,64,87,117,12,False,True,0,1,11,True,32.07912290439705,25.47965406612104,6.599468838276023,True,60,87,-4,0,-120.0,0.0,32.49888868721331,True,
20260202_144433_beam5,20260202_144433,5,311.7,1950.0,-4.2,64,87,89,9,True,True,1,1,8,True,24.915939586650886,18.220683315203836,6.695256271447115,True,64,87,0,0,0.0,0.0,24.915939586650886,True,
20260202_144458_beam1,20260202_144458,1,310.01,2010.0,5.66,66,33,99,17,False,True,0,1,16,True,22.59338287132082,16.59951935969044,5.993863511630475,True,70,33,4,0,120.0,0.0,23.091219622186962,True,
20260202_144458_beam2,20260202_144458,2,310.01,2010.0,5.66,66,33,99,14,False,True,0,1,13,True,30.873857648728816,24.361515749713895,6.512341899014937,True,70,33,4,0,120.0,0.0,31.450921329442536,True,
20260202_144458_beam3,20260202_144458,3,310.01,1980.0,5.66,65,33,101,13,False,False,0,0,13,True,33.07886298807865,26.674454126975156,6.404408861103505,True,70,33,5,0,150.0,0.0,33.697833986446454,True,
20260202_144458_beam4,20260202_144458,4,310.01,2010.0,5.66,66,33,99,12,False,True,0,1,11,True,29.557629364450932,22.947492393796875,6.610136970654076,True,70,33,4,0,120.0,0.0,29.851165951751895,True,
20260202_144458_beam5,20260202_144458,5,310.01,1980.0,5.66,65,33,93,8,True,True,1,1,7,True,19.959034608205513,14.490605366646639,5.468429241559027,True,66,33,1,0,30.0,0.0,20.73850727794654,True,
20260202_144506_beam1,20260202_144506,1,310.23,2070.0,4.75,68,38,109,12,False,True,0,1,11,True,20.89999843556828,15.315820545214336,5.58417789035407,True,70,38,2,0,60.0,0.0,21.377221255821883,True,
20260202_144506_beam2,20260202_144506,2,310.23,2040.0,4.75,67,38,106,14,False,True,0,1,13,True,28.32153105757735,22.05931428770993,6.262216769867445,True,63,38,-4,0,-120.0,0.0,28.897814212274625,True,
20260202_144506_beam3,20260202_144506,3,309.24,2070.0,4.75,68,38,116,8,True,True,1,1,7,True,27.626513656249678,21.62593078071781,6.000582875531897,True,69,38,1,0,30.0,0.0,28.13315125227321,True,
20260202_144506_beam4,20260202_144506,4,309.24,2070.0,4.75,68,38,123,10,True,True,1,1,9,True,22.961445191659017,17.12454855429407,5.836896637365032,True,69,38,1,0,30.0,0.0,23.541493582739395,True,
20260202_144506_beam5,20260202_144506,5,310.23,2040.0,4.75,67,38,99,10,False,True,0,1,9,True,13.875148510066948,11.723611803628035,2.1515367064392037,True,70,38,3,0,90.0,0.0,15.447541699017753,True,
20260202_144515_beam1,20260202_144515,1,308.62,2070.0,5.3,68,35,124,17,False,False,0,0,17,True,28.6964952379666,22.46406285063392,6.23243238733271,True,73,35,5,0,150.0,0.0,29.454855804194334,True,
20260202_144515_beam2,20260202_144515,2,309.61,2070.0,5.3,68,35,101,11,False,False,0,0,11,True,31.54451167574216,25.098245914781035,6.446265760961141,True,73,35,5,0,150.0,0.0,32.13916666701759,True,
20260202_144515_beam3,20260202_144515,3,308.62,2100.0,5.3,69,35,130,9,False,True,0,1,8,True,35.121756892259334,28.74054722408188,6.381209668177462,True,73,35,4,0,120.0,0.0,35.898642363764566,True,
20260202_144515_beam4,20260202_144515,4,308.62,2100.0,5.3,69,35,126,12,False,True,0,1,11,True,28.849293776636443,22.87425010351965,5.97504367311682,True,73,35,4,0,120.0,0.0,29.961447370677583,True,
20260202_144515_beam5,20260202_144515,5,308.62,2070.0,5.3,68,35,114,13,False,False,0,0,13,True,18.508650430750045,13.747892964541219,4.760757466209007,True,73,35,5,0,150.0,0.0,19.35777424553533,True,
20260202_144523_beam1,20260202_144523,1,308.4,2130.0,5.12,70,36,122,13,False,True,0,1,12,True,30.924362126013687,25.324924843574067,5.599437282439633,True,66,36,-4,0,-120.0,0.0,31.615240014935996,True,
20260202_144523_beam2,20260202_144523,2,308.4,2130.0,5.12,70,36,124,8,False,True,0,1,7,True,36.12449313696238,30.49920877189818,5.625284365064205,True,66,36,-4,0,-120.0,0.0,36.78740001614736,True,
20260202_144523_beam3,20260202_144523,3,308.4,2100.0,5.12,69,36,127,8,False,True,0,1,7,True,35.19434002352716,29.62980359568858,5.564536427838583,True,66,36,-3,0,-90.0,0.0,35.844829939299665,True,
20260202_144523_beam4,20260202_144523,4,308.4,2130.0,5.12,70,36,117,8,False,True,0,1,7,True,28.200976518229336,22.64081847870532,5.560158039524041,True,66,36,-4,0,-120.0,0.0,28.827492986117402,True,
20260202_144523_beam5,20260202_144523,5,308.4,2130.0,5.12,70,36,113,9,False,True,0,1,8,True,17.42388362416583,13.460659061639706,3.963224562526318,True,66,36,-4,0,-120.0,0.0,18.16772397695822,True,
20260202_144539_beam1,20260202_144539,1,310.79,2190.0,3.29,72,46,98,12,False,True,0,1,11,True,19.763046785768463,15.379261307124839,4.383785478643752,True,75,46,3,0,90.0,0.0,20.33082412843466,True,
20260202_144539_beam2,20260202_144539,2,310.79,2190.0,3.11,72,47,104,15,True,True,1,1,14,True,22.879307370832613,18.39669438632482,4.482612984507855,True,73,46,1,-1,30.0,0.182711693548387,24.069566009785692,True,
20260202_144539_beam3,20260202_144539,3,310.79,2190.0,3.29,72,46,102,12,True,True,1,1,11,True,21.31802360215099,16.447863609799292,4.870159992351796,True,73,46,1,0,30.0,0.0,21.823858354958784,True,
20260202_144539_beam4,20260202_144539,4,310.79,2190.0,3.29,72,46,103,13,False,True,0,1,12,True,12.335982308033186,11.190353156513053,1.1456291515204624,True,74,46,2,0,60.0,0.0,14.25228899264194,True,
20260202_144548_beam1,20260202_144548,1,311.9,2220.0,2.38,73,51,107,16,False,True,0,1,15,True,28.896946011119667,22.630796787449636,6.26614922367006,True,69,51,-4,0,-120.0,0.0,29.82556352498242,True,
20260202_144548_beam2,20260202_144548,2,311.9,2220.0,2.38,73,51,134,16,False,True,0,1,15,True,32.4208162824501,25.899327631423358,6.521488651026754,True,69,51,-4,0,-120.0,0.0,33.13697151722301,True,
