filename,filepath,read_success,has_h,has_v,h_shape,v_shape,h_dtype,v_dtype,h_is_complex,v_is_complex,h_has_nan,v_has_nan,h_has_inf,v_has_inf,shape_valid,data_valid,error
20260202_144238_beam1.mat,data/raw/IQ_Data/20260202_144238_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144238_beam2.mat,data/raw/IQ_Data/20260202_144238_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144238_beam3.mat,data/raw/IQ_Data/20260202_144238_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144238_beam4.mat,data/raw/IQ_Data/20260202_144238_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144246_beam1.mat,data/raw/IQ_Data/20260202_144246_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144246_beam2.mat,data/raw/IQ_Data/20260202_144246_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144246_beam3.mat,data/raw/IQ_Data/20260202_144246_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144246_beam4.mat,data/raw/IQ_Data/20260202_144246_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144246_beam5.mat,data/raw/IQ_Data/20260202_144246_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144254_beam1.mat,data/raw/IQ_Data/20260202_144254_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144254_beam2.mat,data/raw/IQ_Data/20260202_144254_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144254_beam3.mat,data/raw/IQ_Data/20260202_144254_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144254_beam4.mat,data/raw/IQ_Data/20260202_144254_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144302_beam1.mat,data/raw/IQ_Data/20260202_144302_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144302_beam2.mat,data/raw/IQ_Data/20260202_144302_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144302_beam3.mat,data/raw/IQ_Data/20260202_144302_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144302_beam4.mat,data/raw/IQ_Data/20260202_144302_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144302_beam5.mat,data/raw/IQ_Data/20260202_144302_beam5.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144311_beam1.mat,data/raw/IQ_Data/20260202_144311_beam1.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144311_beam2.mat,data/raw/IQ_Data/20260202_144311_beam2.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144311_beam3.mat,data/raw/IQ_Data/20260202_144311_beam3.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
20260202_144311_beam4.mat,data/raw/IQ_Data/20260202_144311_beam4.mat,True,True,True,"(128, 100)","(128, 100)",complex64,complex64,True,True,False,False,False,False,True,True,
